{'短评内容': '。', '短评打分': 3}
{'短评内容': '感觉还不错，态度挺好的', '短评打分': 5}
{'短评内容': '服务好，网络快', '短评打分': 5}
{'短评内容': 'wifi给力', '短评打分': 5}
{'短评内容': '服务好，房间干净', '短评打分': 5}
{'短评内容': '服务不错，位置好', '短评打分': 5}
{'短评内容': '服务好，网络快', '短评打分': 5}
{'短评内容': '很好用，很好用很好用', '短评打分': 5}
{'短评内容': '只有一次没有第二次', '短评打分': 2}
{'短评内容': '旧酒店改装的吧，设备一般，电梯门嘎吱作响，唯一的好处是附近晚上有不少吃宵夜的去处。', '短评打分': 3}
{'短评内容': '还是很满意的，但是房间跳了两次电，希望改进', '短评打分': 5}
{'短评内容': '还可以卫生，就是隔音和房间差了点', '短评打分': 5}
{'短评内容': '环境不错，挺干净的，而且态度也错', '短评打分': 5}
{'短评内容': '挺干静的', '短评打分': 5}
{'短评内容': '挺喜欢的，周边环境也蛮安静的。。。。', '短评打分': 5}
{'短评内容': '跟朋友来广州玩，逛北京路路交通挺方便的，吃的也还挺多。', '短评打分': 5}
{'短评内容': '推荐入住，价格刚好，也不贵，住的蛮舒服的。。。', '短评打分': 5}
{'短评内容': '七天标配，干净简洁，还可以。。。', '短评打分': 5}
{'短评内容': '前台服务太多不错，周边小吃也多，蛮安静的。。。。。', '短评打分': 5}
{'短评内容': '挺不错的酒店，交通、位置、服务、设施……都很不错，就是在它的影响下，才续订了下一城市的7天酒店。', '短评打分': 5}
{'短评内容': '干吗叫“北京路二店”呢？实在些，就叫德政南路店，或者叫珠光街店不行吗？', '短评打分': 3}
{'短评内容': '酒店环境还可以，离地铁大概3分钟走路', '短评打分': 5}
{'短评内容': '服务不错，交通便利，很近地铁站，去北京路逛街也方便', '短评打分': 4}
{'短评内容': '酒店在巷子里，很隐蔽不好找，距离北京路很近', '短评打分': 4}
