{'短评内容': '不错，交通方便', '短评打分': 5}
{'短评内容': '很新的酒店，卫生还不错。酒店位置离附二医也不远。', '短评打分': 5}
{'短评内容': '挺不错的，也挺干净的，比较新，住起来比较舒服。就是这次忘记在卫生间给我们放纸了，住了很多次，比较满意。', '短评打分': 5}
{'短评内容': '住了多次了，满意！', '短评打分': 5}
{'短评内容': '这样的环境这样的价格，超值', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '酒店设施都特别新，齐全，干净整洁，感觉特别舒服，而且三百米内，有几个电影院，有几个肯德基，还有星巴克，开泰百货，中山公园，五马步行街，。。。。。这么好的地段，价格却不是一般的便宜', '短评打分': 5}
{'短评内容': '非常不错的酒店，我一直选择这家酒店入住。不过更希望酒店卫生打扫能更细致些', '短评打分': 5}
{'短评内容': '这家酒店好的不要不要的，性价比非常高', '短评打分': 5}
{'短评内容': '前台服务热情，房间干净清洁，出行方便，性价比高。下次到温州还会到这家旅店住宿，尤其是洗澡水很热。总的感到很舒服。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '服务好，还有早餐', '短评打分': 5}
{'短评内容': '服务好，还有早餐', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '很不错，服务也好', '短评打分': 5}
{'短评内容': '房间干净，交通便利。', '短评打分': 5}
{'短评内容': '价格实惠', '短评打分': 5}
{'短评内容': '设备房间比较陈旧，到交通挺方便。', '短评打分': 3}
{'短评内容': '位于市中心，出行方便，性价比高！', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '宾馆在装修，总体感觉不是很好。有一股味道，也比较旧', '短评打分': 1}
{'短评内容': '房间还不错，挺温馨 的， 但房间太小了，说是大床房，结果床也小的可怜啊', '短评打分': 5}
{'短评内容': '还不错吧 就是早上起来的时候外面在施工很吵', '短评打分': 5}
{'短评内容': '1这家酒店我两年前就住过·而且是他们会员·住过不只一家·就这家最烂·环境真的很差·两年前的白墙现在已经很脏了没处理过·味道很重·\n2第二天我要赶去外地的动车早上起来洗了个头·洗完后打前台拿吹风机   没    早上七点啊  只好下楼在周边硬是找了10几分钟才找到一家民丰超市有卖吹风机     人可被气的阿   以后打死也不住  会员卡直接扔了  \n', '短评打分': 1}
{'短评内容': '交通挺方便的，环境也还可以哦', '短评打分': 3}
{'短评内容': '＋房间很脏，毛巾什么的根本不能用，早餐非常简单。服务员倒是还可以，就是要衣架不给，另外不能刷卡消费，发票很麻烦。', '短评打分': 3}
{'短评内容': '环境还可以，卫生干净！交通方便。紧临中山公园。。', '短评打分': 5}
{'短评内容': '房间不怎么样', '短评打分': 3}
{'短评内容': '房间比较小，洗手间下水是堵的，洗完澡可以游泳了.一个小时水才能退去。', '短评打分': 1}
{'短评内容': '很不错,房间很大，很温馨，就是隔音不怎么好，不过这个价位在温州蛮好了', '短评打分': 5}
{'短评内容': '没照片中好', '短评打分': 3}
{'短评内容': '地方还可以，就是温州打车不好打啊。还有就是早餐稍微改进一下就好了，不过是免费的不能强求太多。', '短评打分': 5}
{'短评内容': '酒店很好。', '短评打分': 3}
{'短评内容': '环境不错，设施还可以，唯一的缺点就是隔音效果不太好！', '短评打分': 5}
