{'短评内容': '不错的地方', '短评打分': 5}
{'短评内容': '环境很好，', '短评打分': 5}
{'短评内容': '性价比还可以，离T3航站远一点，打车19元左右', '短评打分': 4}
{'短评内容': '机场T3坐摆渡车到T2穿过停车场，走过地下通道，对面就是酒店，不要坐出租车！！坑人！', '短评打分': 5}
{'短评内容': '日常出差，性价比很高！', '短评打分': 5}
{'短评内容': '房间.卫生间.电视……太小了，', '短评打分': 1}
{'短评内容': '离机场近便宜', '短评打分': 5}
{'短评内容': '重庆斯普兰连锁酒店(机场店) 特价房', '短评打分': 5}
{'短评内容': '重庆斯普兰连锁酒店(机场店) 特价房', '短评打分': 5}
{'短评内容': '重庆斯普兰连锁酒店(机场店) 特价房', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '通风不好，卫生不好', '短评打分': 4}
{'短评内容': '没语言，将就吧', '短评打分': 1}
{'短评内容': '离机场近   环境还好不吵  就是设施都有些老旧了    被子有些霉味   不介意的话就不影响使用', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '踩死了三只蟑螂，都是从床下出来的', '短评打分': 2}
{'短评内容': '离机场比较近，周边环境还不错，价格也可以！', '短评打分': 4}
{'短评内容': '赶路落脚可以，可能是天气原因，被褥摸着不干爽。', '短评打分': 3}
