{'短评内容': '位置不错，房间干净', '短评打分': 5}
{'短评内容': '很好；交通方便', '短评打分': 5}
{'短评内容': '非常满意，没有餐厅。', '短评打分': 5}
{'短评内容': '非常方便，服务和体验都非常好，价格也合理，只是附近有两家中宇饭店，比较容易走错，总体感觉很好，非常满意。', '短评打分': 5}
{'短评内容': '房间很大，周边吃的挺多，位置很便利', '短评打分': 5}
{'短评内容': '还不错 ', '短评打分': 5}
{'短评内容': '冲着在西单附近来入住的，而且地铁方便。评论分挺高，但真的是快捷酒店，室内实施很简单，反正感觉一般吧，总体还算干净，也不吵。亮点是斜对面有庆丰包子，早餐解决很方便。', '短评打分': 4}
{'短评内容': '交通方便，价格适中，时候出差', '短评打分': 5}
{'短评内容': '酒店还不错，只是想点评一下携程，说可以返现，等我确认之后，看看怎么可以返现，又说没有使用优惠券什么的，不可以参与返现，不是在意返现的几个钱，而是有种忽悠消费者的感觉', '短评打分': 5}
{'短评内容': '带老人孩子一起去北京。要选择交通方便的大房间。在网上找了半天才找到这家。房间真的够大，一张双人大床和一张单人床，而且是独立卫生间！（不是那种拿玻璃隔开的）房间卫生间都挺干净，床上用品也干净。工作人员态度不错。酒店离地铁四号线灵境胡同站步行5分钟左右，到西单购物中心也是步行15分钟不到路程。打车去故宫20块左右，去大栅栏25块左右。酒店周围饭店也不少，有火锅，烧烤，新疆菜，庆丰包子，水果店等。非常满', '短评打分': 5}
{'短评内容': '交通很方便，房间宽敞干净', '短评打分': 5}
{'短评内容': '位置不错，价格在北京也可以，推荐', '短评打分': 5}
{'短评内容': '酒店离西单很近，但是有两个店容易搞错，一开始我们跑去了老店，后来又拖着行李走过来，周边很热闹，吃的多，生活也方便、这价格在北京真的很低了，房间也干干净净的', '短评打分': 5}
{'短评内容': '酒店在四号线灵境胡同站旁边，出行方便，去金融街步行十几分钟就可以到，干净卫生，服务员也比较热情。下次来金融街办事还住这里。', '短评打分': 4}
{'短评内容': '环境不错地理位置好，下回还会选择入住', '短评打分': 3}
