{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '假日酒店，值得选择！环境优雅，服务热情周到，有接送机，非常好。每次来呼和浩特都会选择住在这在这里。', '短评打分': 4}
{'短评内容': '酒店位于青城呼和浩特回民区商业中心地段，酒店房间秉承假日酒店一向的品质，温馨舒适，尤其是在冬季异常干燥的环境中提供加湿器，贴心!', '短评打分': 4}
{'短评内容': '很不错。好。很不错。好。很不错。好。很不错。好。很不错。好。很不错。好。很不错。好。很不错。好。很不错。好。', '短评打分': 5}
{'短评内容': '不错，每次来呼市都住着，服务一流，设施有点旧了。', '短评打分': 5}
{'短评内容': '出乎意料的好～应该是我所住过的酒店中服务最好的几家之一！管家闫蓉，服务很贴心～赞一个！周围景色优美～出行便利～值得推荐', '短评打分': 5}
{'短评内容': '呼和浩特假日酒店位于呼市市中心地段，周围餐饮购物都比较方便。宾馆交通便利，去机场很方便。房间干净整洁，挺舒适。', '短评打分': 4}
{'短评内容': '房间稍小，但一个人住还可以', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '酒店还可以，但是感觉房间设施家具没有那么新或是现代，个人还是喜欢新一些的酒店。不过酒店有健身房，器械还挺丰富，大赞！', '短评打分': 4}
{'短评内容': '总体而言，性价比还是很高的。虽然设施有点旧，拖鞋有点破，没有浴缸，但其他还是符合星级标准的。被子舒服，浴巾柔软。价格也便宜，入住的客人又少。感觉棒棒滴。就是酒店大门关着，又没门童，进出拉门，常遇静电。另外，酒店往返的车是要预订，不是everytime都有的。', '短评打分': 4}
{'短评内容': '無', '短评打分': 4}
{'短评内容': '地理位置比较方便，周边也很热闹。房间比较新，也很干净，值得推荐。同事有holiday inn的会员卡，还送了饮料。  唯一不足是前台服务员业务不熟练，退房比较慢。', '短评打分': 4}
{'短评内容': '繁华，酒店很便利，还有免费接送机服务', '短评打分': 5}
{'短评内容': '地理位置和服务都不错，虽然设备感觉到有点旧，但整体不错', '短评打分': 5}
{'短评内容': '酒店环境好，有淮杨菜，味道真不错。', '短评打分': 3}
{'短评内容': '还不错啊，一切跟北京上海的holiday inn都没区别。', '短评打分': 5}
{'短评内容': '晚上3点入住，早上6:30离店，照收1天房费。520元的房间还有，非说没有了。让住570元的房间，没辙。\n飞机北京落不下来，落到了呼和浩特。\n凌晨2点订房，没辙。\n折腾不起呀。', '短评打分': 1}
{'短评内容': '晚上3点入住，早上6:30离店，照收一天房费', '短评打分': 5}
{'短评内容': '酒店是不错，在市中心，但是郁闷的是早高峰的时候很难打到车，连着两个早上我都是在酒店门口挨了十多分钟的冻才打到车。', '短评打分': 5}
{'短评内容': '该酒店位置不错，房间很大，比较舒适，适合商旅下榻，服务很好，喜欢。', '短评打分': 5}
{'短评内容': '地点不错，早餐一般，稍微有点吵，连锁品牌值得信赖了', '短评打分': 5}
{'短评内容': '很好，可惜通过网上预订怎么不含早餐，早餐再另外付钱有点贵。还是公司协议拿到的性价比高许多~', '短评打分': 3}
{'短评内容': '性价比高，总体感觉还不错，价格能再降点旧完美了', '短评打分': 5}
{'短评内容': '也许是因为在回民区的缘故，楼道里有一种特别的味道。设施比较旧，服务还可以。地理位置好。', '短评打分': 3}
{'短评内容': '还可以，来北京一般就住在这里，服务态度都不错。就是网速慢到不行', '短评打分': 5}
{'短评内容': '住好几次了，挺好的，早餐很丰盛，不过又涨价了。早餐78一位，所以还是订的时候带早餐划算啊~', '短评打分': 5}
{'短评内容': '还好。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很棒', '短评打分': 3}
{'短评内容': ' 酒店服务好', '短评打分': 3}
{'短评内容': '酒店条件很好，房间大，也舒适，位置在闹市，所以打车费劲。', '短评打分': 3}
{'短评内容': '酒店房间很不错，装修好，宽敞。但就是出门打车不方便。', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '免费接机真的很方便，从机场出来看不太到出租车，估计若要自己打车到市区，应该很难叫车，房间基本还算不错，服务态度也都很好，早餐颇丰富!!', '短评打分': 5}
{'短评内容': '标准的假日酒店，中规中矩，各方面都还不错。下次可能还是选它。', '短评打分': 5}
{'短评内容': '为朋友订的，据他说，还不错，只是忘记尝试接送机服务了。', '短评打分': 5}
{'短评内容': '已经第二次住了，房间干净，位置挺好，有车来机场免费接送，就是隔音不是很好，在门口就能听见里面人说什么。', '短评打分': 5}
{'短评内容': '开业有一定时间了，但是服务非常不错，晚上的飞机晚点了3小时，但工作人员还是安排接机，且非常热情，早餐还行，符合4星标准。', '短评打分': 5}
{'短评内容': '酒店位置比较好，但是打车不方便。酒店免费洗衣和免费软饮很不错', '短评打分': 5}
{'短评内容': '有点旧了，比新建的香格里拉还是差点，在房源紧张的时候可以住。', '短评打分': 5}
{'短评内容': '设施有点旧，再有个商店就更好了。', '短评打分': 5}
{'短评内容': '总的老说还不错', '短评打分': 5}
{'短评内容': '酒店很好，自助餐的烧烤很好吃。115\r\n附近没什么可吃的。', '短评打分': 3}
{'短评内容': '设施老化，服务不够专业。', '短评打分': 1}
{'短评内容': '酒店总的来说不错，早餐和晚餐的自助餐都还不错，早餐50，晚餐118\r\n附近没什么可吃的。', '短评打分': 5}
{'短评内容': '各方面都比较好，交通便利，周围有购物中心，吃饭也方便', '短评打分': 3}
{'短评内容': '很完美的酒店，还有机场接送 打印登机牌等服务', '短评打分': 5}
{'短评内容': '设施需要改进！跟其他酒店比先得有些落后', '短评打分': 1}
{'短评内容': '非常好，很满意', '短评打分': 5}
{'短评内容': '酒店位置市中心繁华地带,出行很方便.酒店环境也挺不错,不管是硬件还是软件都挺不错的,价格方面如果再便宜点就更好了.', '短评打分': 3}
{'短评内容': '酒店的价格周到的差距太大了,显得有点偏贵,不过整体的环境都还是挺不错的,蛮舒适的.', '短评打分': 5}
{'短评内容': '金卡会员居然不给升级', '短评打分': 1}
{'短评内容': '虽然位于市中心，但是大堂入口设计很不合理，叫车很不方便。早餐品种很多。', '短评打分': 5}
{'短评内容': '各方面都很满意，住的非常舒适。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;我是上个月入住的假日酒店. 我认为这是呼和浩特市最好的酒店. 服务等各方面都不错. 下次我还会入住这个酒店的. &amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '我是5号刚刚住过的，房间的硬件设施真的不错够标准！可惜就是第二天的早餐不太如意：一个是服务员好像很少有笑脸,还有就是新鲜水果好像并不是很多很新鲜，以水果罐头居多.....不过下次去还是会选择入住的!', '短评打分': 5}
{'短评内容': '假日酒店是不错的,位置不错, 房间硬件很好,是呼和浩特市最好的,房间面积特别大,尤其是床上的备品,真是太舒服了.对于我们这样的商务客人来说,是绝好的去处了.', '短评打分': 5}
{'短评内容': '我觉得对于一个刚开业的酒店来说,假日酒店是不错的,位置不错, 房间硬件很好,是呼和浩特市最好的,房间面积特别大,尤其是床上的备品,真是太舒服了.对于我们这样的商务客人来说,是绝好的去处了.', '短评打分': 5}
{'短评内容': '前台副领班非常不专业.随便打电话到客户房间.不去查看该房间是否是请勿打扰.住店14个小时居然想收2天的房费!!!这种管理太让人反感了.都不去住你的店看你还收什么费!这一周内我连住了两次假日集团的酒店.感觉是该集团的管理方式改变很大.管理策略从关心客户变成了收刮客户.假日集团变成这个样子真的很可惜.我以前还是很喜欢假日酒店的.可现在不能不考虑换酒店了.', '短评打分': 3}
