{'短评内容': '老板人不错', '短评打分': 4}
{'短评内容': '老板人不错', '短评打分': 5}
{'短评内容': '老板人不错', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店房间初步看上去真的不错，很好很干净！但是真的入住了，还是多少有些问题的！房间很大，浴室温度不能满足，洗澡很冷，而且竟然没有电吹风！！其次，水很小！真的很小，马桶都不能冲干净了！另外，没有一次性的拖鞋，也是一点！附赠的茶叶里面是空的～唉～', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '酒店靠近芙蓉谷，离北门车程20分钟，不过周围比较荒凉，没有什么人气。更适合自驾游，老板的菜烧得不错，酒店非常干净，，绝对超一流，老板态度好，服务不错，帮助我安排了黄山游的路线，很值得再次光顾。另外，房间竟然带自动麻将桌', '短评打分': 5}
{'短评内容': '太棒了老板娘很热情。环境好', '短评打分': 3}
{'短评内容': '酒店房间比较干净卫生，不过酒店的电话出了点状况，当天一直联系不上，好在有导航，最后还是找到了。酒店饭菜有点小贵。', '短评打分': 4}
{'短评内容': '不错，下次还来的，价格实在，我们住的心情好。', '短评打分': 3}
{'短评内容': '房间的照片还没拍，只因饭很是好吃，提前评价一下，房间也很不错，性价比非常高，建议朋友们黄山旅游选择北大门。', '短评打分': 5}
