{'短评内容': '房间太小，而且房价贵，房间内布置一般，酒店老板不提供接送', '短评打分': 1}
{'短评内容': '房间太小，而且房价贵，房间内布置一般，酒店老板不提供接送', '短评打分': 1}
{'短评内容': ' 比想象中小，好在设备齐全，价格比一般客栈高，就是床太破了不平整，避开小长假就好了。', '短评打分': 3}
{'短评内容': ' 比想象中小，好在设备齐全，价格比一般客栈高，就是床太破了不平整，避开小长假就好了。', '短评打分': 3}
{'短评内容': '酒店员工很热情，房间卫生很干净，房间布局很不错，超级喜欢，值得推荐！', '短评打分': 5}
{'短评内容': '酒店员工很热情，房间卫生很干净，房间布局很不错，超级喜欢，值得推荐！', '短评打分': 5}
{'短评内容': '。。。房间小。。。枕头上有个大蜘蛛。。。但房间装修得还是挺有风情。。。', '短评打分': 1}
{'短评内容': '。。。房间小。。。枕头上有个大蜘蛛。。。但房间装修得还是挺有风情。。。', '短评打分': 1}
{'短评内容': '大堂的设施挺好的，房间太小了些。其他都还不错。', '短评打分': 5}
{'短评内容': '大堂的设施挺好的，房间太小了些。其他都还不错。', '短评打分': 5}
{'短评内容': '房间空间太小。电视机没有信号', '短评打分': 3}
{'短评内容': '房间空间太小。电视机没有信号', '短评打分': 3}
{'短评内容': '工作人员的服务态度好，但是设施一般，飞虹房内的棕床中间下陷，落月房内的空调实在是吵，而且空调就在床头，位置不好。房价偏贵，房内没有衣帽架，有些摆设华而不实。', '短评打分': 1}
{'短评内容': '工作人员的服务态度好，但是设施一般，飞虹房内的棕床中间下陷，落月房内的空调实在是吵，而且空调就在床头，位置不好。房价偏贵，房内没有衣帽架，有些摆设华而不实。', '短评打分': 1}
