{'短评内容': '换了几次房间都不理想，有得住就好了', '短评打分': 4}
{'短评内容': '。。。。。。。。。', '短评打分': 5}
{'短评内容': '假七天', '短评打分': 1}
{'短评内容': '勉勉强强 将就就行了', '短评打分': 5}
{'短评内容': '一般般的服务 一般般的环境。一般般的 房间', '短评打分': 5}
{'短评内容': '空间太小了', '短评打分': 2}
{'短评内容': '一般般……', '短评打分': 3}
{'短评内容': '酒店位置很好，但是里面设备比较旧，价格还算可以', '短评打分': 4}
{'短评内容': '好！！！', '短评打分': 5}
{'短评内容': '我爱这里就是太想在这里了', '短评打分': 5}
{'短评内容': '过得去，不过走廊有点奇葩。', '短评打分': 4}
{'短评内容': '一般般  还行', '短评打分': 5}
{'短评内容': 'Ok', '短评打分': 5}
{'短评内容': '可以接受的价格', '短评打分': 5}
{'短评内容': '出家办事的好归宿', '短评打分': 5}
{'短评内容': '位置靠近万达，还是很方便的。价格比较合理，是之前老猪七天，房间不是特别大，还是比较干净的。床比较软，睡上去比较舒服。', '短评打分': 5}
{'短评内容': '离地铁口太远了，已经不叫7天了，改成弘7天了，还打车过来，夜里睡不好，通风口一直响个不停，下次不会住了', '短评打分': 3}
{'短评内容': '很好，也很方便', '短评打分': 5}
{'短评内容': '环境还凑合吧，就是网速太差了，基本上网页打不开', '短评打分': 3}
{'短评内容': '一般般，电梯都没有', '短评打分': 4}
{'短评内容': '还行吧，性价比一般，环境有待提高', '短评打分': 3}
{'短评内容': '环境卫生，安静舒适', '短评打分': 5}
{'短评内容': '好得很........', '短评打分': 3}
