{'descr': '房间卫生和环境不错', 'star': 3}
{'descr': '位置很好，交通便利', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '好 价格便宜 离地铁近', 'star': 5}
{'descr': '前台主动送早餐，不错', 'star': 5}
{'descr': '很好 服务态度好', 'star': 5}
{'descr': '酒店住宿不错的啦', 'star': 5}
{'descr': '酒店住宿不错的啦', 'star': 5}
{'descr': '酒店还可以，比较卫生，价格小贵', 'star': 4}
{'descr': '酒店位置很好找。交通也非常方便。离省中医院很近，周围吃饭非常方便。房间环境也不错。就是去的时候前台接待员闹了个乌龙，给错房卡。进了有人住的房间。尴尬！', 'star': 5}
{'descr': '房间位置很好找，就是上下楼只有一个电梯特别不方便，要等很久，装修也比较旧了', 'star': 4}
{'descr': '房间干净、明亮，设施齐全。作为短期商务出差很划算。周边环境也不错，出外就餐、出行也很方便。住在这里是个不错的选择。', 'star': 5}
{'descr': '服务好', 'star': 4}
{'descr': '环境不错，干净，交通方便', 'star': 5}
{'descr': '在市中心这个价格这个条件还行', 'star': 5}
{'descr': '酒店清洁阿姨很好', 'star': 4}
{'descr': '服务还行，清洁卫生的阿姨人很好。', 'star': 4}
{'descr': '硬件设施一般 交通方便', 'star': 3}
{'descr': '地点方便。', 'star': 5}
{'descr': '价格很实惠，特价房屋内空气流通很差，标准双人房稍微好点，但是窗户只能开很小；空调也很难闻，安装的位置直对床头，卫生间和卧室之间有块玻璃，洗澡会有些尴尬', 'star': 4}
{'descr': '还行，看起来干净', 'star': 5}
{'descr': '蛮好的，环境部错，干净清爽！下次还选这家', 'star': 5}
{'descr': '装修 太差， 房间里面发霉太多。。。。\n下次去不住！', 'star': 1}
{'descr': '位置很好 离地铁站很近 离新街口商业街只有一站  周围有很多美食', 'star': 5}
{'descr': '酒店地理位置还好，出入较方便，但房空间较小，最不喜欢房间内原配的衣架，无法灵活挂衣。', 'star': 3}
{'descr': '定的特价房，还可以主要是交通方便，希望晚上睡觉不会吵。', 'star': 3}
{'descr': '连锁酒店各方面还是比较放心的，很方便，经济实惠，下次有机会还会入住的，', 'star': 5}
{'descr': '酒店不错，唯一缺点就是地板打的太滑，要摔跤的', 'star': 3}
{'descr': '汉中路店交通非常方便，关键物美价廉，出门就是交通，到省口腔医院省中医院两分钟路程', 'star': 3}
{'descr': '方便快捷 再续一晚 主要是离的近，能多点优惠就好了', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '房间环境还算不错，交通也方便，性价比高，值得推荐！', 'star': 5}
{'descr': '房间环境还算不错，交通也方便，性价比高，值得推荐！', 'star': 5}
{'descr': '再次回南京己入住不错，交通便利！', 'star': 3}
{'descr': '第二次来南京了，还是住的这里，交通方便，不错。', 'star': 3}
{'descr': '＋一般，没有网站上好！', 'star': 3}
{'descr': '位置还可以但酒店房间卫生差，给人感觉像小旅馆。', 'star': 1}
{'descr': '真的很不错，下次还是会去入住的，感觉地段也好', 'star': 5}
{'descr': '房间不错 但床特别不舒服 一觉起来浑身都疼 早上噪音还很大', 'star': 1}
{'descr': '环境很好，舒适。\n大床房床真的很大', 'star': 3}
{'descr': '房间很不错，感觉很值啊', 'star': 3}
{'descr': '房间稍微小点，外面稍微有点吵，房间刚进去的时候有点味道。但是总体还是不错的，值得推荐', 'star': 5}
{'descr': '酒店位置还行，去的时候4点多赶上他们家什么网络维护，等了半个多小时才入住，太纠结了，房间挺大的，床有点小，卫生间也蛮大的，但是莲蓬头坏掉了，洗澡洗的很不爽，隔音效果比较差，临街，路上很吵，睡的不好，有待加强。', 'star': 1}
{'descr': '经济适用。。。。出行必选，而且态度服务很不错。俺早上来的太早了。。。等了好久，后来前台MM看我太多行李。。让清洁阿姨加快速度打扫给我清理房间入住。', 'star': 5}
{'descr': '酒店很干净，装修也很不错', 'star': 3}
{'descr': '明明是全国放假在清明节，这两天还按周末价算，毫无道理', 'star': 1}
{'descr': '经济型酒店动不动就调价，一点没为住了一个多月的老客人考虑', 'star': 1}
{'descr': '酒店还是一如既往的好。', 'star': 3}
{'descr': '一般 ，设施比较陈旧了 ，而且比较吵 ，凑合把', 'star': 5}
{'descr': '住的时间太久以后，觉得都没什么好写的了。', 'star': 5}
{'descr': '天气渐渐热起来后，房间的温度不太好控制到舒适的程度', 'star': 5}
{'descr': '酒店每到周末都要调价，即不方便又有点小家子气 ', 'star': 5}
{'descr': '酒店周围吃的东西非常丰富，住的客人有口福了。', 'star': 5}
{'descr': '环境、服务各个方面都很OK，也许是靠近市区的缘故 ，就是晚上外面来来往往的车有些吵，其他很给力，下次还会去', 'star': 5}
{'descr': '太吵了！                              。', 'star': 1}
{'descr': '房间小，电视机还是25寸纯平的，毛巾脏。', 'star': 1}
{'descr': '很不错哟 很干净~', 'star': 3}
{'descr': '在这儿住了快半月了，成了常住户，每次上网续订挺麻烦', 'star': 5}
{'descr': '续房很麻烦，要在十二点前办理手续，很不方便', 'star': 5}
{'descr': '位置很好，交通方便。房间小了点，装修得比较粗糙。', 'star': 5}
{'descr': '管理人员还是比较认真负责，前台的问题已解决', 'star': 5}
{'descr': '前台的个别人员服务态度简直可以用流氓来形容', 'star': 1}
{'descr': '位置：方便！不论从汉中路下地铁还是上海路，都只有300米左右的距离，并且就在金斯利喜来登旁边，非常容易寻找！\n上楼：前门只有一个电梯可以上去，多少有点失望！\n大厅：实际上不大，但空间利用率很高；\n房间：大！爽！性价比感觉要比七天、汉庭系列的好些！\n退房：可能人手有点少吧，一个小姑娘感觉应付不过来！\n服务：去的时候，特价房暂时满了，给换了同价位的有窗户的一间，谢谢！', 'star': 5}
{'descr': '还好，环境差', 'star': 3}
{'descr': '门面太小难找，条件低档，难比一般低价小店', 'star': 3}
{'descr': '位置好，坐地铁方便，离新街口走路才15分钟。', 'star': 5}
{'descr': '如果在南京只不过找个床睡觉，这里是可以的。在连锁饭店里面也许莫泰168比如家还要次一点。', 'star': 5}
{'descr': '关键理我老婆宿舍很近 所以选择了它...环境一般...位置还可以...神马商务大床就是坑爹的....', 'star': 1}
{'descr': '除了地理位置比较好，其他太差了，床差点塌了，水也小，不热！隔音差！找不到什么好的！', 'star': 1}
{'descr': '这家店的地理位置很方便~而且酒店设施也比较舒适~下次还会选择~', 'star': 5}
{'descr': '位置比较好，出入方便。设施一般。不过经济连锁酒店也算可以。', 'star': 5}
{'descr': '酒店不错， 位置很好 ，交通方便，价格也很优惠，建议亲们选择这家莫泰', 'star': 5}
{'descr': '一般，可以住，该有的还算有~~后几天网都断了', 'star': 1}
{'descr': '服务不错，价格比莫泰的会员价还便宜，很满意。', 'star': 3}
{'descr': '临街！太吵睡不好!!!!!!!!!!!!!!!!!!!!', 'star': 5}
{'descr': '莫泰一贯的风格，地理位置比较好，周边交通比较便利', 'star': 5}
{'descr': '设施不错，服务也挺好的，就是周围环境比较吵', 'star': 3}
{'descr': '硬件也就是100左右价格招待所的水平，很失望。淋浴龙头是坏的，铁链门锁是坏的，遥控器恨不得用吃奶的劲才可以调，住的另外一间水龙头早上甚至没热水，你是经济酒店，不是20块的招待所！', 'star': 1}
{'descr': '环境不错，房间还行。空调很给力。交通业方便。', 'star': 5}
{'descr': '房间内的气味太难闻了,通风设备也不能用，我一个晚上都没法入睡！', 'star': 1}
{'descr': '交通方便，价格便宜，有早饭，地铁口.....', 'star': 5}
{'descr': '一开始给的房间差，要求换了。空调果然如大家评论，声音太大，请慎重', 'star': 1}
{'descr': '位置不错，比较方便。但是房间格局有点小。', 'star': 5}
{'descr': '酒店挺好的', 'star': 3}
{'descr': '酒店位置在新街口那里算是稍稍有点偏，总体还好。环境各方面还不错，但住的时候外面似乎在施工，感觉一个晚上都很吵，早上也是被轰鸣的机器声吵醒的。', 'star': 5}
{'descr': '离2号线非常近。房间干净还可以，隔音效果有待改善，房间里可以听到走廊的声音。', 'star': 5}
{'descr': '房间还算干净，干净没有以前住的气氛好，床子也小，楼道里赫然一个大大的监视器，慎得慌有点。。。特价房，也就这样啦', 'star': 5}
{'descr': '电视不给力，隔音效果差，我隔壁一伙计的呼噜声都能听得一清二楚', 'star': 3}
{'descr': '很好\nYangQD', 'star': 3}
{'descr': '房间感觉不是很干净，烟味太重，而且地理位置实在是不怎么好找，如果初次到南京，不坐出租车基本上找不到，但是房间里该有的都有了，什么都不缺，价钱也还可以，可以考虑一下', 'star': 5}
{'descr': '还不错。就是晚上房间有蚊子，安全性不错，只是觉得怪怪的。', 'star': 5}
{'descr': '地理位置很方便乾淨下次可再耒住', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '这家酒店地理位置很好，离上海路地铁口300米，在省中医院附近； 楼下有石鼓湾美食城，有很多吃饭的地方。酒店大堂在三楼，只有一个客梯上下，电梯需要刷卡，比较安全。房间内部很不错，整洁，卫生间和洗澡间设计也不错。酒店早餐也可以。酒店服务人员服务态度非常好。\n不足的地方就是楼下永和豆浆的鼓风机从早上5点多就开始工作了，一直到半夜才停止，嗡嗡的燥音非常大，影响睡眠。洗澡间的抽风机在洗澡的时候噪音也非常难受', 'star': 1}
{'descr': '房间通风太差', 'star': 3}
