{'短评内容': '早餐一般，有停车厂，不能加床，适合带孩子。………………………………………………………………………………………………………', '短评打分': 1}
{'短评内容': '早餐一般，有停车厂，不能加床，适合带孩子。………………………………………………………………………………………………………', '短评打分': 2}
{'短评内容': '早餐一般，有停车厂，不能加床，适合带孩子。………………………………………………………………………………………………………', '短评打分': 3}
{'短评内容': '早餐一般，有停车厂，不能加床，适合带孩子。………………………………………………………………………………………………………', '短评打分': 1}
{'短评内容': '早餐一般，有停车厂，不能加床，适合带孩子。………………………………………………………………………………………………………', '短评打分': 3}
{'短评内容': '不错不错不错', '短评打分': 3}
{'短评内容': '很不错继续入住', '短评打分': 4}
{'短评内容': '还不错会继续', '短评打分': 4}
{'短评内容': '不错 很好的地方 安静', '短评打分': 5}
{'短评内容': '还不错继续入住', '短评打分': 4}
{'短评内容': '安静，干净点服务好服务员漂亮。全五星', '短评打分': 5}
{'短评内容': '味道挺重的，早餐也不行，对于这个价格来说，绵阳只算中等', '短评打分': 4}
{'短评内容': '交通方便，价格实惠。现在还有早餐，非常不错。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '呵呵  环境很不错，服务也好，唯一的瑕疵就是网络差，还是有线的啊，哎，经常掉线，希望改进哈哈', '短评打分': 5}
{'短评内容': '新的二星，还不如如家，没有吃的，蚊子多，态度倒是蛮好的。只住一晚换地方了', '短评打分': 1}
{'短评内容': '这个酒店不错，值得推荐。\n要是有早餐就好了，举家外出吃早餐不太方便。', '短评打分': 5}
{'短评内容': '虽说是位置稍偏了点，装修还不错，比较满意。只是隔音差、房间有点味道，电脑键盘和鼠标垫有些脏，请酒店稍加注意！', '短评打分': 5}
{'短评内容': '还不错。就是隔音效果太差了。听了一晚的现场直播，希望下次旁边别有人住了啊', '短评打分': 5}
{'短评内容': '装修的风格挺不错的，虽然没有餐厅等，但是周边都能解决，选择在这里住主要是因为距离虎牙酒吧比较近，哈哈哈哈，总的来说都很不错，下次过去应该还是住这', '短评打分': 5}
{'短评内容': '环境一般，没有纱窗，晚上蚊子较多，休息得不够好', '短评打分': 5}
{'短评内容': '这家酒店内的条件还是可以的，但存在两个问题：一是隔音效果不好，二是最恼火的就是卫生间味道比较大。但酒店已经开始整理，可能会很好的解决这两个问题。另外酒店外餐饮不怎么发达，需要再步行10分钟左右才行。不过酒店有送餐服务，味道还是可以的。总之，我觉得这家庭酒店真的还是不错的，以后还会入住的。', '短评打分': 5}
