{'短评内容': '环境好，房间干净', '短评打分': 5}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '还好吧感觉还可以', '短评打分': 5}
{'短评内容': '不错哦，很舒服的床，价格也比较实惠。', '短评打分': 5}
{'短评内容': '房间蟑螂满地跑，灯光太昏暗，想写字都看不见，窗户小的无法形容，卫生间味道刺鼻，排风扇噪音像飞机在头顶路过，网络只有无线网速极差，还时有时无不说，经常限制上网', '短评打分': 2}
{'短评内容': '还不错，蛮方便的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '千万别住一家黑点  不按照交钱开发票', '短评打分': 1}
{'短评内容': '帮朋友定的，位置挺合适，就是房间有点小。', '短评打分': 4}
{'短评内容': '服务态度不错，房间比较清新， 唯一一点就是电脑病毒太多', '短评打分': 5}
{'短评内容': '这家酒店就是一家私人开的旅馆，酒店的位置倒是不错，在军区招待所的院内，停车比较方便。一进酒店大门就感觉不是一个正规的酒店，前台摆满了烟酒糖茶之类的像是个小卖部，二楼走廊里漆黑一片，居然没有灯，打开房门，一阵刺鼻的味道扑面而来，熏得你睁不开眼睛，不停的流眼泪，虽说把空调打开会好一些，但是严重的甲醛还是吸进了肺部。我们住的是套房，本以为会好一些，其实是一样的设施，只不过面积稍大一些。卫生间面盆上面的灯', '短评打分': 1}
{'短评内容': '酒店房间虽然小点，但是挺干净的。就是早餐不太好。', '短评打分': 5}
{'短评内容': '还不错，就是洗澡的水龙头漏水', '短评打分': 3}
{'短评内容': '在网上看这家酒店感觉还不错，本人17号入住，19号离店，店的位置不太好找，走了好多弯路，还有卫生间有股难闻的气味，一开门就有，酒店打扫卫生的员工服务很好，就是最后一天退房，规定2点退房，12点半前台就打电话让下去缴纳押金，让我很不舒服，而且电脑桌小，下次不会再去住了。', '短评打分': 1}
{'短评内容': '房间比较小，不过挺干净，床很大也很舒服。感觉还可以，价位也不高。', '短评打分': 5}
{'短评内容': '离高铁很远，前台服务热情，没有数字电视看不了CCTV5，欧洲杯看不了。房间小但干净，床大很舒服，电脑桌太小了。', '短评打分': 5}
