{'短评内容': '便宜', '短评打分': 5}
{'短评内容': '还没有住呢，很期待', '短评打分': 5}
{'短评内容': '早餐一般，位置很好，可以停车', '短评打分': 3}
{'短评内容': '酒店入住操作繁琐，服务人员对网络订房顾客不屑一顾网络订房', '短评打分': 3}
{'短评内容': '环境不错，服务好，不嘈杂', '短评打分': 5}
{'短评内容': '方便快捷，服务态度好 ，室内卫生好，设施好，周边环境好，出行便利，好好好好好好好好好好好好好好好好好满意', '短评打分': 5}
{'短评内容': '酒店还是不错的。刚开始有一些小插曲，房间郭锐你图片不一样，小了很多，有些不高兴的。但是事后携程给予了解决，旅行是开心的事情，所以这些小事也不需要计较的，房间也不是很差，挺好的。感谢。', '短评打分': 5}
{'短评内容': '很不错的选择，前厅很阔气', '短评打分': 5}
{'短评内容': '这个价格就这样，你愿意出多少钱，那么，你得到的东西就是对等的，好在停车方便还免费，一定要赞一下，有机会又来', '短评打分': 5}
{'短评内容': '住过最最差', '短评打分': 1}
{'短评内容': '酒店太差了，卫生也差，早点特差，床更差(凹凸不平)难入睡！设备也差！', '短评打分': 2}
{'短评内容': '老三星酒店', '短评打分': 4}
{'短评内容': '硬件设施不错，位置也可以，就是服务基本没有，早餐不如街边摊。', '短评打分': 4}
{'短评内容': '整体装修外观上不错，比想象的大气，房间很宽敞，就是灯光不是很明亮，房间的座机连电池都没有，根本不能打，有事情还要跑到大厅去说，卫生间的镜前灯还要看心情，心情好时就亮，心情不好直接不亮，房间地毯上蚂蚁有点多，不要在房间吃东西，房间里也没有吹风机，后来去大厅自己要了个……', '短评打分': 3}
{'短评内容': '定的时候是过年，版纳的旅游高峰期，能定上就不错了，酒店年岁有点长了，周边环境一般，唯一好处是距离曼亭公园较近！', '短评打分': 3}
{'短评内容': '相比于住的其他酒店好很多', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很不错。  位置很好。帮朋友订的，还免费接送机。司机服务非常好。', '短评打分': 5}
{'短评内容': '原本打算住傣园,但是改到了这里,九楼还要爬一层楼梯,硬件软件都很一般,早餐更加不推荐. 卫生还是不错的.', '短评打分': 1}
{'短评内容': '还行，节日价格较贵，有点吵。交通还可以。吃饭较近，离也烧烤大排档是走着10分钟。', '短评打分': 5}
{'短评内容': '价格实惠！其他方面真的很一般！房间旧，服务员服务意识不强。', '短评打分': 5}
{'短评内容': '酒店标3星级，但实际与三星差太多。服务一般，房间比较旧，房卡经常不好开门。早餐一般，吃饱而已。但价格还算实惠。', '短评打分': 5}
{'短评内容': '不是因为春节订不到房，真的没想住这家：如同网上的评论一样-光线暗、设施旧、床很硬、服务差，而且直接给了我们一间尚未打扫的房间！', '短评打分': 1}
{'短评内容': '该酒店地理位置偏僻，环境卫生也不好，而且还贵得要命。不过是旅游旺季嘛，将就点。', '短评打分': 1}
{'短评内容': '整体来说设施对得起这个价位吧~~~\n优点：1、免费的早餐很好，能吃饱\n      2、房间空间很大，床很舒服，有空调的，不知道是不是累了的缘故~~~\n      3、服务员态度不错，打电话要个吹风机马上就送来了，不过这个层次的宾馆应该每个房间都应该有的呀！\n      4、有免费的接机，不过不送机啊……\n缺点：1、早餐种类少，有热菜大概3个吧，但是只有一个是热的~~\n     2、不知道怎么地，住', '短评打分': 5}
{'短评内容': '布局和风格比较满意，简单温馨，卫生很好，交通便利.', '短评打分': 5}
{'短评内容': '我帮朋友订了八个房间，他们说服务比较满意，简单温馨，卫生很好，交通便利.', '短评打分': 5}
{'短评内容': '设施陈旧，服务真的不好说，感觉一点都不像三星的正规酒店', '短评打分': 1}
{'短评内容': '酒店环境、卫生条件都还好。但窗户的隔音效果太差，外面马路上的汽车声音很大。\n早餐太差，没什么东西，而且大多都凉了，去的晚，一些食品都没了。\n还有就是离夜市、商业购物区稍远。', '短评打分': 1}
{'短评内容': '酒店房间还可以，地段也将就，但早餐太差，稍晚一点就没有什么吃的了。', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '入住了一晚，太吵了，不知道什么机器一直在闹，路上的车也很吵，根本值不起658元，房间也不太干净，被子也是，下次来绝对不住这家了。', '短评打分': 3}
{'短评内容': '除了设施旧了点外，其他的还可以，另外早餐简单了点。', '短评打分': 5}
{'短评内容': '太旧 没人气  服务很不好 地方很不方便 ', '短评打分': 1}
{'短评内容': '酒店所处的地理位置不好，早餐不好吃，房间及配套更本不是三星', '短评打分': 5}
{'短评内容': '空调不凉,服务人员不是很多,服务跟不上.其它各方面都挺好的,整体来讲还可以.', '短评打分': 5}
{'短评内容': '房间打扫得干干净净的，设施也还可以，不错。', '短评打分': 5}
{'短评内容': '对这里房间的布局和风格比较满意，简单温馨，卫生很好，也很安静。', '短评打分': 5}
{'短评内容': '服务很热情！交通便利，出去玩很方便！', '短评打分': 5}
{'短评内容': '酒店位置不错，在卫生上也做的蛮好，看着都很整齐。', '短评打分': 5}
{'短评内容': '设施一般，性价比还成，周围环境挺好的，可以推荐。', '短评打分': 5}
{'短评内容': '尤其餐饮不敢恭维', '短评打分': 1}
{'短评内容': '设施陈旧.早餐很差.一个鸡蛋切四半.主食只有稀饭\\小馒头\\米线(自己动手煮).过道竟然不开灯.山西老板真会节省.如果按照三星的价格,也就凑活了,赶上泼水节前入住,价格涨到658元,十分不值.强烈不推荐.', '短评打分': 1}
{'短评内容': '很旧，不舒服', '短评打分': 1}
{'短评内容': '很糟糕的酒店，居然是三星涉外的，价格和酒店设施差得太多', '短评打分': 1}
{'短评内容': '酒店的服务人员很冷淡,一点不热情主动招呼客人,卫生条件还可以了,房间里挺干净的.价格也蛮合适的.', '短评打分': 5}
