{'descr': '在中山宾馆开会 作为3星级的来说 还不错', 'star': 5}
{'descr': '参加会议入住 交通比较方便 很满意', 'star': 5}
{'descr': '参加会议住的 除了不含早餐 其他都不错', 'star': 5}
{'descr': '酒店很好干静卫生周边设施齐全', 'star': 5}
{'descr': '环境还行，只是不管早晨，酒店出门右手有一家驴肉火烧蛮不错。', 'star': 5}
{'descr': '设备有点旧，卫生还是挺好的！！', 'star': 5}
{'descr': '不错的 ', 'star': 5}
{'descr': '地方挺干净，交通挺方便的，屋里很暖和，很喜欢。', 'star': 5}
{'descr': '很不错，环境整洁，舒适安静。', 'star': 5}
{'descr': '酒店中高端，环境不错，安静舒适，服务态度很好。', 'star': 5}
{'descr': '酒店极具政府办公室特色，没什么活力，装修也不时尚，好在还算干净卫生，房间大小也可以，出门就中华北大街. ', 'star': 4}
{'descr': '酒店挺好的，就是隔音不是太好', 'star': 5}
{'descr': '位置在石家庄市中心，是省政协宾馆，正规。干净，房间大。周围有许多小吃，饭店。早餐对面车站就有一个，很好，油条豆浆，包子粥，小咸菜。', 'star': 5}
{'descr': '交通便利，房间装修较新，服务员较为热情，附近早餐小吃店比较多，建议住5楼以上，作为省政协接待中心，现在经常举办会议。', 'star': 4}
{'descr': '酒店床很不舒服，噪音很大。让人不解的是停车还要交过夜费，让人很气愤，下次不会再住了。', 'star': 4}
{'descr': '干净卫生，环境好，，，', 'star': 5}
{'descr': '住的挺好的，就是附近在修地铁，不太好走。', 'star': 3}
{'descr': '还行吧，网络超级快。', 'star': 3}
{'descr': '附近购物也很方便，晚上也不吵闹，适合旅游居住！', 'star': 3}
{'descr': '交通方便，订单一下就去前台办理入住手续，服务态度很好！', 'star': 3}
{'descr': '简单实惠', 'star': 3}
{'descr': '设施有些陈旧', 'star': 3}
