{'短评内容': '房间挺大的。挺不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境很不错，干净卫生，隔音也很好，服务态度很好，住了两个晚上，牙具是免费的，交通也很方便，离天门山只有五分钟，', '短评打分': 5}
{'短评内容': '位置好，购物也方便，第二次入住乐', '短评打分': 5}
{'短评内容': '方便吃东西，逛街。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常舒适  房子可以', '短评打分': 5}
{'短评内容': '挺好的，周边小吃特别多，交通也挺方便的。服务员的态度也不错，非常好，下次还会再来，价格也不贵，适合长久居住。', '短评打分': 5}
{'短评内容': '好，舒适！', '短评打分': 5}
{'短评内容': '卫生好 房间好', '短评打分': 5}
{'短评内容': '房间好 卫生好', '短评打分': 5}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '红红火火红红火火红红火火红红火火', '短评打分': 5}
{'短评内容': '交通方便设施齐全。', '短评打分': 5}
{'短评内容': '酒店环境可以、卫生还行、空调噪音较大。交通很方便。', '短评打分': 4}
{'短评内容': '安静，卫生，价格适中，关鍵是办事方便，多次入住。', '短评打分': 5}
{'短评内容': '房间很漂亮，卫生很干净，被子像新的一样，睡着很安心，网络信号也不错。老板人不错很热情，打开窗户清新的空气就扑面而来很舒服，周围环境也安静，休息的很好！下次来玩还会住这里！非常值得推荐哦！赞', '短评打分': 5}
{'短评内容': '很不错的情侣间，干净漂亮。', '短评打分': 5}
{'短评内容': '环境很好，收拾得很整齐，停车方便、很不错。', '短评打分': 5}
