{'短评内容': '挺不错，干净整洁。', '短评打分': 5}
{'短评内容': '很有礼貌，', '短评打分': 5}
{'短评内容': '距离市区很近 卫生条件也不错 适合出游出差等各种活动   另外也有所有如家都会有的一个毛病就是隔音不太好', '短评打分': 5}
{'短评内容': '很好，很不错', '短评打分': 5}
{'短评内容': '很好，好干净，性价比很好', '短评打分': 5}
{'短评内容': '酒店服务好，卫生干净，出差首选', '短评打分': 5}
{'短评内容': '一般，停车太不方便，没有停车场，房间看样子', '短评打分': 5}
{'短评内容': '可惜没有房间了，也不知道里面咋样', '短评打分': 5}
{'短评内容': '没窗，水管不知道出的混水', '短评打分': 3}
{'短评内容': '房间大、干净、舒服', '短评打分': 5}
{'短评内容': '非常好呦', '短评打分': 5}
{'短评内容': '房间大，比较好找，方便的快捷酒店。', '短评打分': 4}
{'短评内容': '行，我觉得行', '短评打分': 5}
{'短评内容': '住一晚，还不错，………………好评', '短评打分': 5}
{'短评内容': '可以接受，不错', '短评打分': 5}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '环境还好，比较干净！设施一般而已～ 推荐！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境还不错。就是有个前台服务员态度不是特别好。房间东西还是比较齐全的', '短评打分': 5}
{'短评内容': '在市区里，酒店和服务很好，电视节目太少！早餐质量需要改进！', '短评打分': 5}
{'短评内容': '整体感觉还不错，可能是夏天的原因有一点异味。不过空调开着就问不出来了。', '短评打分': 5}
{'短评内容': '酒店非常干净，人素质也很高。赞一个！', '短评打分': 3}
{'短评内容': ' 服务很好\u3000满意', '短评打分': 3}
{'短评内容': '挺好的 干净房间也大 服务态度也很好 入住很舒服 推荐', '短评打分': 5}
{'短评内容': '酒店设施比较新，服务也还可以，在城区边上，离车站较远', '短评打分': 5}
{'短评内容': '挺好的,尤其卫生间', '短评打分': 3}
{'短评内容': '很舒服很干净服务很好', '短评打分': 3}
{'短评内容': '如家都是不错的，在市中心，不足是办理入住手续比较慢！', '短评打分': 5}
{'短评内容': '酒店环境温馨，服务态度良好，我觉得挺不错的。以后会经常去该酒店住宿。希望有更好的服务态度！', '短评打分': 5}
{'短评内容': '卫生很好，服务也很好，房间很温馨，就是大床房面积太小', '短评打分': 5}
{'短评内容': '暖气很热', '短评打分': 3}
{'短评内容': '以前住如家感觉不错，可是这次如家不如上次住的时候干净，床单上还有脏东西，感觉像是没换。希望下次注意', '短评打分': 1}
{'短评内容': '酒店环境不错，服务态度友好，如果去乳山，向朋友们推荐该酒店。', '短评打分': 5}
{'短评内容': '无窗的房间，比较闷一点，但是价位合适，设备也都一样的齐全。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '不错 ，很好······················', '短评打分': 5}
{'短评内容': '酒店不错，主要是有媳妇儿在早早接待，所以很开心！！哈哈哈', '短评打分': 5}
{'短评内容': '标准间比较宽敞，卫生洁净。又非常实惠。入住后感觉挺舒服。也有打扰，服务周到！', '短评打分': 5}
{'短评内容': '很干净  很清静  是当地很好的 宾馆,还会去的\n', '短评打分': 5}
{'短评内容': '入住当晚遇上打架的了，大吵大闹，110也不作为，暖气太热。没办法，小城市将就吧。', '短评打分': 5}
{'短评内容': '十早餐丰盛,干净整洁。环境也不错,隔音稍差,房间内缺少纸巾,需要自备。', '短评打分': 3}
{'短评内容': '一贯的服务与质量，不错不错。没想到这么小的地方，都有覆盖！如家越来越强大了哦！！', '短评打分': 5}
{'短评内容': '住了2个晚上，房间又大 又干净，就是味道有点重，但是性价比很高，下次还会入住的，很满意。', '短评打分': 5}
{'短评内容': '很干净，服务态度也很好，在市中心位置，购物也很方便。很不错的选择\n', '短评打分': 3}
{'短评内容': ' 标间房间面积很大 环境不错 如果电视大一点就更好啦 总得来说满意', '短评打分': 3}
{'短评内容': '我住的是特惠大床房，房间有点小，浴室也很小，空间比较局促。其他方面还不错。', '短评打分': 5}
{'短评内容': '如家快捷酒店（威海乳山青山路店）干净、如家的感觉，以后还会订这家联锁店的。', '短评打分': 5}
{'短评内容': '设施很新。自从如家开张后，来乳山就一直住这里。\n挺好。', '短评打分': 5}
{'短评内容': '早晨洗澡时没有热水,其他的都还不错', '短评打分': 3}
{'短评内容': '房间很干净，单人大床很舒服，五楼睡觉很安静，很满意。', '短评打分': 3}
{'短评内容': '方便快捷，处于乳山的成熟地段，附近有市场、商业街，超市、银行等。晚上安静，适宜休息，总之，是个不错的地方。', '短评打分': 5}
