{'短评内容': '一般，离机场太远，有点骗人', '短评打分': 3}
{'短评内容': '夜里实在太吵', '短评打分': 3}
{'短评内容': '洗澡水是黄的！插孔没电！wifi也没有，我真不知道这酒店会这样知道的话绝对不会来大家订大床房的时候注意一下', '短评打分': 3}
{'短评内容': '前台服务员眼镜男太操蛋了，早上那个女服务挺好，热情，酒店房间里太烂了，没热水，开关烂的，人气也不是很旺', '短评打分': 2}
{'短评内容': '不错，不错，快点入住，性价比高。还差1个字，够了', '短评打分': 5}
{'短评内容': '网上与酒店实际情况相差太大，太长见识了，无语！', '短评打分': 3}
{'短评内容': '位置不在路边，第一次找有点费劲。附近吃饭的地方选择比较多，价位有高有低。有线网和无线网都没有。隔音一般，尚可接受。在网上预订没有早餐赠送。可能是因为卫生间下水道的原因，稍有点异味，算是可以接受的范围内', '短评打分': 3}
{'短评内容': '位置不在路边，第一次找有点费劲。附近吃饭的地方选择比较多，价位有高有低。有线网和无线网都没有。隔音一般，尚可接受。在网上预订没有早餐赠送。可能是因为卫生间下水道的原因，稍有点异味，算是可以接受的范围内吧。', '短评打分': 3}
{'短评内容': '位置不在大路边，第一次找有点费劲。附近吃饭的地方选择比较多，价位有高有低。无线网和有线网都没有。隔音一般，尚可接受。在网上预订没有早餐赠送。可能是因为卫生间下水道的原因，稍有点异味，算是可以接受的范围内吧', '短评打分': 3}
{'短评内容': '位置方便价格适中停车不方便', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '位置比较隐蔽一些，用导航就比较好找。附近吃饭的地方选择比较多，但是需要走一会儿才能到。我去的时候正好赶上没有网络，很麻烦。在网上预订没有早餐赠送。可能是因为卫生间下水道的原因，稍有点异味，算是可以接受的范围内吧。以后还会尝试预订。', '短评打分': 3}
{'短评内容': '位置比较隐蔽一些，用导航就比较好找。附近吃饭的地方选择比较多，但是需要走一会儿才能到。我去的时候正好赶上没有网络，很麻烦。在网上预订没有早餐赠送。可能是因为卫生间下水道的原因，稍有点异味，算是可以接受的范围内吧。以后还会尝试预订。', '短评打分': 3}
