{'短评内容': '出行方便，床有点硬。', '短评打分': 4}
{'短评内容': '其他都还可以，就是房间小了点。', '短评打分': 5}
{'短评内容': '环境好，交通方便', '短评打分': 5}
{'短评内容': '环境好，交通方便', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '不错啊！代朋友订的。说性价比高', '短评打分': 4}
{'短评内容': '来过多次了！性价比高', '短评打分': 4}
{'短评内容': '房间特干净，环境安静，出行方便', '短评打分': 5}
{'短评内容': '就是老了一点', '短评打分': 4}
{'短评内容': '一般吧不过便宜', '短评打分': 3}
{'短评内容': '第二次住了，和上次一样好。挺温馨的，而且就算退房迟了一点也没关系。服务很好。', '短评打分': 4}
{'短评内容': '豪华间，地摊的味道太大，因为太潮湿的原因，都是发霉的味道。', '短评打分': 3}
{'短评内容': '我感觉在这种酒店里价格算便宜的了，里面挺干净的，一看就很有档次，就是房间小了点！', '短评打分': 4}
{'短评内容': '交通便利！环境干净！', '短评打分': 5}
{'短评内容': '环境干净！舒适！', '短评打分': 5}
{'短评内容': '住的是大床房，房间很小，设施陈旧，只住这一次', '短评打分': 3}
{'短评内容': '酒店很干净  服务态度也很好  就是有点偏   ', '短评打分': 5}
{'短评内容': '干净，服务好，有个大浴缸，泡澡很舒服。其他方面也都不错', '短评打分': 5}
{'短评内容': '周围环境可能不是很好，但是酒店本身非常好，很满意，前台服务态度也很好\n\n', '短评打分': 5}
{'短评内容': '酒店的大堂、走廊很华丽，98元的单人间显寒酸了，毕竟就这个价！一分钱、一分货。', '短评打分': 1}
{'短评内容': '价钱合适，但是空调和网速都不怎么样', '短评打分': 3}
{'短评内容': '服务都很好，网络忒慢了', '短评打分': 3}
{'短评内容': ' 不错的 啥都不用带 很齐备 环境不错 就是隔音不好', '短评打分': 3}
{'短评内容': '普通单间两人住也还宽松，采光不错，服务周到，还赠送早餐券，报纸。网速也可以，不足的是周边夜间不是很安静！', '短评打分': 3}
{'短评内容': '房间很安静,稀饭', '短评打分': 3}
{'短评内容': '三星级，住着很安静，房间设施很齐全，免费早餐也不错，推荐', '短评打分': 5}
{'短评内容': '金蓝港的性价比挺高，下次还会入住', '短评打分': 3}
{'短评内容': '离前面马路很近，很吵，隔音效果也不是很好。', '短评打分': 5}
{'短评内容': '条件很好，早餐也很丰盛，很多开会培训，办婚宴的都在这，呼市的出租车都知道这个酒店，卫生也很好，服务员态度也很好，下次来呼市还住这。', '短评打分': 5}
{'短评内容': '大堂四星标准，房间2星半吧，早餐3星。唯一不满意的地方就是浴室水不太热', '短评打分': 5}
{'短评内容': '网速较慢，但是条件不错，部分家具比较旧，但是酒店整体服务都不错。', '短评打分': 5}
{'短评内容': '隔音有点不好，有部分床头控制的灯开关坏了，中午有婚宴挺吵。', '短评打分': 5}
{'短评内容': '房间较小，其设施还行，相对来说价美物廉，唯一不足的就是网速慢的无法忍受。另本来预订了4点，从第二天开始早点从原来的自助餐变成了份饭，而且很差劲的份饭。所以提前搬走了', '短评打分': 5}
{'短评内容': '服务不错，环境也可以，性价比还行，早点也丰富，值得推荐', '短评打分': 5}
{'短评内容': '水不好用，喷头不好了，房间有点冷，其它的还可以。', '短评打分': 5}
{'短评内容': '酒店位置好找，很舒适，灯光细节到位，有保险箱，卫浴干净，房间没有装修的味道', '短评打分': 5}
{'短评内容': '性价比很高，服务态度很好。十二点我肚子饿的慌，打电话让客房送了包方便面过来，速度很快就送来了。', '短评打分': 3}
{'短评内容': '一个月有大半个月都在这家酒店，只要来呼市基本都会选择这里', '短评打分': 5}
{'短评内容': '这家酒店的服务确实很好，是星级的标准，但是价格却大大低于其他酒店！入住的是98元单人间，但是床很大可以睡两个人！还有小冰箱和保险柜这些！有个大浴缸，洗澡很舒服！还有免费的自助早餐，真的很不错！唯一的不足就是宽带速度很慢~~不过这个价格住这样的酒店已经很好了！住过这么多的宾馆酒店，这家的性价比是最高的，所以很推荐~~~', '短评打分': 5}
{'短评内容': '酒店很不错，', '短评打分': 3}
{'短评内容': '酒店服务很好，性价比很高。', '短评打分': 3}
{'短评内容': '已经入住多次，该酒店干净，舒适，有档次，下次去呼市还住这边', '短评打分': 5}
{'短评内容': '什么地方都不错，网速慢，早餐不怎么样，服务人员态度不错', '短评打分': 5}
{'短评内容': '服务态度好，单间房价合适，并且有早餐。真的实惠又好住，关键人都很热情。', '短评打分': 5}
{'短评内容': '环境不错，距离车站也很近，就是早餐比较早8:30就结束了，总的来说性价比很高，不错。', '短评打分': 5}
{'短评内容': '很好，物有所值！。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还不错，就是设备旧', '短评打分': 3}
{'短评内容': '酒店卫生水平不错，环境也可以，设施稍微旧了些，18元点了一碰疙瘩汤，量很大，很不错，从价位来看，还可以。', '短评打分': 5}
{'短评内容': '如果在回民区办事的话很方便，但是.....网速啊网速，什么时候能快一点！！！', '短评打分': 5}
{'短评内容': '性价比高，服务态度一流，但设施稍显陈旧，网速有待提升。', '短评打分': 5}
{'短评内容': '有点偏，但是环境很好，价格也很低。', '短评打分': 3}
{'短评内容': '房间设施还不错，因为门前修路才这么便宜。住了两天每天餐厅都有婚宴，有点吵，网速太慢，上网不方便。', '短评打分': 5}
{'短评内容': '单人间很不错，实惠，生活设施很全。地理位置很好，服务态度不错。美中不足的是浴缸不好用，有点旧，只能洗淋浴。', '短评打分': 5}
{'短评内容': '不错！就是有点偏僻！倒是离火车站挺近的！', '短评打分': 5}
{'短评内容': '半夜很冷……窗户不严……早餐没以前丰富了……但整体性价比还是很高~', '短评打分': 5}
{'短评内容': '刚进大厅觉得很亮堂，前台很靓丽温柔，看上去也是不错。但一进房间，发现很烂，卫生间还是90年代的酒店模式那种灰暗潮湿，老式的淋浴头是固定的，水不够热，橱子里的木头都是发霉的。我原以为是我运气差，可换了一间还是这样，看其它的标间和豪标也都是差不多。第一次给我的房间刚开始书桌下的插座电源没有反应，服务员很热情的帮我换了一间，还是没有反应。只能拔下电视的电源口来用。网速已经不能用慢来形容，峰值是12K，平', '短评打分': 1}
{'短评内容': '真实的星级享受   绝对的性价比    内部环境   服务太好了   下次还是会选择到这来住', '短评打分': 5}
{'短评内容': '很满意，有机会来这边还会选择这里。', '短评打分': 3}
{'短评内容': '房间很暖和，水也很好，服务态度也好，下次还会来。', '短评打分': 5}
{'短评内容': '酒店环境不错，单人间物有所值，早餐比较丰富，中西结合很不错。', '短评打分': 5}
{'短评内容': '其它都好，就是网络太慢，如果不用网路，还是不错的。', '短评打分': 5}
{'短评内容': '地址有点偏，不过酒店还算干净，店内环境较好。上次入住时有送早餐，这次入住不送早餐，有点郁闷，在擕程网订的这家酒店还有早餐送呢。', '短评打分': 5}
{'短评内容': '本人认为很划算，值得一去！', '短评打分': 3}
{'短评内容': '环境还行价格公道', '短评打分': 3}
{'短评内容': '服务好，设备简单干净，值得一住！', '短评打分': 3}
{'短评内容': '值就一个字。虽然床小点，但特价房还是值得一住的。', '短评打分': 5}
{'短评内容': '很好，设施齐全，超值。服务态度很好。', '短评打分': 3}
{'短评内容': '相当超值，就是位置不是很好，在回民区，要是在这附近办事的人最最超值', '短评打分': 5}
{'短评内容': '服务态度挺好!', '短评打分': 3}
{'短评内容': '不错，下次还会选择这里，水很热，很温暖。', '短评打分': 5}
{'短评内容': '不错，物有所值！还有20元的自助早餐券！下次一定还会入住的！\n', '短评打分': 5}
{'短评内容': ' 不错。物有所值。单人间，88元。如果不是在修路，三星的店应该不止这个价。缺点:家具旧了点。', '短评打分': 3}
{'短评内容': '酒店环境好!比较满意', '短评打分': 3}
{'短评内容': '总体上讲不错，但是位置有点偏，服务挺周到，各方面设施比较好，，', '短评打分': 5}
{'短评内容': '位置比较偏，交通不好，到处在修路，进出很麻烦，但价格便宜，呵呵，', '短评打分': 1}
{'短评内容': '这几天没供暖，有点冷，房间温度低，总的说整体还可以', '短评打分': 5}
{'短评内容': '很不错啊，房间设施齐全，就是有点小，隔音效果不太好', '短评打分': 5}
{'短评内容': ' 前台的服务员的态度非常不礼貌，一看我的名字就大笑起来，一直笑，虽然我是个外国人，但从来没遇到过这么不礼貌的人，真讨厌，我以后不住', '短评打分': 3}
{'短评内容': '马马虎虎，没有早点了，酒店服务挺你好的。', '短评打分': 5}
{'短评内容': '嗯，真的不错，环境挺好的，就是打车比较难，正赶上修路，交通不太方便', '短评打分': 5}
{'短评内容': '满实惠的 还不错 地方满安静 算是度假的好地方 酒店的餐厅也不错', '短评打分': 5}
{'短评内容': '很划算，宾馆环境很好~~~不过床的弹簧真是感受的很真实~~', '短评打分': 5}
