{'短评内容': '酒店位于昆明路，周围在拆迁都在施工，到处都是灰尘，酒店设施比较陈旧，有待更新，二楼的私房菜口味很棒，就是上菜速度不敢恭维，5个菜硬是上了一个半小时！！！', '短评打分': 3}
{'短评内容': '干净，门口地铁施工', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，非常不错', '短评打分': 5}
{'短评内容': '还是不错的，就是热水不热呀。', '短评打分': 5}
{'短评内容': '因为家里停电停水，酒店又在家门口，图方便就选择入住！', '短评打分': 5}
{'短评内容': '错比较安静', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '夜里到店 连门头都没有 司机都找不到 酒店大堂很凌乱 一般商务出差还可以 ', '短评打分': 4}
{'短评内容': '交通便利，环境不错，推荐', '短评打分': 4}
{'短评内容': '一直感觉不错，下次还会再来', '短评打分': 5}
{'短评内容': '还不错，就是退房时候挺混乱额。 字数字数字数', '短评打分': 4}
{'短评内容': '还不错，就是退房时候挺混乱额。 字数字数字数', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '安静，干净，服务态度也好！顶！顶！顶！顶！顶！顶！', '短评打分': 5}
{'短评内容': '酒店很新，很干净，服务又好，地段也不错，非常方便！顶！', '短评打分': 5}
{'短评内容': '环境优雅，干净，酒店服务品质也很好，都不错的！', '短评打分': 5}
