{'短评内容': '在这个位置算便宜了，只是不能开增专', '短评打分': 5}
{'短评内容': '入住了停业装修前的最后2晚，已经不发门卡了，每次回到房间还得请服务员开门。房内设施陈旧，卫生差，为了出差办事只能将就。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '实在差得无法形容。前台工作人员的态度极差，房间设施老旧，卫生状况不好，而且房间居然没有房卡，每次外出都要在前台通知服务员开门，这种酒店跟其价格完全不匹配，以后绝对不会再来！', '短评打分': 2}
{'短评内容': '呵呵', '短评打分': 3}
{'短评内容': '服务很好，房间浴室很大，安逸', '短评打分': 5}
{'短评内容': '不错。。。。。', '短评打分': 5}
{'短评内容': '非常好，下次还会来', '短评打分': 5}
{'短评内容': '房间卫生间空间很大，同等设施比旁边的红驿栈便宜一倍，性价比高，最满意安保工作非常到位，服务热情，好评，下次出差还会入住', '短评打分': 5}
{'短评内容': '房间比较干净，热水好，环境可以。', '短评打分': 4}
{'短评内容': '是可以的', '短评打分': 2}
{'短评内容': '网速非常慢，电视是电视盒子，所以这个速度根本看不成电视，室内比较陈旧，房间有些冷，唯一的小窗子根本不进光，没光线，一天也不知道是白天黑天。就是出门比较方便，左右两边都有饭店。', '短评打分': 4}
{'短评内容': '给朋友定的 隔音不太好 设施比较老旧', '短评打分': 3}
{'短评内容': '坐地铁比较方便', '短评打分': 4}
{'短评内容': '比较适合坐地铁！', '短评打分': 4}
{'短评内容': '酒店位置很好，前台客服服务态度很好，房间干净整洁。交通比较方便，客户反映还不错，下次还会选择此酒店。', '短评打分': 4}
{'短评内容': '环境好，服务周到，交通方便，好', '短评打分': 5}
{'短评内容': '床很大，也很舒服，房间干净，就是电脑不太好用', '短评打分': 5}
{'短评内容': '普通酒店．房间较大，设施条件不好，花洒漏水，有网线，但不能上网．', '短评打分': 1}
{'短评内容': '地点可以交通方便，服务态度一般，房间卫生可以还。早餐没以前好了', '短评打分': 5}
{'短评内容': '酒店离东直门地铁站很近，乘坐机场快轨很方便，楼下有好吃的烧烤和面皮。特有的家庭间非常适合一家三口出行，房间舒适整洁，推荐！', '短评打分': 5}
{'短评内容': '环境不错，卫生间超大,服务热情，早餐品种再丰富些那就更好啦', '短评打分': 5}
{'短评内容': '整体还行，房间稍小，下次继续住', '短评打分': 3}
{'短评内容': '酒店位置还可以，不在东直门外大街临街，所以挺安静的。\n房间挺大，大浴缸看着漂亮，但不一定实用，站在里面洗澡得小心，水不够热。\n床够大。旁边新开了个烤翅店。', '短评打分': 5}
{'短评内容': '酒店不错。在这个位置，这个环境，还是值这个价钱的。距离地铁东直门站步行大概２０分钟的路程。楼下就是新开的翅吧。味道一般，但贵在方便。另外楼下还有个山西面馆，不过没有品尝，无法评价。推荐！不过可惜的是早餐没有吃到。原因是没来得及。', '短评打分': 5}
{'短评内容': '酒店不错，性价比很高', '短评打分': 3}
{'短评内容': '房间一般，早餐更不好！服务人员的态度及服务常识有待提高', '短评打分': 1}
{'短评内容': '点评', '短评打分': 3}
