{'短评内容': '旧是旧了点，到住着舒服', '短评打分': 5}
{'短评内容': '好啊 离市中心很近啊', '短评打分': 5}
{'短评内容': '停车方便。每次来了南门口附近都住山水大厦。经济实惠', '短评打分': 5}
{'短评内容': '时隔多年再次住进山水，房间设施设备感觉有些不能与时俱进了，空调效果挺好，反正在赣州市应该是挺不错的了。早餐还可以，去古城墙、800多年的浮桥等景点以及去钓鱼台等地找美食很近，步行完全没有问题的且价格较亲民。赣州，一个我不能忘记的地方，还会再回来的。', '短评打分': 4}
{'短评内容': '价格相对来说比较便宜，位置也好！门口可以停车，自驾游的游客比较方便！服务员的服务有待提高，还有就是要注意卫生间的淋浴房，有水溅出来后，地面就比较滑！这个需要改进！', '短评打分': 4}
{'短评内容': '还可以，就是房子老了些', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '越来越差了！住过那么多次，这是最差的一次。', '短评打分': 2}
{'短评内容': '真不怎么样。团购房太差了，不如协议房。王瑞呵呵哈哈哈姐姐。。。后来说换一个还要付费。不爽啊啊啊啊。委屈了一晚', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '服务态度很好，房间层楼不好找', '短评打分': 5}
{'短评内容': '每次来都住这！早餐不错！经济实惠！', '短评打分': 5}
{'短评内容': '市中心   交通方便', '短评打分': 5}
{'短评内容': '周边环境不错，超市什么的都很多，吃饭可以挂账。就是桑拿不能挂账。房间装修风格比较老，但是还是卫生。', '短评打分': 4}
{'短评内容': '3星级的，这个价格不错。如果康乐中心也可以挂账就更好了。餐厅不错。', '短评打分': 4}
{'短评内容': '服务员工作效率低，吃东西也不处理退房，房间还有嗅味，地毯黑黑的，非常脏。停车非常不方便。所以价格低廉，上当了。', '短评打分': 1}
{'短评内容': '服务员态度非常差，房间有恶嗅，停车非常不方便', '短评打分': 1}
{'短评内容': '山水大厦一般呢，早餐太一般了。', '短评打分': 4}
{'短评内容': '环境不错，交通便利，就是早餐差了点', '短评打分': 3}
{'短评内容': '房间面积中等。价格还行。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '山水大厦房间比较宽敞，早餐丰富，从进电梯到房间闻到一股厨房味，停车埸太小。', '短评打分': 3}
{'短评内容': '位置靠近步行街，购物很方便。卫生．服务也不错。早餐还可以。有机会还会入住。', '短评打分': 5}
{'短评内容': '的确不错，位置，早餐尚好，房间卫生也不错，总体性价比尚可！ \n', '短评打分': 5}
{'短评内容': '我已入住山水大厦谢谢', '短评打分': 3}
{'短评内容': '服务态度好，客房整洁、卫生，交通方便、容易找。', '短评打分': 5}
{'短评内容': '位置不错，早餐可以，服务规范。比较满意，房间略显老旧。不过还是觉得值得推荐', '短评打分': 5}
{'短评内容': '成功入住', '短评打分': 3}
{'短评内容': '条件一般，还算干净', '短评打分': 3}
{'短评内容': 'The price is expensive comparing the facility of room but the buffet breakfast is really good', '短评打分': 5}
{'短评内容': '赣州山水大厦宾馆位置在市区，交通方便，设施旧了一点。', '短评打分': 5}
{'短评内容': '的确不错，位置，早餐尚好，房间卫生也不错，总体性价比尚可！', '短评打分': 5}
{'短评内容': '性价比很高的酒店 服务不错 卫生也很好 下次还会再去住', '短评打分': 5}
{'短评内容': '房间比较大，隔音效果很好，通风和采光都很好，室内卫生间和床品都很干净，住宿条件蛮好的', '短评打分': 5}
{'短评内容': '酒店周边交通出行蛮方便的，有公交车，酒店有自己的停车场，自驾也很方便，酒店服务很好，周到热情，房间卫生干净整洁，住宿条件很不错', '短评打分': 5}
{'短评内容': '总体感觉很不错的酒店，宾馆位置不错，周边出行很方便，房间硬件设施很齐全，舒适度蛮好的，服务也很周到热情', '短评打分': 5}
{'短评内容': '在红旗大道边上，出行购物都很方便，房间卫生做的不错，比较干净，客房服务也很到位，住宿环境很满意', '短评打分': 5}
{'短评内容': '酒店位置很好，出行方便，房间里提供的硬件设施很齐全，服务到位，卫生条件也很干净，住着很舒服', '短评打分': 5}
{'短评内容': '酒店位置很好，地处市中心，周边出行购物都很方便，房间装修的很现代，布置的蛮温馨的，舒适度很好，也很干净', '短评打分': 5}
{'短评内容': '酒店地理位置很好，出行很方便，旁边有永安南城百货，购物蛮方便的，酒店整体感觉很不错，房间设施齐全，卫生干净，服务到位', '短评打分': 5}
{'短评内容': '房间大小合适，隔音一般，洗漱用品齐全，早餐品种很多，口味也不错，前台服务周到热情，住宿环境很好', '短评打分': 5}
{'短评内容': '酒店软硬件服务都很好，客房服务很到位，服务员都很周到热情，房间卫生条件很好干净整洁，酒店地处市中心，出行还是很方便的', '短评打分': 5}
{'短评内容': '酒店在红旗大道边上，周边出行方便，旁边有很多饭店，吃饭没问题，房间住宿环境很一般', '短评打分': 3}
