{'短评内容': '还行。', '短评打分': 4}
{'短评内容': '早餐一般，环境一般', '短评打分': 3}
{'短评内容': '酒店新开张.设施设备都很齐全.房间干净卫生.服务也很棒下次还来', '短评打分': 5}
{'短评内容': '&hellip;&hellip;', '短评打分': 5}
{'短评内容': '&hellip;&hellip;', '短评打分': 4}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '位置很中心，房间小了点', '短评打分': 4}
{'短评内容': '好不错???', '短评打分': 5}
{'短评内容': '订了酒店，过半小时说酒店满了退了回来，你妹', '短评打分': 5}
{'短评内容': '不怎么好，达不到价格标准', '短评打分': 1}
{'短评内容': '比预想的差的太多了，价格又贵', '短评打分': 1}
{'短评内容': '还可以。。。。', '短评打分': 5}
{'短评内容': '酒店外观看着不错，房间设施略显陈旧，床单、浴巾都洗破洞了，房间内隔音效果差到完全能够听清楚走廊经过的任何声音', '短评打分': 4}
{'短评内容': '一般，有点偏贵了。', '短评打分': 5}
{'短评内容': '价格高了，应不值这个价格。', '短评打分': 5}
{'短评内容': '服务人员还是挺热情的，但是天气冷了却没有热空调，网络不好用，都是用自己流量', '短评打分': 4}
{'短评内容': '小了点，其他都行', '短评打分': 5}
{'短评内容': '不错的酒店。', '短评打分': 5}
{'短评内容': '服务员介绍的一家建瓯口味的莱馆很好吃，物美价廉。', '短评打分': 4}
