{'短评内容': '物美价廉，环境很好!', '短评打分': 5}
{'短评内容': '服务很好，环境也不错，干净安静，就是杭州的出租车太多&ldquo;兔子&rdquo;，专门拉着人往商场跑，兜圈子，变相拉着人去购物，很不爽！而且很普遍，投诉无果。', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈很好', '短评打分': 5}
{'短评内容': '方便快捷 老居民楼改的应该', '短评打分': 4}
{'短评内容': '酒店位置不是马路边，门口幽静的小道进去，酒店感觉很安静。感谢前台给我升级了房间。一楼有禾料理，门口有同乐坊，吃饭还是很方便', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店真的是很不错，环境幽雅，房间舒适，小朋友在大浴缸里玩的不亦乐乎。附近饭店也不少，挺方便的。现在早餐买一送一呢，完全可以定不带早餐的房型呢。下次来杭州还可以考虑继续入住哦。', '短评打分': 5}
{'短评内容': '超级贴心的酒店，值这个价钱！！！', '短评打分': 5}
{'短评内容': '这家酒店交通非常便利，停车也好。环境比较清静。早餐品种非常多，女儿非常喜欢。前台服务还不错。下次还会再去。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '如果房间里熨斗就更好了', '短评打分': 4}
{'短评内容': '位置隐蔽，设施一般，感觉不值这个价位', '短评打分': 4}
{'短评内容': '考雅思方便，首选', '短评打分': 4}
{'短评内容': '来考雅思的 环境还不错 离考点很近', '短评打分': 5}
{'短评内容': '第二天续住，本来安排在风景区，但喜欢这个酒店，下次还来。', '短评打分': 5}
{'短评内容': '位置很好，闹中取静，房间装修很时尚，下次还来。', '短评打分': 5}
{'短评内容': '酒店挺好，服务周到细心，还免费作了升级，赞…', '短评打分': 3}
{'短评内容': '超赞的酒店，印度主题，装修别致，我们一行都忍不住狂拍，酒店提供很迅猛的无线，然后，楼下的中餐厅菜不错，这是到杭州的必定酒店了，真是好，绝不是夸得！', '短评打分': 5}
{'短评内容': '环境优雅，干净整洁，信价比高。', '短评打分': 3}
{'短评内容': '环境不错，美中不足的是车被人刮擦了，却找不到人', '短评打分': 5}
{'短评内容': '酒店外观不是很显眼,但是内部比较安静,大厅设计很有特色,属于精品酒店的风格,房间干净卫生,停车方便,特别是门口外包的同乐舫餐厅,味道很好,凭房卡可以打折,建议品尝.', '短评打分': 5}
{'短评内容': '就在雅思考试地儿后边，很方便，环境不错，房间有点小的，住着还舒适的，就是床太软了，陷下去的感觉。酒店周边吃饭也还算方便，想选择多点，可以去文三路那条。', '短评打分': 5}
{'短评内容': '第一次入住，同事比较满意，环境也不错，也很安静。', '短评打分': 5}
{'短评内容': '坏境不错，价格有点贵哦，总体来说还不错，推荐下。', '短评打分': 5}
{'短评内容': '非常完美的酒店，价格实惠，下次还会入住！', '短评打分': 5}
{'短评内容': '这个酒店很好，环境很好，比较干净，也很安静，离西湖不是很远，但比起喧闹的景区，这里更安静，可以得到很好的休息。值得一提的酒店的装修风格，很特别，有点像东南亚的风格，而且整个酒店的装修都融为一体，真的很不错，值得推荐。', '短评打分': 5}
{'短评内容': '卫生还好，电视频道较多，有HBO不错！硬伤是隔音太差，隔壁房间的说话、电视声和关灯的声音都可以听到，隔壁的ML声音又大，搞的我几乎整晚没睡！令外早餐品种还不错，但收拾碗筷的那个微胖得服务员一点笑脸都没有，好像我欠她钱一样，需要大大改进。', '短评打分': 1}
{'短评内容': '酒店环境优雅，交通便利，购物吃饭都很方便。', '短评打分': 3}
{'短评内容': '该酒店还不错，安静舒适。', '短评打分': 3}
{'短评内容': '酒店离浙江大学和西湖都比较近，来这里办事尤为方便。', '短评打分': 5}
{'短评内容': '服务到位 室内装饰很特别 值得一试的酒店', '短评打分': 5}
{'短评内容': '这酒店小是小了点,但蛮干净的,因为离家近,所以来客人都会安排在这个酒店.', '短评打分': 5}
{'短评内容': '有点吵，其它还好', '短评打分': 3}
{'短评内容': '酒店还可以', '短评打分': 3}
{'短评内容': '房间很大，交通方便，附近吃饭的地方也不少，酒店设施比较陈旧了，服务还算满意\n\n', '短评打分': 1}
{'短评内容': '不错，价格有点小贵...................', '短评打分': 5}
{'短评内容': '酒店的环境和设施都很不错下次去杭州还会考虑在住此酒店，很好！', '短评打分': 5}
{'短评内容': '环境还可以', '短评打分': 3}
{'短评内容': 'Very Nice and will choose it again', '短评打分': 5}
{'短评内容': '为了看演唱会挑了这家酒店，离黄龙确实挺近。而且环境幽静，内部设置也比较优雅，值得推荐', '短评打分': 5}
{'短评内容': '酒店很舒适,下次还会去住的,因为干净而安静,交通也便利!', '短评打分': 5}
{'短评内容': '考雅思住这里最好！吃也方便！房间小了一点，但是热水，上网都很好！', '短评打分': 5}
{'短评内容': '这个酒店很不错每次都住，位置也好，就是晚餐没得吃', '短评打分': 5}
{'短评内容': '文三路上的酒店不多，酒店档次不高，算不上四星；不过环境还不错，比较安静。', '短评打分': 5}
{'短评内容': '酒店不错，属于那种新城市商务酒店，东南亚风格，装修也很新，隔音好，气氛宁静。位置靠近西溪湿地，离黄龙中心也不远，向临安方向走很方便。完全对得起这个价格，要注意各种考试期间人满为患的。价格稍偏贵些，建议挑折扣力度期间小住，门口的那个饭店很有情调，菜很精致，宴请也有面子，就是营业时间有点阳春白雪了。', '短评打分': 5}
{'短评内容': '再次入住该酒店感觉和上次一样的好，位置和服务都很不错，下次还会在住。', '短评打分': 5}
{'短评内容': '早点不错！环境幽静！如果只住1晚也能够有早餐送酒更理想了！', '短评打分': 5}
{'短评内容': '卫生还不错，就是隔音太差了，半夜被几个大笑的人吵醒。', '短评打分': 3}
{'短评内容': '交流还行，环境闹中取静，但餐饮一般，适合商旅小驻。', '短评打分': 5}
{'短评内容': '位置不错，距离西湖和文教区都很近。\n周围吃饭的地方也比较多，基本上能满足各种消费层次的餐饮需要。\n酒店在一个小巷子里，一般情况下应该比较安静。\n酒店设施和房间大小只能说一般，低于我的预期。\n特别要说明的是，不知道是因为中央空调没有清洗干净还是因为周边工地施工的原因，在房间内会感到一种霉味粉尘，呼吸有些不舒服，后来换了房间还是如此，希望能引起酒店的注意。\n\n', '短评打分': 1}
{'短评内容': '房间不错，地段好，交通方便，附件选择吃饭的地方多。房间内部装潢略旧，单性价比比较高。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '我看酒店只看三点，早餐，毛巾，床。这个酒店是不错的酒店', '短评打分': 5}
{'短评内容': '隔音设施不好', '短评打分': 3}
{'短评内容': '还不错，348离黄龙很近，走走大概10来分钟。\n酒店里有停车位，很好，很静。不错。\n但是房间门隔音好像不怎么样咯。\n总体上很不错，干净整洁', '短评打分': 5}
{'短评内容': '房间不大 中等吧 价格有点偏高 可能是因为在黄龙那边的关系 觉得358的价格就好点了。去黄龙的亲还是可以选择那边的~', '短评打分': 5}
{'短评内容': '客房很满意，服务也很好，就是有早餐就更好了！ \n', '短评打分': 5}
{'短评内容': '房间一进去老有一股烟味。不过前台小姐和打扫人员的服务都蛮好的。我们房间超乱的。每天回来都给我们弄的很整齐。也没有丢东西的现象。本来在网上订的是大床房临时换了双床。也马上给换了。不错！', '短评打分': 5}
{'短评内容': '很不错的设施 价格也合理\n就是卫生间少了放大的那种小镜子', '短评打分': 5}
{'短评内容': '客房很满意，服务也很好，就是有早餐就更好了！', '短评打分': 5}
{'短评内容': '第二次入住源于上次清静的印象。大堂和咖啡厅看上去很别致舒服。住的八楼，房间有点旧主要是墙纸起皮，床品较舒服', '短评打分': 3}
{'短评内容': '感觉不错，主要是离工作的地点，非常的近。坏境也很好。总体洁净。', '短评打分': 5}
{'短评内容': '很有特色，东南亚风格，房间比较精致，下次来还会住这里', '短评打分': 5}
{'短评内容': '挺贵的，设施看似高级，但细节不足。床看上去很舒服，但睡起来感觉却不好，不知道为什么。早餐还行。', '短评打分': 5}
{'短评内容': '性价比不错,环境优雅，适合商务旅行，位置稍微有点难找。', '短评打分': 5}
{'短评内容': '对于雅思考生来说，的确很方便，可是这个价格有点小贵呀，有舍有得咧', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 3}
{'短评内容': '房间比较精致，早餐环境很好，早餐点种类比较丰富', '短评打分': 5}
{'短评内容': '好，不错，下一次还会来，位置也OK啦－－－－－－－', '短评打分': 5}
{'短评内容': '帮朋友订的，可以电话预定不用信用卡预付，这点比较方便。不过，应该没有4星的标准吧。', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': ' 酒店闹中取静有特色，各方面都不错，缺点第一次去比较难找。', '短评打分': 3}
{'短评内容': '酒店总体感觉还可以，感觉里面的设施比较旧了就是。总体好像性价比不高。门口的同乐舫餐厅味道是不错的！用房卡还可以打折', '短评打分': 5}
{'短评内容': ' 很好，房间很舒服', '短评打分': 3}
{'短评内容': '经常入住这家酒店~位置闹中取静~除了办理入住会比较慢~别的都非常满意                                                                                                                ', '短评打分': 5}
{'短评内容': '环境安静，装修比较典雅简约，停车方便，住大床房，床非常舒适.可惜没万能充好借，还有空调的声音有些吵。', '短评打分': 5}
{'短评内容': '地理位置还可以，交通要道，但如果是到杭州旅游住这里还是有很多不便，离西湖和商业中心都还比较远.装修比较典雅简约，但也只一般般，一晚438元不带早餐是贵了点！', '短评打分': 1}
{'短评内容': '不错，就是打车麻烦点，木有浴袍，不方便，下次还会预订', '短评打分': 5}
{'短评内容': '装修风格不错，地理位置也不错，闹中取静，唯一的缺点，设施陈旧了', '短评打分': 5}
{'短评内容': '这家酒店是个闹中取静的位置，房间里很安静。附近餐厅很多，适合商务出差。', '短评打分': 5}
{'短评内容': '住的是四季都市房，还不错。去杭州靠雅思的第一选择，特方便。', '短评打分': 5}
{'短评内容': '酒店不错，就是不太好找，开车过去的，院子里面停车很方便', '短评打分': 5}
{'短评内容': '酒店交通很方便，房间设施不错，服务态度很高，有家的感觉。', '短评打分': 5}
{'短评内容': '还不错，安静，非常适合雅思考生居住，距雅思考点很近，但是装修风格较为诡异，厕所离床只有半米，枕头偏廉价。网络速度是十分快，清洁人员态度好。', '短评打分': 5}
{'短评内容': '本酒店交通方便，环境安静，房间设施齐全，前台服务很好，结账离店速度很快，值得推荐。', '短评打分': 5}
{'短评内容': '东南亚风情,让人想起巴厘岛的酒店,房间隔音太差,半夜1点隔壁房间的叫床声让人无法忍受.', '短评打分': 1}
{'短评内容': '感觉蛮清静，还可以的，我住了2次，早餐也不错的', '短评打分': 5}
{'短评内容': '在喧闹的城市里，清净的一片小天地，感觉就是在泰国，不错。值得留恋！！', '短评打分': 5}
{'短评内容': '非常幽静的环境，停车也比较舒服，就是周边的饭店不够多，吃饭有点问题', '短评打分': 5}
{'短评内容': '常住酒店，很不错的亚洲风情酒店，装饰很特别，建议住四季都市房', '短评打分': 5}
{'短评内容': '我是今天入住的。对于前台人员的服务十分满意。只是进了房间之后非常失望。对于400多元又不含早餐的房钱来讲，设备等实在是太一般了。不值。也许我对杭州的饭店缺乏了解吧。之前住过几家其他的饭店，这次是最失望的。不知道90％多的满意度来自于什么样心理，下次订房时我要注意了。', '短评打分': 1}
{'短评内容': '物有所值…………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '虽然过程有点纠结，不过 最后处理的 还蛮好吧。酒店的 设施什么的 还行，早餐要加强哇！！！太对不起 酒店了呢', '短评打分': 5}
{'短评内容': '考雅思的好选择,就在边上,安静整洁,不大也不算很小', '短评打分': 5}
{'短评内容': '酒店很干净 服务也不错 周围环境也很安静 不错~~', '短评打分': 3}
{'短评内容': '闹中取静，挺好的酒店，早餐也不错，下次也会入住', '短评打分': 5}
{'短评内容': '空间有点小，总体不错。房源有点紧，临时想再续住就没空房了。', '短评打分': 5}
{'短评内容': '门面比较小， 外面装饰的还行，房间里面的东西很一般。 \n\n觉得300左右价格会比较合适。 ', '短评打分': 1}
{'短评内容': '探亲,旅游的首选酒店,东南亚风,大堂的摆设女朋友很是喜欢,拍了些照片', '短评打分': 5}
{'短评内容': '比较安静，适宜住人！就是房间的隔音有点差。', '短评打分': 5}
{'短评内容': '＋本次入住依然满意', '短评打分': 3}
{'短评内容': '不错，闹市中，酒店房间较静，价位适中，干净！', '短评打分': 5}
{'短评内容': ' 地段好, 闹中取静。', '短评打分': 3}
{'短评内容': '还不错的酒店，第二次的时候住的不是第一次的房间，还是比较喜欢第一次215的房型，房间打扫比较认真', '短评打分': 5}
{'短评内容': '酒店还安静的，距离雅思考点超近，房间有点旧就是', '短评打分': 5}
{'短评内容': '环境独特价格适中', '短评打分': 3}
{'短评内容': '酒店风格独特，就是旧了些。另外可能是五一的缘故，四季都市房4月29日498元，4月30日568元，感觉性价比不高，而且两天不同价，对提前预订的同一个顾客来说，店家也太精明了。', '短评打分': 5}
{'短评内容': '不错！停车很方便，不过晚上电梯到达“叮”的声音很响！建议去掉。', '短评打分': 5}
{'短评内容': '很安静不错\u3000就是没早餐', '短评打分': 3}
{'短评内容': '相比网上点评而言，有点失望。酒店比较有特色，但是仅限于底层大厅和餐厅，房间一般，只能算是不错的三星级水准，房间内的硬装虽然是新的，但是显得比较粗糙。床和电视机算是不错，卫星频道也算可以，有HBO。就性价方面来说，不推荐，比内资5星级酒店也没便宜多少，交通也不算方便，所谓10分钟到灵隐不知是怎么算的，除非警察叔叔帮忙一路绿灯畅通无阻，就现在杭州的交通状况大概乘以5还是保守估计。不过院子里有停车位，据', '短评打分': 5}
