{'短评内容': '早餐不错，床很舒服', '短评打分': 5}
{'短评内容': '早餐不错，很喜欢', '短评打分': 5}
{'短评内容': '还不错，推荐', '短评打分': 5}
{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间非常整洁,价格很实惠。服务挺好,帮忙把行李送到房间，一路还有简单介绍，常来的，每次都是住在这里，晚上很安静，有度假的感觉。', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '房间还可以，就是网络不好，这点希望能改进，否则现在都是网络时代，太不方便了。还有就是空调效果不太好，可能是房间大了一点的原因吧。', '短评打分': 5}
{'短评内容': '携程可以重新买续订，然而酒店系统不及时更新，怕续不到买了147的(之前135)，有点不happy，好在酒店各方面都满意，就是网络和隔音有待改善', '短评打分': 5}
{'短评内容': '每次来都住这，溧水还算可以的', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '服务很周到，很周到，而且房间不错，性价比高，位置周边吃的也很多，当然好评了！下次出差来还住在这里，OK', '短评打分': 5}
{'短评内容': '早餐很差。不过就这个价格在这。服务客气。', '短评打分': 5}
{'短评内容': '位于溧水区中心，门口就有公交到客运站和高铁站，交通很方便，周边购物吃饭也很方便，当地连锁酒店不多，出差住住还不错。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '总体还可以，性价比较高', '短评打分': 4}
{'短评内容': '还不错，交通方便', '短评打分': 5}
{'短评内容': '还可以，交通方便，位置也好找', '短评打分': 4}
{'短评内容': '感觉不错，还可以的！', '短评打分': 5}
{'短评内容': '有点贵，不过位置还是很好早！其他还是不错！可以去住！', '短评打分': 5}
{'短评内容': '酒店卫生挺不错，价格实惠，在溧水县算是不错的选择', '短评打分': 5}
{'短评内容': '第三次入住没有发现蚊子！ 可能是因为空调调的低吧。', '短评打分': 5}
{'短评内容': '第二次，还是不错的，不过与第一次一样还是有蚊子！', '短评打分': 5}
{'短评内容': '不错，酒店位置比较好，房间里打扫地很干净！', '短评打分': 5}
