{'短评内容': '服务很好，前台很有礼貌，但房间太老旧了，卫生也不干净，地上很多头发，镜子很脏', '短评打分': 5}
{'短评内容': '挺好挺好的', '短评打分': 5}
{'短评内容': '卫生不好，去的时候浴巾是打开的，没有封装。问服务员，服务员跟我说：&ldquo;你要换就说啊&rdquo;，我刚刚住入住，就这服务态度，真是住过最不好的7天了。', '短评打分': 1}
{'短评内容': '很好用，很好用很好用', '短评打分': 5}
{'短评内容': '挺好，以后还会去。还剩去押金环节', '短评打分': 5}
{'短评内容': '服务态度明确。', '短评打分': 5}
{'短评内容': '还可以，我们是一群人去的，感觉还不错，还行吧??', '短评打分': 5}
{'短评内容': '不错。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '网络超差，一晚上都没有连上，环境一般般。价格还贵。', '短评打分': 1}
{'短评内容': '好好好好好好好好好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务好，酒店干净', '短评打分': 5}
{'短评内容': 'OK and the distance from the Gong Bei is acceptable (around 10 - 15 minutes) from the port.....', '短评打分': 4}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '还不错，房间比较干净，交通也方便', '短评打分': 5}
{'短评内容': '性价比很高，离口岸很近！', '短评打分': 5}
{'短评内容': '还不错吧，位置有点远，但是也不是太贵，周围环境什么的都还可以，做去机场的大巴很方便，就在旁边的路上，值得推荐！！！！', '短评打分': 4}
{'短评内容': '房间有点小   环境还算干净  勉强可以接受', '短评打分': 4}
