{'短评内容': '房间很好 就是床单有点让人发痒', '短评打分': 5}
{'短评内容': '客服的态度有点差 说话咄咄逼人', '短评打分': 4}
{'短评内容': '热水淋浴很舒服', '短评打分': 5}
{'短评内容': '房间挺干净，就是与介绍说的38平房间不符，大小只有一半。隔音太差，大半夜还能听到KTV包房里传来的鬼哭狼嚎', '短评打分': 4}
{'短评内容': '东西很好，性价比很高。位置也好', '短评打分': 5}
{'短评内容': '酒店位置还可以', '短评打分': 4}
{'短评内容': '房间干净！！商务大床！房间很大。休息的也很不错。', '短评打分': 5}
{'短评内容': '很不错，东西很好，味道也棒，快递也很不错，99免邮费', '短评打分': 5}
{'短评内容': '整体还算不错，但是自来水管道的声音太大了，非常吵人！房屋偏冷！', '短评打分': 4}
{'短评内容': '很不错，经济', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '上次朋友说热水都没有。', '短评打分': 2}
{'短评内容': '_(:з」∠)_只是比较便宜而已', '短评打分': 4}
{'短评内容': '且不说房间的环境有多么的糟糕，这些每个人的要求不一样！因为是携程订的房价139，她们自己的房价是168，订的时候就她们一脸不乐意，下午问她们有没有停车票，说没有，要花20元买。出去问停车场的人，告诉我们应该有免费的。回到前台再问有没有停车票，她们说你是携程订的139元，必须花钱买停车票，我们20元买断，你可以停一晚上。更气愤的是前台这些人的态度，一脸拽像！我宁愿花钱买5元一小时的停车费，也不愿意给', '短评打分': 1}
{'短评内容': '环境不错 价格也实惠 住的很舒服', '短评打分': 3}
{'短评内容': '价格很厚道，环境很不错，房间面积很大，隔音也不错，交通很便利距离光谷很近，吃喝玩乐也都很齐全。很值得推荐入住', '短评打分': 5}
{'短评内容': '房间很大,还有阳台晾衣服很方便,不错的酒店,还会来住', '短评打分': 3}
{'短评内容': '挺好的一个酒店，地段好。环境也不错！开始害怕没有房，还是给我留了~~服务态度超级好', '短评打分': 5}
{'短评内容': '服务态度很好，还是很干净，只是阳台上有点不干净，而且那个灶不能用。', '短评打分': 3}
{'短评内容': '房间很大，定的标准间，入住的是家庭房，感觉很好，一连住了四个晚上，以后还要继续入住这个酒店！~！~！', '短评打分': 5}
{'短评内容': '还是挺好的 大镜子果断亮了啊  比较实惠  ', '短评打分': 5}
{'短评内容': '挺便宜的，酒店的地理位置比较好，离光谷也近，周围还有很多吃的，坐车什么的都很方便，房间也很大', '短评打分': 5}
{'短评内容': '不错，蛮宽敞', '短评打分': 3}
{'短评内容': '还不错，物有所值，建议第一次入住即办理会员卡，住两天就能赚回来了。', '短评打分': 5}
{'短评内容': '不错，挺舒服的，衣柜亮了', '短评打分': 3}
