{'短评内容': '非常感谢非常好。', '短评打分': 5}
{'短评内容': '很实惠，房间也不错，', '短评打分': 5}
{'短评内容': '酒店位置有点偏僻，坐公交车很方便，酒店门口就是车站，不过如果想去超市的话就得走路20分钟左右，酒店周围没有饭店和超市，酒店服务很好，早上没有早餐的，想吃早餐的话得步行15分钟左右，如果只想住宿的话，这里是个不错的选择', '短评打分': 4}
{'短评内容': '不错的酒店，性价比极高。设施又齐全。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 1}
{'短评内容': '客服态度很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '没放毛巾，没放毛巾，没放毛巾 电话机上没写如何拨打前台电话', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很差', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
