{'descr': '没有早餐', 'star': 5}
{'descr': '不错，住过好几次。怎么现在价格上涨了这么多', 'star': 4}
{'descr': '可以可以可以', 'star': 5}
{'descr': '房间好小', 'star': 4}
{'descr': '酒店挺好的，比其他的快捷酒店来讲～', 'star': 5}
{'descr': '环境很好。特别干净', 'star': 5}
{'descr': '环境很好', 'star': 5}
{'descr': '房间很小，但是床很舒服！干净', 'star': 5}
{'descr': '戒备森严', 'star': 2}
{'descr': '好', 'star': 5}
{'descr': '性价比高，房间舒适，吃饭房产，值得推荐！', 'star': 4}
{'descr': '周围很安静，适合休息，空调声音大，总体不存。', 'star': 5}
{'descr': '性价比最高，有机会还会住', 'star': 5}
{'descr': '吹风机坏的。。。电视机就几个频道 空调声音巨大', 'star': 4}
{'descr': '房间特小，还要到携程开发票！', 'star': 3}
{'descr': '酒店一般，临时入住，没有早饭', 'star': 3}
{'descr': '上海市郊酒店，停车场小，乱，大门口都塞车！有车族太多，人民太富裕！服务还是很好！', 'star': 1}
{'descr': '酒店服务态度很好，房间里东西都是免费的，洗发水可以到服务台免费要，床很大，房间也大。值得推荐', 'star': 5}
{'descr': '不错的酒店很干净整洁，就是房间稍小了点。', 'star': 5}
{'descr': '特价房价格实惠，内部环境也较好，就是房间空间有点小，还有就是电视挂得有点偏高，看电视时需仰头。总体还是比较满意。', 'star': 5}
{'descr': '不错，优惠活动期间价格真便宜，以后多多搞点这样的活动就好了，房间蛮干净，蛮安静的。', 'star': 5}
{'descr': '没有想到可以定到价格这么低的房子，环境很好。\n热水呀什么都来的很快。晚上周边也很安静，适合休息。\n\n\n', 'star': 5}
{'descr': '服务态度还不错，就是和其他客人说的一样隔音效果差！！！', 'star': 5}
{'descr': '房间太窄了。。地理位置一般。。房间太窄了。。地理位置一般。。', 'star': 1}
{'descr': '酒店隔音效果较差，旁边是条排水沟；边上吃饭的话有拍档什么的挺方便，其他还好，服务也不错，去上海虹桥火车站也不算远。', 'star': 5}
{'descr': '不错，很喜欢，比较人性化的一个酒店，商务出行首选', 'star': 5}
{'descr': '出门就有公交车。附近吃饭、逛得地方不大有！', 'star': 5}
{'descr': '位置不错，出门就有公交站。但是安排了1楼的房间，不大好。', 'star': 5}
{'descr': '还不错，交通方便，就是塞小卡片的多了点，哈哈！', 'star': 5}
{'descr': '很值得，一个字：好', 'star': 3}
{'descr': '还不错很安静，房间蛮干净的，交通也方便，就是吃饭不方便哦', 'star': 5}
{'descr': '服务不错，其他也都挺好的，就是有的时候电视网络稍微慢了些', 'star': 5}
{'descr': '一如既往的好评，价钱还算公道，早餐也不错', 'star': 5}
{'descr': '服务态度不错的，很人性化的管理，我住的那间屋子还是很干净的', 'star': 5}
{'descr': '因为距离自己近 所以选择里这里 去的时候正好装修 不过在屋里感觉不到 环境还可以 电视机一般吧 太小 卫生间挺大的 花洒不错 排水孔堵了 好在自己改良下恢复了 床铺很大 也有窗户 就是一个大灯关闭不上 天热又不能关空调 拔房卡 无奈开灯睡觉 ', 'star': 5}
{'descr': '价格很合理，性价比很高。就是周围吃东西不方便，需要走5分钟，会有大排档。离七宝老街步行20分钟。', 'star': 5}
{'descr': '态度好', 'star': 3}
{'descr': '距离七宝古镇比较近，出行也比较方便，酒店内设施比较不错，比较安静，', 'star': 5}
{'descr': '++++++++++++++++++++++++++++++++++++++', 'star': 5}
{'descr': '房间比较干净，空间也还算大。浴室漏水，位置较偏。', 'star': 5}
{'descr': '环境很好，房间非常温馨，下次如果有机会还会去体验一下这温馨的客房！', 'star': 5}
{'descr': '位置离虹桥比较近  环境也还行 住的人很多  我去的时候比较晚  所以前台人比较少  办事效率比较低', 'star': 5}
{'descr': '还不错，房间大小合适，而且有柜子，物超所值了', 'star': 5}
{'descr': '交通方便，干净卫生，房间较大设施齐全，价格实惠。', 'star': 5}
{'descr': '酒店干净舒适，床很大，住的节日百元房很实惠，在七莘路上，很好找。', 'star': 5}
{'descr': '嗯，酒店环境蛮好的，非常满意…', 'star': 3}
{'descr': '整体还可以。以后会来住。', 'star': 3}
{'descr': '汉庭就是强大，这个店还不错，环境可以，交通也还便利', 'star': 5}
{'descr': '房间还算不错 前台服务也很好，给人以很亲近的感觉\n如果房间里的空调能不那么大声，那就真的完美了', 'star': 5}
{'descr': '停车位有点紧张……\n但性价比还是挺高的。', 'star': 5}
{'descr': '还可以的，就是周边配套设施比较差，没有吃饭的，', 'star': 5}
{'descr': '房间虽小得可怜，但是装修什么的还是不错，比之如家快捷尤其上海吴中路店，强不少\n周围吃饭不方便', 'star': 5}
{'descr': '环境还可以,离七宝镇中心稍远了点.吃饭\\娱乐不方便的.', 'star': 1}
{'descr': '停车地方太小', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '酒店还行,但位置很偏,从莘庄地铁站打车17块钱,周围有些饭店,但没像样的超市.所幸离滑雪场和热带风暴很近,我们这次去滑雪,很尽兴,但吃晚饭赶到徐家汇再回来还是有点累的. 游世博住这儿就不太合适了,所以后来换了家酒店.', 'star': 1}
{'descr': '位置还行，价格的话其实也是世博会期间普遍都是涨价，房间的话还可以和其他的快捷酒店差不多还是挺干净的，服务也还行。', 'star': 5}
{'descr': '房间面积小了点.而且位置也不是很好.室内条件也挺一般化的,我本人不是很喜欢这家酒店.', 'star': 1}
{'descr': '性价比还蛮好的，房间很干净，服务特别好，设施相对比较简单，下次会考虑再住的。', 'star': 5}
