{'短评内容': '这凉州还行', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '很安静，早餐的品种丰富，值得推荐', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '采光一般', '短评打分': 4}
{'短评内容': '行', '短评打分': 5}
{'短评内容': '还不错哈！酒店周围就是很多吃的！推荐', '短评打分': 4}
{'短评内容': '酒店服务好，干净卫生，就是马桶不太好用，总体是满意的，下次有机会还会再去！', '短评打分': 4}
{'短评内容': '总体不错', '短评打分': 4}
{'短评内容': '第二次入住这个酒店，确实不错', '短评打分': 4}
{'短评内容': '不错，非常值得推荐！', '短评打分': 4}
{'短评内容': '不错，非常值得推荐！', '短评打分': 4}
{'短评内容': '卫生干净', '短评打分': 5}
{'短评内容': '这家酒店不错，值得旅游者入住。当然早餐再丰富一些就更好了。吃饭嘛推荐一下小丁饭店（不远，车资5元），味道很不错，服务员用爱派给你看菜单，偶还没有啊……', '短评打分': 5}
{'短评内容': '酒店房间比较舒服，在西昌应该算比较好的酒店了，特别是卫生间的洗澡水超大，不过酒店的饭店菜有点贵，但周围有好多小吃店的，很方便。', '短评打分': 5}
