{'短评内容': 'Ghg ', '短评打分': 3}
{'短评内容': '这次主要为了配合孩子第二天一早在附近考试而订的这家酒店，设施一般，还是比较陈旧，不过还算干净卫生，携程上是写有双早，其实酒店是没有的，问了原因，前台最开始回答是网上这个价格已经很低了，本来就不含早餐，我们说但是我们订的时候明明就写的含早，后来前台又说因为没有厨房餐厅，以前有的早餐就是牛奶面包，但因此还得到不少差评，索性就不做早餐了，问及为什么携程网上又写有，前台回答是跟携程说过多次更改酒店信息但网', '短评打分': 4}
{'短评内容': '比七天还要差一档', '短评打分': 2}
{'短评内容': '不错啊', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错，住房很舒适，价格中等', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '太差了，卫生间特差，就值80', '短评打分': 1}
{'短评内容': '酒店各项都很好，就是有点偏', '短评打分': 5}
{'短评内容': '1.晚上23:30以后没有接机同级别酒店就有，依师傅不再为由，定过了没有办法去了，2.照片女士服务态度不太好，可能她是老板吧，如果是员工老板早把她辞退了，3.酒店热水放了半天还是不热，想洗热水澡的就不要想了，4，靠马路隔音不好，如果是睡觉稍微挑剔的估计只有失眠的份了。5，121元的房价性价比真心不敢恭维。^_^^_^^_^^_^', '短评打分': 3}
{'短评内容': '酒店不错 离机场近，周边好吃的也很多。还能免费接送机，满分！', '短评打分': 5}
{'短评内容': '坏境还可以，性价比挺好的', '短评打分': 3}
{'短评内容': '挺好，师傅还来机场接', '短评打分': 3}
{'短评内容': '9：30之前别想睡觉，外面一天都在闹腾，晚上有广场舞，还是“几个流派”酒店设施还算过得去。', '短评打分': 4}
{'短评内容': '房间还可以，不过有点吵', '短评打分': 3}
{'短评内容': '一般般，可以临时选择。', '短评打分': 3}
{'短评内容': '地方很偏，网速很慢。还老掉线。房间也比较旧', '短评打分': 1}
