{'短评内容': '还算干净，就是空间太窄，早餐一般，价格适中。', '短评打分': 3}
{'短评内容': '酒店在装修，环境一般，服务还可以', '短评打分': 3}
{'短评内容': '一般般咯，比较旧的房和酒店，幸好有早餐吃', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '蛮不错的。就是价格有点高，便宜点就更好了。', '短评打分': 5}
{'短评内容': '己入住,环境可以', '短评打分': 3}
{'短评内容': '房间空调不好，太冷，前台入住时服务员态度不是很热情', '短评打分': 3}
{'短评内容': '长沙好像所有的酒店好像由于当地政府的规定，都不提供免费的一次性用品。设施陈旧。地点距省博物馆步行15分左右。', '短评打分': 1}
{'短评内容': '己按网上預訂要求入住日晟大酒店', '短评打分': 5}
{'短评内容': '该酒店只能说一般，安全还可以。出差住还行吧', '短评打分': 1}
{'短评内容': '交通还行，陈旧，卫生很成问题，唉，E LONG的推荐需慎重！', '短评打分': 1}
{'短评内容': '长沙这家酒店性价比很不错，房间舒适卫生。', '短评打分': 5}
{'短评内容': '酒店的卫生很好，客房很干净。被褥啊都非常舒适。', '短评打分': 5}
{'短评内容': '对酒店的环境挺满意的，我去长沙都会入住这家店。', '短评打分': 5}
{'短评内容': '地理位置优越，在繁华地段上标示也很明显。', '短评打分': 5}
{'短评内容': '酒店的配置设施都很好，早餐也很不错，位置也相当方便。', '短评打分': 5}
{'短评内容': '一进房间感觉很舒服，白颜色的很清爽，不错，很温馨住着。', '短评打分': 5}
{'短评内容': '酒店整体环境很不错，房间里面卫生很干净，设施齐全，值得推荐', '短评打分': 5}
{'短评内容': '早餐不错，品种多，可供选择，服务很人性化', '短评打分': 5}
{'短评内容': '位置很方便，在市中心，而且自己开车过来酒店也提供停车场，蛮方便的', '短评打分': 5}
{'短评内容': '酒店各方面都很不错，硬件条件也很好，服务人员的服务也很周到.总体感觉不错.', '短评打分': 5}
