{'短评内容': '地毯很脏，亟待改进！', '短评打分': 3}
{'短评内容': '真心不错，进了客房居然是3D的大屏幕电视，虽然房间紧凑了点，但不影响。美美地看了两场3D电影，过瘾，有机会还会来。', '短评打分': 5}
{'短评内容': '好久了，这次还是选择这里。这次下单后提前通知了前台安排安静的房间，果然实现了，晚上睡得很舒服。至于早餐，没太多变化，能吃饱。客房阿姨和前台都很棒，现都互相认识了，感觉蛮好。', '短评打分': 5}
{'短评内容': '酒店位置还可以，走路去观前街也就20分钟吧。3D影院房房间较小，床挺大，两个大人一个小孩可以睡。早餐20一位，菜品虽然不是很多，但也肯定够吃了。总体来说性价比很高。', '短评打分': 4}
{'短评内容': '酒店服务不错，因为是下午2点的火车，订的房间又是到中午12点前退，所以特地提前向前台提出能否延迟1个小时退房，前台小姑娘直接答应了，蛮人性化的，赞一下。', '短评打分': 5}
{'短评内容': '硬件设施一般，早餐很差！', '短评打分': 3}
{'短评内容': '棒棒棒', '短评打分': 5}
{'短评内容': '还行 不如以前了', '短评打分': 3}
{'短评内容': '第一次来苏州出差，交通方便，环境好。', '短评打分': 5}
{'短评内容': '订的复式，价位感觉挺合理的', '短评打分': 3}
{'短评内容': '临干将西路，路上车来车往比较吵', '短评打分': 4}
{'短评内容': '临干将西路，路上车来车往比较吵', '短评打分': 4}
{'短评内容': '总体可以，交通方便', '短评打分': 4}
{'短评内容': '位置不是很好，虽然靠近地铁口，周边商圈少，整体一般', '短评打分': 3}
{'短评内容': '酒店交通便利，隔壁的足疗也很不错', '短评打分': 4}
