{'短评内容': '冷清，没几人住，早餐单一', '短评打分': 3}
{'短评内容': '酒店需要装修', '短评打分': 3}
{'短评内容': '设施老了，连无线都没有，很不方便，房间也小，对不起这个价格', '短评打分': 4}
{'短评内容': '只能说一般般，价格还算厚道，但是设施老旧了', '短评打分': 4}
{'短评内容': '酒店的位置在市中心，房间的设施较旧，318的3人房间好大，卫生和服务一般，早餐还可以。由于是国庆去的，性价比不是很好。', '短评打分': 3}
{'短评内容': '十月国庆的时候去的，真的很好，价格便宜，而且还是电脑房，儿子很满意', '短评打分': 5}
{'短评内容': '不错，挺干净的，房间也挺大的，早餐差一点', '短评打分': 5}
{'短评内容': '很好，很干净。设施齐全。前台王x南服务认真，态度和蔼，耐心。', '短评打分': 3}
{'短评内容': '定了5间房，有2间是漏水的，房间有点小，感觉挺压抑的。', '短评打分': 1}
{'短评内容': '环境还是挺好设施也是很新，但是当时我去的时候后面还在装修显得挺乱的我自己又换了一个房型，服务态度还是蛮好的，价格也很合适。', '短评打分': 5}
{'短评内容': '有些陈旧,位置一般,倒是旁边有一家小店的鱼不错.', '短评打分': 1}
{'短评内容': '在休宁这样的酒店性家比不是太高，住那结账说没发票，回头寄给我，可是到现在我还没收到！', '短评打分': 1}
{'短评内容': '单人间很阴森恐怖的，劝大家不要去住。服务态度也不是很好。', '短评打分': 1}
{'短评内容': '大床房的床太小了，而且窗子还在走道里，很不方便，外面过人都能听到。', '短评打分': 1}
{'短评内容': '三人间还不错，够大的，那个大床房床超小的，不好睡，标准房还要走很远才到，很不方便；', '短评打分': 1}
{'短评内容': '还不错，下次还会住。定了五间，其中给了一间无宽带的房间。也不说明下，这点不太好。', '短评打分': 5}
{'短评内容': '还不错的酒店，各方面的服务都很合适，只不过离黄山景区比较远，要是开车的话还可以接受，算比较方便的，推荐入住。', '短评打分': 5}
{'短评内容': '酒店很具规模，各方面都很不错，适合自驾车的朋友选择，因为不是在黄山市内和黄山山脚下，住宿相对较便宜。', '短评打分': 5}
{'短评内容': '酒店很不错 ,卫生服务都不错，反正 在黄山应该是个 很不错的酒店了', '短评打分': 5}
{'短评内容': '还不错 单间小点', '短评打分': 5}
{'短评内容': '＋硬件设施不错，服务态度也挺好，价格在200多也差不多，比较喜欢这里！', '短评打分': 5}
{'短评内容': '位置还行，在县城里边，出行还比较方便，环境挺干净的，住的挺满意。', '短评打分': 5}
{'短评内容': '房间挺大，设施挺完善的，打扫也很干净，住的挺舒适。', '短评打分': 5}
