{'短评内容': '房间大，老板热情！', '短评打分': 5}
{'短评内容': 'WiFi很差', '短评打分': 4}
{'短评内容': '老板服务态度好，入住满意，卫生条件OK，房间比较大。', '短评打分': 5}
{'短评内容': '房间比较大，比较温馨，住着比较舒服，老板也还不错，出门有直达火车站的公交，就是周边吃的不多，到步行街有点远，不过可以骑共享单车，哈哈！', '短评打分': 5}
{'短评内容': '老板人很好', '短评打分': 5}
{'短评内容': '环境不错，交通便利，出行居家的不二选择！', '短评打分': 5}
{'短评内容': '实在是不乍样', '短评打分': 3}
{'短评内容': '房间很大，性价比不错', '短评打分': 5}
{'短评内容': '非常不错的老板！房间也够大，设施也挺完善！周边华润万家超市，公交都很方便！', '短评打分': 5}
{'短评内容': '非常不错的老板！房间也够大，设施也挺完善！周边华润万家超市，公交都很方便！', '短评打分': 5}
{'短评内容': '价格便宜，房间大，床单被单的卫生情况不好', '短评打分': 4}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '特价房无厨房提供，失去其家庭旅馆特色。且厨具收费大于10元每天，偏高。  服务良好，其他有待提高。', '短评打分': 5}
{'短评内容': '环境不错，设施也蛮齐全的，适合家庭出游', '短评打分': 4}
