{'短评内容': '酒店不错，干净卫生', '短评打分': 5}
{'短评内容': '适合家庭旅行，不适合商务旅行', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '环节糟糕，厕所昏暗…', '短评打分': 2}
{'短评内容': '位置距离四号线较近，但房间较昏暗', '短评打分': 4}
{'短评内容': '非常差的酒店，私人承包的楼面。几件房间。有点可怕。', '短评打分': 2}
{'短评内容': '酒店电梯不能直达，要走一层楼梯，堆满杂物，昏暗无比。拖着行李很不方便。房内家具设备陈旧，卫生差。住了很不舒服。', '短评打分': 2}
{'短评内容': '酒店前台进入不便。', '短评打分': 4}
{'短评内容': '房间面积极大，卫生很好。服务态度也是不错的。  下次来陆家嘴还是要住在这里的，比同价位的快捷酒店不知要高到哪里去了。', '短评打分': 5}
{'短评内容': '就是电梯不便，其他都好。', '短评打分': 5}
{'短评内容': '环境很好，出行很方便，设施一般。', '短评打分': 4}
{'短评内容': '坑死了！网络不行，电视不行！！！！', '短评打分': 3}
{'短评内容': '帮朋友定的，地理位置 还可以，出地铁走不到十分钟就可以到，但是房间设施陈旧了点，时尚房也没看出哪里时尚了', '短评打分': 3}
