{'短评内容': '酒店位置优越，临近商场。房间大，适合商务、带孩子', '短评打分': 5}
{'短评内容': '酒店很好，环境不错', '短评打分': 5}
{'短评内容': '宾馆非常好 服务员态度非常好', '短评打分': 5}
{'短评内容': '酒店位置很好，周边两个大商圈，购物餐饮娱乐都非常方便。房间非常大非常大，设施齐全，尤其是隔音效果非常好。性价比很好，值得推荐！', '短评打分': 5}
{'短评内容': '环境优服务佳', '短评打分': 5}
{'短评内容': '早餐品种不多，酒店位置不错，旁边就是商业区，只是房间的装修太老旧了，有的地砖都是破损的了，停车场不收费！', '短评打分': 4}
{'短评内容': '每次回唐山都住这，办完事想逛逛商场也方便，旁边就是远洋城。周围环境也不错，晚上不吵闹。酒店早餐中西结合，想吃什么样的都有。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错的酒店.....', '短评打分': 5}
{'短评内容': '不知道为什么最后丢了一条毛巾，但是服务人员耐心寻找，虽然没找到，也补了钱，不过头一天晚上喝酒了，估计不知道扔哪里了。。总体来说还是不错的！', '短评打分': 5}
{'短评内容': '地段不错，酒店基础设施不错，但是个别设施略显陈旧', '短评打分': 5}
{'短评内容': '很干净整洁！就是客户丢在房间的电池没有找回来，有些遗憾！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错，住着挺舒服', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '挺好，房间够大', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '房间不错，就是如果家一个独立的淋浴就更好了，价格不便宜啊', '短评打分': 5}
{'短评内容': '环境ok，酒店设施相对较新，房间面积不是很大，住的是经济套房，整体不错，值得推荐。', '短评打分': 5}
{'短评内容': ' 房间很大，挺干净的，很舒服', '短评打分': 3}
{'短评内容': '没有健身房，因此房价太高。', '短评打分': 3}
{'短评内容': '前台服务还可以,周围吃饭的地方多,有很多选择,在这附近办事的可以选择这里.', '短评打分': 5}
{'短评内容': '没有健身设备。', '短评打分': 3}
{'短评内容': '最早的时候还不错，性价比还挺合适的，然后就越来越贵越来越贵。没到那个档次去收了那个档次的钱，前台服务非常拖沓，入住被告知房间正在打扫，需要等半个小时。半小时以后再去办理入住手续的时候才知道房间还没开始打扫。。。', '短评打分': 1}
{'短评内容': '非常好， 希望早餐能再好些，条件好，服务员服务好 ', '短评打分': 5}
{'短评内容': '交通方便 商业区 但服务没变 价格大涨了 ', '短评打分': 5}
{'短评内容': '交通方便 商业区 但服务没变 价格大涨了', '短评打分': 5}
{'短评内容': '很好的酒店，舒适，干净，交\n\n通购物方便。', '短评打分': 3}
{'短评内容': '/不错,就是服务一般。', '短评打分': 3}
{'短评内容': '不错，就是又涨价了', '短评打分': 3}
{'短评内容': '设施和服务一般。', '短评打分': 3}
{'短评内容': '酒店位置不错，还算宽敞，环境也好，值得推荐！', '短评打分': 5}
{'短评内容': '非常好，每次去唐山都住这里，环境也不错，地理位置也比较好，不用去很远的地方就可以逛街！', '短评打分': 5}
{'短评内容': '酒店很有特色，而且价格不算太高，不过就是路不太好找，特别是第一次。', '短评打分': 5}
{'短评内容': '还不错 位置很好找 环境也还行 服务人员热情度一般般', '短评打分': 5}
{'短评内容': '很好，就是太贵，很适合公务活动，周过购物和吃饭都行方便', '短评打分': 5}
{'短评内容': '硬件服务不错，软件服务太难，在这里住了好几个月感觉酒店的服务人员除了前台的比较不错', '短评打分': 1}
{'短评内容': '房间很大，很干净，周边商业区，很方便\n停车场很大', '短评打分': 5}
{'短评内容': '附近有家乐福  对面就是目的地   陶瓷博览中心的会场 。很方便。打车到唐山站需三十元。我订的是420的房间 ，要求带日本台的了，带这个的要宽敞许多的。附近有商场，总之很满意~~有展会的还来的话 还会选择这里。', '短评打分': 5}
{'短评内容': '非常满意，但有点贵因我们出差标准350元含早，建议是否可根据住店次数达到此标准。如果可以我会签协议贵店为我公司指定酒店。谢谢请答复。', '短评打分': 5}
{'短评内容': '很好 很满意', '短评打分': 3}
{'短评内容': '酒店环境不错，就是空调有时候不开，房间很热、总体环境还不错的哦', '短评打分': 5}
{'短评内容': '房间设计比较温馨，设计风格独特，设施较新，推荐入住', '短评打分': 5}
{'短评内容': '挺好的，就是房价不包含早餐，而且个人认为房间的淋浴喷头不太好用，水流不好了，而且也不能拿下来，水比较散', '短评打分': 5}
{'短评内容': '还不错啊，房间挺大的，确实不愧套房酒店的名字呢。房费里不含早餐，感觉有点贵，呵呵。周边也很方便，有肯德基，麦当劳，吉野家，米线，加州拉面，反正快餐是应有尽有。还有家乐福超市，人民购物广场，远洋城，真的很不错啊。对面就是国际会展中心了。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '很一般,卫生间不好,其他还行,早上幸亏用链子锁好门,服务员自己就跑进来了!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!1', '短评打分': 5}
{'短评内容': '房间很不错，很大很新，也很干净，旁边是大的购物中心，吃饭购物都方便。下次来唐山还会住在这里，只是早餐有些贵了，能否将早餐含在房费中？', '短评打分': 5}
{'短评内容': '酒店环境很好！服务也很好~', '短评打分': 3}
{'短评内容': '一直在住，出了房间服务员会总出现同样的错误之外，别的一切都还好，卫生条件也不错。酒店周围环境也不错。', '短评打分': 5}
{'短评内容': '很好的酒店，性价比很高，位置很好。在建设路旁边，开车出行非常方便。停车场很大，停车很方便。旁边有大型购物商场，有很多饭店，购物吃饭都很方便。', '短评打分': 5}
{'短评内容': '很好的酒店，物有所值。性价比很高，位置很好，旁边有一个很大的购物商场。同时有一个很好的淮扬饭店。购物就餐非常方便。', '短评打分': 5}
{'短评内容': '很好，很干净，一直住在这里，以后还会在选择.服务也很好，离远洋城很近，傍边有很多小吃，楼下就是超市，电影院，健身房，购物。', '短评打分': 5}
{'短评内容': '酒店第二次入住了，整体感觉不错，房间很大。周边也很繁华！无论是购物还是吃饭都非常方便，一层的餐厅环境安静，价格也适中，便于谈事！\n', '短评打分': 5}
{'短评内容': '很不错，卫生条件以及服务都很好，房间住着也很舒服。只是楼下就是商场显得有些乱，地理位置离市区稍微有些远，开车要10分钟左右才能到市中心', '短评打分': 5}
{'短评内容': '很干净，一直在住，还会选择下去。交通很便利', '短评打分': 5}
{'短评内容': '很干净的酒店，一直在住，也会一直选择下去。', '短评打分': 5}
{'短评内容': '一直在住，很好的酒店，会一直选择.很干净', '短评打分': 5}
{'短评内容': '老顾客了，很干净的酒店，地理位置也很好，前台的服务人员给人宾至如归的感觉', '短评打分': 5}
{'短评内容': '长期入住该酒店，所以还会在可考虑以后入住，但是这两次入住对该酒店的房务中心的服务人员对客人的服务态度很不满意。', '短评打分': 5}
{'短评内容': '酒店位置好，房间也很干净，不过该酒店的房屋中心服务态度不怎么样。', '短评打分': 5}
{'短评内容': '入住当天修理空调，之前没有任何通知。问前台，竟然回答“爱住不住”，夸张。典型的硬件不错，服务很差。', '短评打分': 1}
{'短评内容': '酒店环境很好，很干净，房间非常宽敞。交通也很便利，就是价格稍贵', '短评打分': 5}
{'短评内容': '总的来说还不错，沙发是双人的没法睡人，如果是三口之家，需要加床，晚上睡觉很安静，服务很好。', '短评打分': 5}
{'短评内容': '环境很好啊，装修的很漂亮，服务很到位，下楼就是远洋城很方便，就是有点儿贵，不过完全值得了。', '短评打分': 5}
{'短评内容': '交通便利，环境还行。但是前台服务太差。结账时划信用卡，已经划重两次了。', '短评打分': 5}
{'短评内容': '房間超大,但有點大而不當感覺,只是空調是該檢修一下,,性价比算不錯了', '短评打分': 5}
{'短评内容': '不错的酒店，还会再住，楼下的烧烤品种太少，周围有一家麻辣烫很好吃，很回味', '短评打分': 5}
{'短评内容': '酒店还是不错，吃饭，停车都方便，就是两个晚上换了三个房间', '短评打分': 5}
{'短评内容': '房间挺大，是套房，感觉不错，唐山没有团购的酒店，这点比较遗憾', '短评打分': 5}
