{'短评内容': '就是有点老了，房间太小', '短评打分': 4}
{'短评内容': '酒店位置好，有停车场，服务好，酒店二楼中餐厅也很不错哦', '短评打分': 4}
{'短评内容': '酒店位置好，价格相对实惠，就在财政经济学院门口，旁边就是地铁站出口，非常方便，但是缺点主要是：1，淋浴热水不热，洗澡冷，这个问题应该比较普遍，因为听到隔壁也在走廊质问服务员，服务员说没办法。2，隔音不好，隔壁或者走廊有人说话听得很清楚，影响睡眠。3，没有浴帽。以后不会再订这家酒店了。', '短评打分': 3}
{'短评内容': '早餐还好，有米粉、包子、牛奶、鸡蛋、炒面等，酒店位置在湖南财经学院北门，地铁2号线金星路站2A出口就是。优点是离学校实验楼、第二教学楼近。缺点是酒店比较吵，设施陈旧，卫生间窄，价格偏贵。', '短评打分': 4}
{'短评内容': '房间面积有点小，洗漱间在外面，就在床的旁边', '短评打分': 3}
{'短评内容': '很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '附近看演出所以临时预定，外观看酒店气派，实际房间有些旧，小，比较失望。不过，门口就是地铁金星路站，出行很方便', '短评打分': 4}
{'短评内容': '酒店外观还行，空调效果差，噪音大。', '短评打分': 3}
{'短评内容': '和想象中的差不多，三星级别，单位招待所级别', '短评打分': 5}
{'短评内容': '环境好，服务好！', '短评打分': 5}
{'短评内容': '住的是高级双床房，房间很宽敞，卫生也不错。早餐品种很少，仅能填饱肚子而已。离地铁出口只有不到二十米，真的只要一分钟。但是，地处市区边缘，周围吃饭的地方很少，几乎没有。', '短评打分': 4}
{'短评内容': '很一般！', '短评打分': 3}
{'短评内容': '环境还可以  但是大床房相对同等价位的酒店房间要小很多', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '金枫性价比不高，酒店较老。但是，同志们！酒店餐厅双椒鱼头超级正点！', '短评打分': 3}
{'短评内容': '挺不错的！干干净净，宽敞又明亮！从窗户可以看到湖南财专的娃娃们。\n窗户有限制，只能打开一条缝，可能是为了安全考虑吧，可以理解！', '短评打分': 5}
{'短评内容': '整体环境不错，普标的洗漱间有点小，隔间不是很好。', '短评打分': 5}
{'短评内容': '整体不错，服务也很周到.目前在修地铁，单号房有点吵', '短评打分': 5}
{'短评内容': '不错，早餐相对于其它同级别酒店还是不错的', '短评打分': 5}
{'短评内容': '还不错，不提供一次性洗漱用品有点不太方便。', '短评打分': 5}
{'短评内容': '酒店房间太小，长沙的酒店都没有一次性的拖鞋。很郁闷！~', '短评打分': 1}
{'短评内容': '服务棒，就是周边东西较少，环境还行', '短评打分': 3}
{'短评内容': '订的行政大床房，床还行，房间可真不是一般的小！放下床后基本没活动的空间了！前台给我留的单号房间，临着街，晚上有点吵！其他的感觉还行！', '短评打分': 5}
{'短评内容': '这个宾馆的服务态度还可以，卫生也做得较好，只是房间光线设计不太温馨，有待改进！', '短评打分': 5}
{'短评内容': '酒店内部装修不错，地理位置有点偏，吃饭的地方不太好找。', '短评打分': 5}
{'短评内容': '很有性价比高，我还会去住，干净、舒适、环境好。', '短评打分': 5}
{'短评内容': '感觉很不错，服务态度好，环境不错，下次来还住这里！', '短评打分': 5}
{'短评内容': '房间很小，对面是工地，有点吵。因为房源紧张，没经我同意直接把行政大床房变成标准大床，价格一样，但是床小了，楼层也低，感觉很不舒服。', '短评打分': 1}
{'短评内容': '酒店马路边上，离市区比较远，靠马路的房间晚上有点噪，其它都还不错', '短评打分': 5}
{'短评内容': '酒店挺不错的，干净酒店挺不错的，干净酒店挺不错的，干净酒店挺不错的，干净酒店挺不错的，干净', '短评打分': 5}
{'短评内容': '服务态度挺好，环境不错。', '短评打分': 3}
{'短评内容': '房间面积小但基本够用，二楼中餐尚可；春节期间不少房间被包租打通宵麻将，抽烟还开着门，影响其他客人休息，竟然没人管。？', '短评打分': 3}
{'短评内容': '环境不错，服务也很好，就是晚上街道行车的声音稍微有点吵。', '短评打分': 5}
{'短评内容': '环境不错，设施尚可，就餐也有特色，是去湖大北校区的较好的选择。', '短评打分': 5}
{'短评内容': '再一次入住，感觉不错，午后2点退房，很方便的。。', '短评打分': 5}
