{'短评内容': '干净卫生，空间也可以', '短评打分': 5}
{'短评内容': '还是非常不错的', '短评打分': 5}
{'短评内容': '设备陈旧，浴缸和淋浴房地面有破口，停车位少（店门口），沿街晚上很吵。最要命，空调坏的，一晚上没睡。唯一的优点，酒店旁边有个大商场。300多的价格，住到168水平的房间，性价比太低。', '短评打分': 2}
{'短评内容': '服务失误给提前退房，服务人员态度还OK， 酒店设施比较老旧当然价格在哪放着呢，总体来说还行适合公司商务控制成本的那种', '短评打分': 4}
{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '性价比高，离虹桥不远，还不错', '短评打分': 5}
{'短评内容': '实物与图片相差太大的区别。\n很差', '短评打分': 1}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '空调足，热水舒服，床一般', '短评打分': 4}
{'短评内容': '很好，性价比高。酒店周边环境一般，周边吃饭不方便，需要走一定距离。提供免费停车，其他服务还可以。还不错。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '帮朋友订的，一般', '短评打分': 4}
{'短评内容': '好评！！', '短评打分': 4}
{'短评内容': '好评', '短评打分': 4}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '早餐是我住的所有三星酒店最差的。', '短评打分': 2}
{'短评内容': '环境不错，很好', '短评打分': 3}
{'短评内容': '离家近,来朋友都去这住方便,装修还可以..........', '短评打分': 5}
{'短评内容': '上海阳坤华府国际酒店交通不是很方便，屋内家具味道重', '短评打分': 1}
{'短评内容': '这个酒店真好，干净卫生，设施全新，性价比超高。比锦江之星强多了！', '短评打分': 5}
{'短评内容': '离莘庄地铁打的需15元左右（有些出租车起步价不一样。），时间5分钟左右。离虹桥火车站打的需30分钟左右。附近吃喝玩乐齐全。酒店房间干净，整洁，全新的。卫生间很大。我住的房间靠小区，非常安静。电视节目是数字电视。缺点是早餐品种少。', '短评打分': 5}
{'短评内容': '这个酒店挺好的，服务态度相当好，价格也适中', '短评打分': 5}
{'短评内容': '房间装修还好，但有一股很浓的霉味；消防管理也不过关：房间无防毒面具和手灯', '短评打分': 3}
