{'短评内容': '不怎么好', '短评打分': 3}
{'短评内容': '位置有点偏，找了好一会儿', '短评打分': 5}
{'短评内容': '非常好非常好', '短评打分': 5}
{'短评内容': '可以可以可以', '短评打分': 5}
{'短评内容': '还可以，有停车的位置', '短评打分': 4}
{'短评内容': '主要是离工作地方比较近，每次来都住这里，优惠力度不够大房间还行。服务态度也很好', '短评打分': 5}
{'短评内容': '一般，能住', '短评打分': 3}
{'短评内容': '一般能住。', '短评打分': 3}
{'短评内容': '能住，一般', '短评打分': 3}
{'短评内容': '一般能住', '短评打分': 3}
{'短评内容': '一般能住', '短评打分': 3}
{'短评内容': '干净卫生，交通方便，', '短评打分': 4}
{'短评内容': '性价比可以', '短评打分': 5}
{'短评内容': '经常在这住了，交通便利价格合理，主要距离出差目标地较近。', '短评打分': 3}
{'短评内容': '差劲，不是一般的差劲，前台直接说没有订单，电话联系携程后才给确认订单，前台老女人的态度就好像别人欠她钱似的，房间里面没有烟灰缸，抽屉里全是烟灰', '短评打分': 1}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '去看了，床单有张的痕迹，没有入住。外面看上去还行，离机场不远。', '短评打分': 1}
