{'descr': '交通较方便', 'star': 3}
{'descr': '附近离地铁很近，', 'star': 4}
{'descr': '只能说凑合', 'star': 3}
{'descr': '房间挺不错的', 'star': 5}
{'descr': '房间隔音很一般  卫生间的水龙头是坏的 吹风机也是坏的', 'star': 3}
{'descr': '不是更好，一般般，都不是很', 'star': 3}
{'descr': '住过几次了，性价比没得说', 'star': 3}
{'descr': '酒店中的小米，不错不错', 'star': 3}
{'descr': '一般般，不值这个价格', 'star': 3}
{'descr': '还不错，位置好，在市中心核心商圈', 'star': 5}
{'descr': '房间设备有点旧，服务还好，总体还行吧', 'star': 3}
{'descr': '酒店设施基本上可以。服务员服务也到位。', 'star': 5}
{'descr': '非常不错', 'star': 5}
{'descr': '还可以，下面又有吃的，银行', 'star': 3}
{'descr': '有点偏，挺好，就是我住的房间有点吵，设施都齐备', 'star': 5}
{'descr': '酒店在宅楼的５楼，感觉出入不方便，但地段就非常好，房间比较宽，进了房间感觉还行。', 'star': 1}
{'descr': '环境不错，房间挺干净的。服务员的态度也挺好的。', 'star': 5}
{'descr': '酒店装修一般房间还是挺干净的，服务态度还可以，价格的话还是比较合理。位置的话还可以。', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '住宿环境还比较干净卫生。价格还是有点小贵，呵呵', 'star': 5}
{'descr': '元旦期间入住的商务房，该商务酒店与多家单位共用大堂接待，感觉相当杂乱，且入住的房间窗子的锁扣都是坏的让人不太放心，元旦期间重庆较冷，于是请大堂再给一床被子，被告知无多余被子，请开大空调，晕倒 ，于是次日赶紧换家酒店。', 'star': 1}
{'descr': '还不错', 'star': 3}
{'descr': '熱水不夠熱', 'star': 3}
