{'descr': '离地铁站500米，房间稍有点小，去方庄也方便', 'star': 4}
{'descr': '房间干净。交通方便。就是那个房间的窗正对空调。', 'star': 4}
{'descr': '旁边房间女生叫床声音太大了！半夜两点都不睡觉 折腾鸡巴', 'star': 3}
{'descr': '可以', 'star': 5}
{'descr': '交通便利，服务周到，干净整洁', 'star': 3}
{'descr': '快捷酒店设施，房间还可以，价格有点贵，', 'star': 3}
{'descr': '酒店房间大小还可以，设施和卫生一般般', 'star': 3}
{'descr': '帮家人订的，反馈说酒店位置很好，出行方便。推荐', 'star': 4}
{'descr': '很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '环境好，服务好，这次去比之前管理更严格了', 'star': 5}
{'descr': '酒店服务还可以，升级了房型，还是不错的，好评，下次还会来，公交车也方便。', 'star': 4}
{'descr': '房间很大很干净，就周边吃饭要走远点。', 'star': 3}
{'descr': '挺好的，干净，服务人员态度很好，下次还会来的。', 'star': 5}
{'descr': '房间简捷实用', 'star': 3}
{'descr': '朋友来玩住的，就在我家小区对面。出门就是公交车站，很方便~\n内部也很干净~很不错~', 'star': 5}
{'descr': '地理位置偏僻，出门基本上靠打车。而且周围有些乱，单身女性就不要自己来了。不安全。', 'star': 1}
{'descr': '房间干净，服务人员技术不熟练！停车场实在是太小了1', 'star': 5}
{'descr': '交通方便，房干净，就是小卡片太多，早上门口的小笼包子味道超好', 'star': 3}
{'descr': '一楼是个小餐厅，这么热的天正好不出去吃饭', 'star': 3}
{'descr': '设施不错，干净整洁。入住就见满地卡片，确实是一道风景，只是忘了拍照。', 'star': 3}
{'descr': '锦江之星服务很周到！环境很不错！京东订酒店很便宜！', 'star': 5}
{'descr': '房间挺干净的，服务不错！下次有机会还来这里！就是塞小卡片的有点多！', 'star': 3}
{'descr': '不是一次住了，就是一地的小卡片很烦人，你懂得！', 'star': 5}
{'descr': '很方便，正好赶上两会，晚上很晚才到店 北边有家烧烤还是很不错的！', 'star': 5}
{'descr': '房间很干净，由于我住在远离马路那一侧，也很安静！总之很好，服务也很满意！除了小卡片的问题，其他一切满意！', 'star': 3}
{'descr': '1.地段偏僻，尤其是和地铁的距离很远；\n2.隔音效果查；\n3.东北人聚集的一个快捷酒店，住户感觉绝大多数是东北人；\n4.一个晚上门缝里塞进了12张应召女郎的小卡片；\n5.一般的锦江之星的前台用很多自选的商品，这家几乎没啥东西，很不方便。', 'star': 1}
{'descr': '位置离南苑机场较近,环境好,设施全.比其他家要好', 'star': 5}
{'descr': '还不错， 房间虽然不大， 但是还满干净的， 就是热水供应似乎有问题哦', 'star': 5}
{'descr': '酒店服务不错，干净，有东方色彩。交通方便，购物也比较近。处于比较不繁华的地方。', 'star': 5}
{'descr': '环境很好，服务也周到。但半夜经常在走廊里会有人大声说话，隔音不太好，会影响休息。还有就是小卡片的问题真心希望能解决一下', 'star': 5}
{'descr': '酒店硬件设施比较完善，美中不足的有两点：1、面积小了点儿  2、地上有很多“名片”望酒店管理人员加以管理', 'star': 5}
{'descr': '请预订部及前厅部协调好订房中心的订单，别让客人在前台等那么长时间。跟前台说了800遍有预定，就是死活不给办入住！非说要等订单！别这么死心眼好吗？！你早晚都得给办理入住，麻烦变通点，鼻子不是鼻子眼不是眼的，给我看呢？我是花钱消费的，你是提供服务的，主次都不知道了是吗？还有这破酒店满地的小广告，您这是锦江集团的快捷酒店，别随随便便的好吗？安保部门干吗吃的？', 'star': 1}
{'descr': '有一定性价比，枕头、床、浴室还不错。。。。。。。。。。', 'star': 5}
{'descr': '价位还可以。不過房间小卡片那不是一般的多，查了一下72張美女卡片，基本不重復。', 'star': 5}
{'descr': '作为出差的住宿选择，还是不错的，能满足一般要求！', 'star': 5}
{'descr': '房间还不错，就是隔音不好，挨着马路，太吵了', 'star': 5}
{'descr': '干净，便利', 'star': 3}
{'descr': '帮朋友定的，他觉得非常好，下次还要住这里', 'star': 5}
{'descr': '很干净，价格合理，交通方便，门口就是公交车', 'star': 3}
{'descr': '很好的一家店，服务不错，交通也很方便．．就是周围环境有一点嘈杂，还会再次入住．．', 'star': 5}
{'descr': '+服务好,干净,温馨..', 'star': 5}
{'descr': '性价比较高，但周边区域感觉比较乱，可能因为附近在修地铁的缘故..服务很好..值得再次入住。', 'star': 5}
{'descr': '感觉都还不错。希望隔音能作出改进，能让人更有安全感。', 'star': 5}
{'descr': '地理位置不错，用餐也很方便..只是周围环境有点杂，感觉有一点乱..', 'star': 3}
{'descr': '很不错哈，房间装修感觉挺好的，很干净，锦江之星的服务果然还是很让人满意，基本没什么大的缺点，除了房间小点，但也还可以接受，毕竟价格比较实在嘛', 'star': 5}
{'descr': '很干净，舒适。靠近三环，离京津塘高速较近。', 'star': 5}
{'descr': '很好.', 'star': 5}
{'descr': '感觉很好  硬件软件，人员服务都很不错，唯一的就是离城太远了～ ', 'star': 3}
{'descr': '第二次入住，订的商务间比较大一些，但是网线与字台的距离太远，不够长，比较郁闷，早餐有了改进 ', 'star': 5}
{'descr': '不错，服务比较好！就是吃饭不太方便的！！！！', 'star': 3}
{'descr': '住的还可以，就是附近吃饭不太方便！以后还来住这里的！', 'star': 5}
{'descr': '+酒店很干净,服务很好.价格合理.', 'star': 5}
{'descr': '南城的宾馆真是不行，乱，杂，地方停偏的，房间挺小。楼下倒是有卖东西的。', 'star': 3}
{'descr': '这个位置真是不怎么好找，上次走错路了，周边环境有点像城乡结合部。乱。', 'star': 3}
{'descr': '房间不错很干净，环境也很好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '都还不错了，用品配置及放置都较人性化。就是位置离方庄稍远点。', 'star': 5}
{'descr': '还不错的~！', 'star': 5}
{'descr': '什么都不错，就是一进门就是从门缝塞了很多色情名片在房间里。。。', 'star': 5}
