{'短评内容': '锦江之星还是一如既往的好！快捷酒店里不错的了', '短评打分': 5}
{'短评内容': '条件不错，还有停车场，周边出行又方便。服务好，房间干净卫生。', '短评打分': 5}
{'短评内容': '出行方便，價格合宜。', '短评打分': 4}
{'短评内容': '交通便利，價格合宜。', '短评打分': 4}
{'短评内容': '一般啦，好找。', '短评打分': 4}
{'短评内容': '订的特价房，没有早餐。离地铁站四号线角门西站一公里多路程，不算太远。四号线到西单换乘一号线到西安门特别方便。房间小但靠近地铁站也还算可以了。', '短评打分': 5}
{'短评内容': '离地铁站还算近，一公里多到四号线角门西地铁站，四号线转一号线到天安门挺方便。房间不大，但是在这个地方这个价位也就只能这样了。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '位置不算太大。酒店设施不算太新。不过服务态度很赞。还算满意的一次入住', '短评打分': 5}
{'短评内容': '房间一般，比较旧', '短评打分': 4}
{'短评内容': '价格很**，宝贝质量挺好的，速度也快！包装看起来很好，包得很用心，很喜欢了，忠心地感谢你，让我买到了梦寐以求的宝贝，太感谢了！京东商城就是好，服务好，送货速度快，售后很满意，我将一如既往的支持京东商城。希望京东越来越好。加油价格很**，宝贝质量挺好的，速度也快！包装看起来很好，包得很用心，很喜欢了，忠心地感谢你，让我买到了梦寐以求的宝贝，太感谢了！京东商城就是好，服务好，送货速度快，售后很满意，我将一如既往的支持京东商城。希望京东越来越好。加油价格很**，宝贝质量挺好的，速度也快！包装看起来很好，包得很用心，很喜欢了，忠心地感谢你，让我买到了梦寐以求的宝贝，太感谢了！京东商城就是好，服务好，送货速度快，售后很满意，我将一如既往的支持京东商城。希望京东越来越好。加油价格很**，宝贝质量挺好的，速度也快！包装看起来很好，包得很用心，很喜欢了，忠心地感谢你，让我买到了梦寐以求的宝贝，太感谢了！京东商城就是好，服务好，送货速度快，售后很满意，我将一如既往的支持京东商城。希望京东越来越好。加油', '短评打分': 5}
{'短评内容': '很nice不错', '短评打分': 5}
{'短评内容': '很nice环境不错设施齐全', '短评打分': 5}
{'短评内容': '第二次住马家堡路的锦江之星了，比附近的如家好很多，干净整洁，门口没有塞小卡片的，服务也很好', '短评打分': 5}
{'短评内容': '一直喜欢在锦江之星住，环境干净舒适，马家堡店很不错', '短评打分': 5}
{'短评内容': '，，，，，，，，，', '短评打分': 5}
{'短评内容': '很不错，每次来南城办事都住这里。', '短评打分': 5}
{'短评内容': '位置比较难找，角门路是一条沿着河流的小路，地面坑坑洼洼的。酒店的卫生不错，隔音也看得出来做过处理，没有什么太吵闹的动静；楼下餐厅可以吃饭，简餐而已。总体来说比较中规中矩，没有太大的问题，与其他连锁酒店相比，锦江之星还是不错的。', '短评打分': 4}
{'短评内容': '去的工地附近住这，隔音也不好，设施都太老旧，卫生间很不喜欢啊，马桶和大门都很矮，这活动价可能是这样', '短评打分': 3}
{'短评内容': '一般般可以随便住下。。。北京这样的价格确实不容易。。。就是环境 床品实在不敢恭维，真心有点吃不消啊！', '短评打分': 3}
{'短评内容': '干净卫生，服务热情，性价比高。', '短评打分': 5}
{'短评内容': '我是真的很满意了', '短评打分': 4}
{'短评内容': '不是太满意', '短评打分': 4}
{'短评内容': '干净，舒适！', '短评打分': 5}
{'短评内容': '还不错，干净又实惠，晚上也挺安静的，周围有家全聚德烤鸭', '短评打分': 5}
{'短评内容': '还可以  就是周围环境稍微差了点   离地铁有点远', '短评打分': 4}
{'短评内容': '位置较偏，卫生服务很好，水也热，充足。', '短评打分': 4}
{'短评内容': '前台服务态度不错，房间也很干净了，总体来说，还不错。', '短评打分': 5}
{'短评内容': '酒店的位置不好找，给出租司机看酒店位置短信他也不清楚，最后是打电话到前台才解决。酒店位置短信应该写在长客站附近更好一些。', '短评打分': 1}
{'短评内容': '很多年的酒店了，服务没的说，装修看上去也还蛮新的，住过不下几十次了，就是比较怀念以前的馄饨和小笼包，现在餐厅已经没有了这两个菜了。', '短评打分': 5}
{'短评内容': '餐厅的套餐中水果味苦似变质。交通不便。', '短评打分': 3}
{'短评内容': '太难找了。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '酒店规模较大，干净卫生，整洁。挺舒适。下次还住。', '短评打分': 5}
{'短评内容': '什么都还可以，但是位置很难找，好像连接的地图也不是很准', '短评打分': 5}
{'短评内容': '非常不错 交通非常方便 只是第一次去有点不太好找 酒店很干净 简洁舒适', '短评打分': 5}
{'短评内容': '服务和房间都还好，位置也比较方便，就是不太好找，打车出租车司机都找不到', '短评打分': 5}
{'短评内容': '锦江的房间不错，这家位置很好，靠近高铁南站。', '短评打分': 5}
{'短评内容': '距离地铁站需要走十分钟，离南站打的17元，如果住南站，还算方便，但是掉了东西，服务员没有通知，感觉还要加强，里面的饭菜不好吃', '短评打分': 5}
{'短评内容': '干净安静，挺好', '短评打分': 3}
