{'短评内容': '不错德房间', '短评打分': 4}
{'短评内容': '卫生太差，房间气味重。洗手间排气不好，满房间都是味', '短评打分': 1}
{'短评内容': '孬', '短评打分': 1}
{'短评内容': '酒店位置阔以，服务不错。地理位置很好。', '短评打分': 5}
{'短评内容': '房间不透气，卫生都没搞干净', '短评打分': 3}
{'短评内容': '宾馆交通很方便，房间很不错，卫生也还可以，就是卫生间有点小，房间不太隔音，这个价格比较实惠，有机会还会光顾', '短评打分': 5}
{'短评内容': '垃圾中的战斗机。。好后悔！！！', '短评打分': 1}
{'短评内容': '条件不算好，价格优惠', '短评打分': 4}
{'短评内容': '靠窗楼下有烤串。白天比较吵闹。没有一次性拖鞋。', '短评打分': 4}
{'短评内容': '晚上会有点吵 不过交通挺方便 去哪玩都挺方便的', '短评打分': 4}
{'短评内容': '挺好的！住了好几天呢！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': 'bucuode', '短评打分': 5}
{'短评内容': '可以的，蛮实惠', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '刚进房间，枕头上几只蟑螂，立马踩死一只，还有几只。。\r\n整晚不敢睡觉。。', '短评打分': 1}
{'短评内容': ' 很不错 很不错 很不错', '短评打分': 5}
{'短评内容': '出门吃饭比较方便,停车比较麻烦,住一晚上停车费16元,我们住的是家庭房,房间比较小.', '短评打分': 5}
{'短评内容': '条件一般，但比较干净，住4楼没有电梯..高峰期洗澡水压是个问题..', '短评打分': 1}
{'短评内容': '.前台服务态度好,房间小,走廊地毯不干净,房间卫生尚可', '短评打分': 3}
{'短评内容': '酒店交通地理位置比较方便，订的是三人间的家庭房，感觉还是蛮舒适的，晚上睡觉时周围环境也比较安静，不嘈杂', '短评打分': 5}
