{'短评内容': '一般。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '好，不错', '短评打分': 4}
{'短评内容': '环境不错，很舒服，出门吃的也很多，交通方便，下次来还会光顾这里', '短评打分': 5}
{'短评内容': '已经多次入住，很方便，价格合适。楼下的游泳池每天有很多人游泳就是忘记带泳衣，门口停车很方便，整体不错，以后还会选择', '短评打分': 5}
{'短评内容': '房间WiFi不够给力，老是连不上网，位置比较方便，出差入住的话很便捷，早餐有待改善，整体可以接受，出差的话会继续入住', '短评打分': 5}
{'短评内容': '非常差的酒店，性价比超低，设施陈旧，WIFE还有付押金', '短评打分': 1}
{'短评内容': '家门口的酒店，经济实惠', '短评打分': 5}
{'短评内容': '老旧，下次不住', '短评打分': 2}
{'短评内容': '好好干啥时候了，', '短评打分': 5}
{'短评内容': '房间设施有点差', '短评打分': 4}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '推荐，水质和水温很好，性价比高', '短评打分': 3}
{'短评内容': '酒店外面很脏 大厅乱也不卫生。 房间陈旧隔音不好。服务员速度太慢\n\n这个价格根本不值。所以不推荐。', '短评打分': 1}
{'短评内容': '位置是不错的，但服务较差，有的房门有问题。', '短评打分': 1}
{'短评内容': '酒店的装修比较陈旧，房间内卧具、毛巾需要更新了。\n大厅在进行房产销售，看上去很乱。', '短评打分': 1}
{'短评内容': '房间够大，还是挺不错的，只是住了3天有两次停热水，比较郁闷。', '短评打分': 5}
{'短评内容': '酒店服务不错。四周交通也很便利。房间很宽敞，卫生也挺好。\n餐厅的自助早餐不错 很丰盛。\n酒店还有个室内游泳馆，凭房卡还可以免费游泳。\n下次来了还会选择住这。', '短评打分': 5}
{'短评内容': '大厅在座房产销售，看上去很乱。\n前台很差劲\n附近没有任何商店，除了烟酒以外。\n房间一股烟味\n用具很旧\n\n', '短评打分': 1}
{'短评内容': '前台服务很一般，态度不好；房间内卧具需要更新了。', '短评打分': 1}
{'短评内容': '房间不错，服务也还行，中间的房型没有外窗，早餐营养比较全面，性价比较高。', '短评打分': 5}
{'短评内容': '房间布置、设施都挺好的。就是浴巾毛巾质量不咋地，应该换了', '短评打分': 5}
{'短评内容': '还好还好还好还好好好还好还好还好还好好好', '短评打分': 5}
{'短评内容': '还可以，房间不错，环境不错，服务一般。卫生还干净。', '短评打分': 5}
{'短评内容': '酒店的服务极其差。办理一个入住手续居然用了半个小时。中途服务员一直不停的接电话，接预订。很差的入住体验。', '短评打分': 5}
{'短评内容': '房间很干净，毛巾、床单被罩还是很干净的，卫生可以给满分。', '短评打分': 5}
{'短评内容': '交通不太便利，打车一般司机都不知道此酒店。如果入住最好给司机说明在北二环明珠家居向东200-300米左右！', '短评打分': 5}
{'短评内容': '地理位置不算方便，但自驾就挺好，可以游泳，淋浴水是含硫磺的温泉，本人觉得很好。', '短评打分': 5}
{'短评内容': '酒店打车不方便,早餐也不太好; 游泳馆还不错', '短评打分': 1}
{'短评内容': '地理位置还可以，交通还行，在北郊办事比较方便，房间可能是温泉水，稍微有点味道。', '短评打分': 5}
{'短评内容': '总的来说很好，可惜早餐7点30才开始，让需要早起的无法享用，要是7点开始就好了', '短评打分': 5}
{'短评内容': '酒店入住前，一定要购买自己需要的东西，附近没有任何商店，除了烟酒以外。\n房间有零食，但要付钱买。\n有网络，但要有网线，没有无线网络（WLAN）\n大厅在座房产销售，看上去很乱。\n没有电源准换接口，如果是外国人，最好自备电源转换接口。\n', '短评打分': 5}
{'短评内容': '在住宅区里的酒店，洗澡有很大股橡胶的味道，问了才知道是温泉水。设施都很新，就是位置比较偏，不是很适合旅游者', '短评打分': 5}
{'短评内容': '酒店设施还不错，在西安来讲四星的就算性价比不错的了，但位置较偏僻，打车不易，服务态度总体一般，没达到四星的标准！', '短评打分': 5}
{'短评内容': '我们住的房间外面有过道，价格有优势，只是位置不好，在北二环较偏', '短评打分': 5}
{'短评内容': '环境不好，是小区的群楼做的改装的，整个环境跟星级觉得不匹配，位置也不方便，整体感觉不好 ', '短评打分': 3}
{'短评内容': '优点：在北郊，尤其在太华路附近办事，住这里方便。\r\n打车还算方便，每次等10分钟左右都能打到车，比我想象中好点。\r\n房间比较安静，不吵。\r\n酒店网络我喜欢，很快，其实我就喜欢他这个网络速度，否则我就住附近的如家或者锦江了，还便宜。\r\n\r\n缺点：如果1个人，吃饭不方便，隔壁是有个不小的酒店好像叫十三箸，不过1个人呢感觉进去吃怪怪的。只能走到明珠家居那条路进去找个小面馆，不过那里面的面做的都一般，不如', '短评打分': 5}
{'短评内容': '酒店应该说是非常不错，除了不在市中心以外，他的服务态度，环境卫生和硬件设施都很不错，而且价格合适，虽然不在市中心，但是交通还算可以，挺好的。', '短评打分': 3}
