{'短评内容': '农家菜很地道也实惠。。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店很不错', '短评打分': 5}
{'短评内容': '早餐一般，度假村里面非常大，有山有水，可以爬山，有泳池、健身器材，适合带孩子，停车位置非常多，房间也够大，', '短评打分': 5}
{'短评内容': '酒店环境很好，房间一般', '短评打分': 4}
{'短评内容': '非常不错，酒店旧了点。但套房非常好。可以划竹排。太赞', '短评打分': 5}
{'短评内容': '不错 推荐早上后山爬山兜一圈 大约40-60分钟 ', '短评打分': 5}
{'短评内容': '有泳池有温泉 后山也美丽，餐饮也好吃', '短评打分': 5}
{'短评内容': '很不错，免费升房', '短评打分': 4}
{'短评内容': '这家酒店经常入住，整体的环境还是不错的。 度假村中有竹排可以自己撑着玩。入住时正值盛夏，蚊子多了点，估计是打扫的时候混入房间的，这一点上需要改善。', '短评打分': 3}
{'短评内容': '酒店环境很好，服务员非常友好，被免费升级到贵宾楼商务套房，很大，遗憾的是只有按摩浴缸没有淋浴房，洗澡不太方便，估计酒店年份较长，房间设施也比较陈旧，地毯看着脏脏的。', '短评打分': 5}
{'短评内容': '房间挺大，但餐厅东西太贵，味道也一般', '短评打分': 5}
{'短评内容': '环境不错，下次去滑雪还会入住，推荐', '短评打分': 4}
{'短评内容': '环境不错，酒店接待动作太慢，房间没有所介绍的那么好！', '短评打分': 3}
{'短评内容': '度假村环境很美，后山很美，房间还可以，对马路的快活林农家乐也很不错，尤其是那个土鸡汤', '短评打分': 5}
{'短评内容': '总体感觉不错的，家庭休闲度假首选，服务好，下次还会入住', '短评打分': 3}
{'短评内容': '度假村还是不错的，就是度假村内设施再全，再完善些就更好了。', '短评打分': 5}
{'短评内容': '度假村性质，单纯住住还是可以的，要说方便，必须有车。', '短评打分': 5}
{'短评内容': ' 酒店环境好,设施新,价格合理,是朋友聚会,家庭休闲的好地方。', '短评打分': 3}
{'短评内容': '设施比较新，环境优美，尤其是门前的小溪很是亮点，推荐！', '短评打分': 5}
{'短评内容': '度假村环境很美，后山很美，房间还可以，对马路的快活林农家乐也很不错，尤其是那个土鸡汤', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店环境不错，房间不错，标间的床很大，4尺的两张。前台还是满客气的，我15人住7个房间，早餐券也多给了一张，宽带免费。房间的洗澡龙头有点坏了。8222的。不过吃饭的价格个人觉得太贵了。我15人一桌没什么菜要1630元。住宿可以，吃饭的话去马路对面的快活林农家菜。我8月6号晚饭在那里吃的，两桌780元，还比酒店吃的舒服。', '短评打分': 5}
{'短评内容': '可以满意', '短评打分': 3}
{'短评内容': '硬件不错', '短评打分': 3}
{'短评内容': '服务人员办事效率不是很速度，不麻利，不过室内的配置还算不错.', '短评打分': 5}
{'短评内容': '渡假村类型的酒店，里外的整体设施还是不错的，而且安全系数也很高，住着踏实.', '短评打分': 5}
{'短评内容': '客房干净整洁，而且配置也挺齐备的，给我印象还不错.', '短评打分': 5}
{'短评内容': '服务人员热情周到，而且室内条件也特别舒适，环境不错挺温馨的.', '短评打分': 5}
{'短评内容': '酒店没有在镇中心，出行方面多少会有些不方便，其它室内条件还不错.', '短评打分': 5}
{'短评内容': '房间很干净舒适，价格也很实惠，值得推荐。', '短评打分': 5}
{'短评内容': '房间硬件不错，服务还需加强', '短评打分': 3}
{'短评内容': '房间的硬件条件不错，服务还需跟上，没有room service的菜单。。。', '短评打分': 5}
{'短评内容': '和星级不太符合.设施有些陈旧了，而且位置很偏，出行很不方便.下次我可能不会去选这家酒店了.', '短评打分': 1}
{'短评内容': '主要优点是位置好，适合旅游度假', '短评打分': 5}
