{'短评内容': '没跟京东合作', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '很好一直住，金陵，很干净，服务员很客气', '短评打分': 5}
{'短评内容': '很好一直住，金陵，很干净，服务员很客气', '短评打分': 5}
{'短评内容': '红红火火恍恍惚惚', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '酒店服务员态度很好，酒店周围环境优美，交通十分便利。房间设施布局合理。', '短评打分': 3}
{'短评内容': '房间还行，没有想象的好，性价比也还可以', '短评打分': 5}
{'短评内容': '前台服务态度差的要死，房间还没收拾就重新开房，房间异味超级大，网上明明显示还有特价房，不愿意给换', '短评打分': 1}
{'短评内容': '住过的感觉最差的快捷酒店，当然价格在这边不可能有多好的环境跟服务，马桶冲不干净，淋雨喷头老是脱落，洗完澡出来了那叫一个冷……出门时特地跟前台说下打扫卫生，结果回来床铺都没整理……', '短评打分': 2}
{'短评内容': '房间不错，就是在装修，很吵', '短评打分': 4}
{'短评内容': '管理不规范，睡觉有人开门，设备全坏，装修太吵，房间异味....不推荐！', '短评打分': 1}
{'短评内容': '房间卫生很差。服务态度也很差。电视机也很差。洗手间卫生更差。前台服务态度更差？', '短评打分': 3}
{'短评内容': '我住的特价房，马桶板竟然是裂开的。水盆很脏，床垫有股令人作呕的味道。本来看到地势不错，想尝试一下，结果大失所望。', '短评打分': 4}
{'短评内容': '很好，价格实惠，购物和交通都很方便', '短评打分': 3}
{'短评内容': ' 环境很舒适，很不错', '短评打分': 3}
{'短评内容': ' 房间还凑合，早餐嘛，无语了', '短评打分': 3}
{'短评内容': '房间很不错，性价比很高。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '价格还行，设备有点老化，热水不行，还得提高设施水平', '短评打分': 5}
{'短评内容': ' 房间比较大，还可以。服务太一般了，床单居然是破的，郁闷……', '短评打分': 3}
{'短评内容': '不错的', '短评打分': 3}
{'短评内容': '已顺利入住金凌大酒店，非常感谢！', '短评打分': 3}
{'短评内容': '房间和说的不一样，服务也不是很好，不建议住', '短评打分': 1}
{'短评内容': '特价房卫生条件也打了折扣。服务水平也很一般', '短评打分': 1}
{'短评内容': '空调够给力 还双早 性价比也较高 下次还会过来', '短评打分': 5}
