{'descr': '前台服务不错', 'star': 5}
{'descr': '周边配套不错，离大悦城不远！', 'star': 5}
{'descr': '住的地方挺安静。', 'star': 4}
{'descr': '很好，前台人很好，连锁不多说', 'star': 5}
{'descr': '还不错，挺好的，帮家人定的，他们很满意，说还不错，挺好的，关键位置离高速很近，挺好的，不错，方便，前台态度很好', 'star': 5}
{'descr': '其他都还可以，只不过就是卫生差了一点儿', 'star': 5}
{'descr': '经常住，很不错', 'star': 5}
{'descr': '还可以 还没有入住不过价格便宜而且地点也不错。应该值得一试啦啦', 'star': 5}
{'descr': '很安静，被子比别的地方厚。室内温度不错，不用开空调', 'star': 5}
{'descr': '感觉很好。价钱合理。干净整洁。 安静不吵绝对能睡个好觉。居家旅行必备。大家可以去体验。真正的 好的没商量 ', 'star': 5}
{'descr': '这家酒店性价比高，环境好，经常出差过来这家酒店，服务热情，会推荐朋友过来入住，分享这个店的优势，让更多的人了解。', 'star': 5}
{'descr': '不错，下次再住', 'star': 5}
{'descr': '希望下次再住', 'star': 5}
{'descr': '网速太差了，什么也不说了！连刷两个小时网页，连个360浏览器都打不开，真是服了', 'star': 3}
{'descr': '满宜', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '酒店环境还是不错的。下次还来', 'star': 5}
{'descr': '服务态度好。早餐也很好。都可以。', 'star': 4}
{'descr': '中规中矩吧，一如其他的如家，只是这个价位不知道是怎么定出来的，和周边的差距忒大了', 'star': 1}
{'descr': '服务很好 酒店较偏 位置稍有不便，隔音不太好 \n', 'star': 5}
{'descr': '隔音不太好.', 'star': 3}
{'descr': '交通便利，光线好。附近买点吃的也挺方便。隔音效果也不错。房间干净，床上用品也较新。值得入住', 'star': 5}
{'descr': '服务很好  就是酒店有一点偏 位置稍有不便', 'star': 5}
{'descr': '房间比较大，可提供早餐，但是吃饭不太方便。', 'star': 5}
{'descr': '酒店比较干净，服务人员太多挺好。房间在快捷酒店中不算小，能送早餐更佳。', 'star': 5}
{'descr': '很中规中矩的如家，一切都按流程来，地点稍微有点背，不太好找。别的都还不错', 'star': 5}
{'descr': '环境还不错。 很干净。', 'star': 3}
{'descr': '设备和服务都很好，值得向大家推荐，希望有机会能再次入住该酒店。', 'star': 5}
{'descr': '挺好的，，方便快捷 服务也不错 如家在全国各地有很多的网店 下次旅游还选如家', 'star': 5}
{'descr': '性价比还可以 ', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '服务员实在很猛，态度生硬。酒店位置太隐蔽。\r\n卫生条件还好', 'star': 5}
{'descr': '来沈阳一直住这', 'star': 5}
{'descr': '住的是商务大床，屋子里味道大，暖气不热，在冬天得开空调睡，床还挺舒服，', 'star': 1}
{'descr': '卫生比较一般,设施齐全,位置好交通方便,性价比还不错.', 'star': 3}
{'descr': '如果可以的话   可以把酒店里面的设施更新一下  在路边放一个路牌什么的  比较方便找到', 'star': 5}
{'descr': '位置还行,房间的卫生还可以,服务挺不错的,价格也很优惠,还挺满意的', 'star': 3}
{'descr': '酒店的卫生条件还不错，很干净，服务也比较周到，比其他酒店安全性要好一些', 'star': 3}
{'descr': '酒店的位置很不错，挺方便的，里面的家具，设施用品都非常不错，服务也还可以，再去的话，我可以考虑。', 'star': 5}
{'descr': '酒店的服务卫生方面还是不错的，设施条件也还可以了，就是空调不太好用，周边环境还不错的，交通蛮方便的，整体感觉价格还是比较合适的。', 'star': 5}
{'descr': '酒店的提供早餐感觉很好，设施条件也不错，感觉挺满意的', 'star': 5}
{'descr': '性价比高，服务环境好，地理位置稍微偏了一些，不过总体来说还可以', 'star': 5}
{'descr': '总体上还不错，房间比较整洁，就是有点不好找，有些吵但没什么大影响', 'star': 5}
{'descr': '除了隔音效果不好,其它方面还都不错的.', 'star': 5}
{'descr': '这家店有的房间窗户是冲着室内走廊的。所以去前要定好不要窗户对走廊的房间。一楼人比较杂。又小时房，隔音不是很好。这里要比中街安全，人不是很杂，交通方便。', 'star': 5}
{'descr': '住勉強~交通、服務就差很多', 'star': 1}
{'descr': '这家酒店服务卫生都很不错,位置出行也很方便,环境设施也很好,很不错的商务连锁酒店.', 'star': 5}
{'descr': '很喜欢这家酒店，房间不临街，很静；员工很有礼貌，我住得很开心，所以第二次去沈阳又选了如家。不过第二次的和平北大街店和这一家根本不能比，员工没有礼貌，房间下水又有问题。后来想一下，津桥店有顾客评价监督系统，一方面可见酒店对服务质量的重视，另一方面也可以时时提醒酒店员工。同是如家，差距咋就这么大捏？为什么呢？', 'star': 5}
