{'descr': '经济实惠，出行方便，服务很好!', 'star': 5}
{'descr': '还行吧，住过两次，第二次没有第一次感觉好', 'star': 4}
{'descr': '还行只是房间太旧了一点，推存一下了', 'star': 3}
{'descr': '一般般，下次还可以考虑', 'star': 3}
{'descr': '这个价位在上海已经算可以了 要求不能多 住了几次 需要选一选房间 有些住起来还是很舒服的', 'star': 4}
{'descr': '还不错。。', 'star': 5}
{'descr': '环境还好服务热情网络不怎么样', 'star': 3}
{'descr': '携程上订好了，晚上到那里说没有房间了，让加30元住198的商务间。外面下着雨，懒得跑了，就住下了。里面什么都没有，墙上涂点颜色就叫主题宾馆了！真无语，床比较短。桌子在旮旯里很小！隔壁很多打麻将，环境很不好！', 'star': 3}
{'descr': '还可以吧就是浴室小了还没门有点不好态度可以下火车坐地铁一站就到！', 'star': 5}
{'descr': '交通还算方便，只是房间无窗无冷气，只有一个小天窗，比相象中稍差，幸好只住一晚。', 'star': 3}
{'descr': '就是小了点。空调对着床脚吹，晚上灯亮着刺眼！', 'star': 5}
{'descr': '宾馆 感觉卫生一般  其他还好', 'star': 5}
{'descr': '房间挺干净的', 'star': 3}
{'descr': '原本预订的特惠房说机顶盒坏了，换成大床间。房间比较小,但是布置的还算合理，不拥挤。卫生环境还行吧，总之性价比还成。', 'star': 3}
{'descr': '除了隔音问题，其他的都不错，适合居住的，不错的hotel', 'star': 5}
{'descr': '这家店的服务很好，第二天离店时忘记把游戏柄手带走了。当时很着急，因为这是借人家的，打了电话给这家店，想不到他们帮我保留下来了。第三天的时候，我让朋友帮我去取回，服务人员态度也很客气。谢谢你们。', 'star': 5}
{'descr': '设备有些旧，里面跟迷宫似的，建议朋友们选更好点的宾馆', 'star': 1}
{'descr': '价格比较公道，交通等各方面都很方便，但隔音不好，一直有水声', 'star': 5}
{'descr': '前台服务态度极差，太垃圾了。。再也不来住了。宾馆条件也很差，建议大家不要来住。', 'star': 1}
{'descr': '常住了，总的来说不错', 'star': 3}
{'descr': '还不错，交通挺方便的。房间还可以，隔音不太好。这价钱，物有所值。', 'star': 5}
