{'短评内容': '没有早餐，房间挺大，床也挺大，就是设施比较陈旧。', '短评打分': 4}
{'短评内容': '服务好 床舒服 环境也安静 商务酒店中性价比非常高了楼道口还有投币式洗衣机 非常周到  窗户非常大 通光很足', '短评打分': 4}
{'短评内容': '房间临街，休息不好', '短评打分': 1}
{'短评内容': '还可以，快捷的一般配置，现在快捷体验越来越不好，这家就在地铁口，马路对面有肯德基和大型超市，门口有停车位，地理位置相当好。没吃早饭，屋内设施有些旧。', '短评打分': 4}
{'短评内容': '整体还是不错的，无早餐，价格稍贵了', '短评打分': 4}
{'短评内容': '下次还来住', '短评打分': 5}
{'短评内容': '汉庭不愧为快捷酒店首选，还是不错', '短评打分': 4}
{'短评内容': '房间一般', '短评打分': 5}
{'短评内容': '房间一般', '短评打分': 5}
{'短评内容': '挺好的 方便快捷', '短评打分': 4}
{'短评内容': '环境可以，离地铁站很近方便，就是靠路空调外挂音太大，后来换到后侧好点', '短评打分': 5}
{'短评内容': '交通便利，出门就是地铁站。100米范围内有购物广场，餐饮方便。宾馆规模蛮大，房间宽敞干净，只是与走廊的隔音不好。', '短评打分': 5}
{'短评内容': '一般，没其他地方汉庭条件好！', '短评打分': 4}
{'短评内容': '很不错的酒店，我们之前公司去苏州展会都是订的汉庭，交通方便，靠近地铁口，对面就是一个大超市，吃饭购物都很方便', '短评打分': 5}
{'短评内容': '房间不错，交通方便，靠近地铁口，地理位置很好找，对面有大型超市，吃饭购物都很方便。以后有机会还会考虑。', '短评打分': 5}
