{'短评内容': '第一次住 感觉还不错 房间挺大 床也很大  打扫的也很干净 有免费早餐哦 附近吃的地方特别多', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还行，就是早餐太差了。。。', '短评打分': 4}
{'短评内容': '心情不美丽。不想说太多，不知道其他房间是不是比我住的房间好，还不隔音。我住的房间就是上图，或许其他房间这个不清楚', '短评打分': 3}
{'短评内容': '房间环境无力吐槽。', '短评打分': 1}
{'短评内容': '特破，隔音效果特差', '短评打分': 3}
{'短评内容': '很差很脏很乱', '短评打分': 2}
{'短评内容': '满意 价格不是很高。', '短评打分': 4}
{'短评内容': '住了好多好多次，不错的', '短评打分': 4}
{'短评内容': '单人房间一般，较小，但布置和环境不错。热水很足 ', '短评打分': 3}
{'短评内容': '一般，太一般了，味道难闻。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '房间设施不行，而且房间隔音效果几乎没有，昨晚9点还停电了，一堆人在外面吵来吵去的打扰休息。果然对得起价格。', '短评打分': 3}
{'短评内容': '很好啊  哈哈哈 环境很好  喜欢有湖景的那边~~~', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '整体不错，周边环境好，服务也不错。只是网上价格跟前台价格没有优势，都是一样的', '短评打分': 5}
{'短评内容': '环境不错，周围有美丽的南瑞湖，酒店很干净，室内装饰也很漂亮，只不过地方稍微有点偏。总得来说还不错。', '短评打分': 5}
{'短评内容': '装修味道太大了。服务员服务不好，我出去吃饭，门卡忘记带了，叫前台叫服务员帮我开一下门，竟然让我等了10分钟，晕！！！', '短评打分': 1}
{'短评内容': '非常不错~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '总的一半  位置较偏  在很南面   火车站打车来需要14元左右   前台不能刷卡   看自己需要   如果在这附近办事好像可以   因为这里旁边没有什么选择的地方可住   价格和前台标的优惠价格是一样的', '短评打分': 5}
{'短评内容': '房间不错，性价比高，卫生良好。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错哦，                       1', '短评打分': 3}
{'短评内容': '设施很好，非常满意，就是开始的时候不是很好找呢', '短评打分': 3}
{'短评内容': '酒店很干净，服务很好，早餐很好吃，只不过要花钱', '短评打分': 5}
{'短评内容': '除了不好找以外，其余我非常满意！我喜欢的装修风格!', '短评打分': 5}
{'短评内容': '九点周边环境很好，房间干净、舒适；性价比不错。', '短评打分': 3}
{'短评内容': '很好，就是稍稍简陋了点，不过这个价位还是很不错的', '短评打分': 5}
