{'短评内容': '还不错。。', '短评打分': 4}
{'短评内容': '老板还是蛮好的，很亲切。住的是四人间，两张床够大', '短评打分': 4}
{'短评内容': '挺好的床很大舒服', '短评打分': 4}
{'短评内容': '价格超值，房间比一般的快捷宾馆还大，离地铁口比较近，到北京站打车也就是起步价，老板服务也特别好，以后到北京就定点这边了。', '短评打分': 5}
{'短评内容': '差评，入住的时候正好遇到小区管道维修，连续两天没有热水，澡都洗不了，入住的时候前台没有任何提醒，真的不如住连锁酒店！', '短评打分': 2}
{'短评内容': '房间干净，附近景点近，不错', '短评打分': 4}
{'短评内容': '我是带着父母去游玩的。这家地理位置尚可，距离地铁站要走10分钟路程。在一栋公寓楼里，不好找，因为没有招牌，到了要打电话，店家来接。公寓较老旧，里面环境较差，设施条件不好。预定的家三人间，网页上写的是45平米，有洗衣机、微波炉，实际上带我们去的那间房，这些都没有，面积至多也只有十几个平方，设施简陋，完全失望。后来换了个大点的房间，虽然面积大一些，但是卫生间环境特别差，马桶特别破旧，卫生间气味特别难闻', '短评打分': 3}
{'短评内容': '挺卫生的，环境也不错，服务热情，周边设施也挺齐全，银行，饭店，超市，挺方便的', '短评打分': 5}
{'短评内容': '还算可以吧，位置很方便', '短评打分': 3}
{'短评内容': '服务很好，值得推荐', '短评打分': 5}
{'短评内容': '挺舒服的，地段不错，也很安静', '短评打分': 3}
