{'短评内容': '不想多说了，差而且比前台付贵', '短评打分': 3}
{'短评内容': '跟图片相差甚大！', '短评打分': 3}
{'短评内容': '在同价位的房屋里，还算可以吧。', '短评打分': 3}
{'短评内容': '环境还可以，房内有空调，24小时热水，吃饭也不远，靠马路的有些吵。', '短评打分': 3}
{'短评内容': '清洁卫生，价格优惠，距离西湖景区也方便，杭州之旅的最佳选择。', '短评打分': 3}
{'短评内容': '就是一个小旅馆，没看评价就定了，后悔不已，住了一晚果断退房', '短评打分': 2}
{'短评内容': '又贵又不值，房间很小，卫生很差，房间里的设施都能摸得出灰尘，设施也很老旧，地毯有用了十多年的感觉，都有很多破洞了，要不是没地方住肯定不会选择这里', '短评打分': 2}
{'短评内容': '订给客户的，没想到脏，乱，差到那程度，无语死', '短评打分': 1}
{'短评内容': '房间小，设施破旧，环境又差，真的不怎么样。', '短评打分': 2}
{'短评内容': '  酒店太差了，太度也不好，一问三不知，', '短评打分': 3}
{'短评内容': '热情，，离主要交通要道和景点比较近，，而且较为舒适', '短评打分': 5}
{'短评内容': '条件非常一般，别人比我在网上订的便宜，晚上过车，房子震的厉害。', '短评打分': 1}
{'短评内容': '是个招待所，房间挺干净的，小的旅馆他们家还是不错的，内部环境一般，交通还可以，附近有价格差不多的酒店比这家好多了。如：如家等', '短评打分': 1}
{'短评内容': '服务差，无语\n环境差，无语\n设施差，无语\n', '短评打分': 1}
{'短评内容': '就是个招待所，如果不是嫌麻烦，真的不想住。服务人员还好。如果选这个招待所的要考虑了，附近的如家要好很多。', '短评打分': 1}
{'短评内容': '不错的', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
