{'短评内容': '有点冷，特别是洗澡的那个喷头坏的，', '短评打分': 3}
{'短评内容': '难道你家的商务房这么小的么，除了有个墙贴，挂了幅画之外，和标间没什么区别嘛。', '短评打分': 5}
{'短评内容': '屋里不是跟热乎！！！！！！', '短评打分': 5}
{'短评内容': '不错，很好，很方便！', '短评打分': 5}
{'短评内容': '位置优越，房间干净整洁，出去旅行可以考虑哦', '短评打分': 5}
{'短评内容': '环境好 服务好 卫生干净 还很安静  适合住店首选。', '短评打分': 5}
{'短评内容': '入住说8点有热水，到了8点没有说12点有热水，到了12点没有说后半夜有，到了凌晨5点还是没有，就说热水厂没供上，今天没有热水了，7天都是这个条件么，以后不会再来的', '短评打分': 2}
{'短评内容': '很好！很干净！买东西很方便！经常入住！下回还是这里！', '短评打分': 5}
{'短评内容': '位置不错，就是电视坏了 不能看', '短评打分': 5}
{'短评内容': '酒店位置好找，交通便利，环境优美', '短评打分': 5}
{'短评内容': '非常好棒棒哒', '短评打分': 5}
{'短评内容': '挺干净，浴巾独立包装，大床房，但网上预定的，有时候去前台给的是无窗的，或很小的夹角窗！', '短评打分': 5}
{'短评内容': '嗯，不怎么好，因为房间特别的小，所以我觉得这次入住不是特别的满意', '短评打分': 5}
{'短评内容': '不错，很好的！方便快捷！第一次在京东订酒店！信赖京东的品质！划算', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '太冷了，空调不好用', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间大很干净', '短评打分': 5}
{'短评内容': '好，', '短评打分': 5}
{'短评内容': '交通方便，服务周到，只是隔音稍微差了，每天早上都是给吵醒的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '临时有事不能去了，在网上订的现在不能退，136元啊，跟客服说只能默认入住，不给退，下次再也不在携程网上订了，他妈的真坑爹', '短评打分': 2}
{'短评内容': '太小了！不满意！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
