{'短评内容': '小吕服务态度很好的', '短评打分': 5}
{'短评内容': '性价比高，前台服务优 ', '短评打分': 5}
{'短评内容': '对于酒店免费升级套房由衷感谢，但是第二天回家之后发现臀部大腿全是小红点，因为没有穿睡裤，怀疑是床单不干净被螨虫咬的，因为被衣服和内裤遮盖的部分都没有红点，再次提醒各位入住还是记得全副武装下，或者带个戴森吸尘器吧', '短评打分': 3}
{'短评内容': '沈丛丛服务可以的', '短评打分': 5}
{'短评内容': '再次来啦 环境很好 周边游玩很方便 前台小薛服务热情', '短评打分': 5}
{'短评内容': '房间很干净前台效率很高。满意的旅程', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '很好，到酒店有点晚，给升级了房间，各方面服务都很好，以后就住维景了，前台小景态度好、服务快捷', '短评打分': 5}
{'短评内容': '很好的东西，真的很不错啊', '短评打分': 5}
{'短评内容': '酒店非常好，离景区很近，非常方便，服务也很好。', '短评打分': 5}
{'短评内容': '帮朋友订的，去恐龙园去这地方好。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '第一晚升房，挺好的。价格也便宜', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '第一天住的大床房，不得不说，床太软了，睡得有点累，第二天客房服务，放了一瓶喝了一半的水，有点无语，不过后来因为酒店维修帮我们升级套房哈哈哈哈', '短评打分': 5}
{'短评内容': '分两天订的，第二天因为b栋装修，帮我们换到a栋，免费升级套房，套房的床软硬适中，睡得不累，比第一天好。早餐炒面油了点', '短评打分': 5}
{'短评内容': '酒店什么都还行～周边至少要开车20分钟才能到～有点远……如果不是自驾游的话并不是很方便～希望能开大点吃的什么', '短评打分': 5}
{'短评内容': '邵凌云服务周到！', '短评打分': 5}
{'短评内容': '去恐龙园游玩很方便，海鲜自助晚餐预约了，很好吃，很实惠', '短评打分': 5}
{'短评内容': '好帅', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 5}
{'短评内容': '一来就给我们免费升级了，好惊喜啊，前台朱琳服务态度很好！', '短评打分': 5}
{'短评内容': '很不错！', '短评打分': 5}
{'短评内容': '环境很好！服务态度很好！早餐也不错哦！', '短评打分': 5}
{'短评内容': '离温泉近', '短评打分': 5}
{'短评内容': '以前来过一次常州泡温泉，当时没订周围的酒店泡好回酒店有点吃力。这次特地订温泉旁边的酒店，本以为可以直接到达没想到还是不行一问只有前台订的才可以走VIP通道，希望以后订阅页面有明确写明。CHECK IN和CHECK OUT有点慢，等了最少五分钟，这个也优待改善。房间还是蛮不错的，很干净！', '短评打分': 4}
{'短评内容': '酒店位置很好，服务周到', '短评打分': 4}
{'短评内容': '没得说，很新的酒店，酒店自助餐非常棒', '短评打分': 5}
{'短评内容': '酒店就在恐龙谷温泉旁边，去泡温泉十分方便。酒店自身硬件条件也不错，房间比较宽敞，酒店客人还可以免费使用游泳池、健身房、儿童乐园等设施。评4分主要是因为价格比较高，酒店性价比不高。', '短评打分': 4}
{'短评内容': '，第一次认住，服务员很周到，结帐很快。', '短评打分': 3}
{'短评内容': '环境很好，可是服务还配不上五星，速度有点慢', '短评打分': 5}
{'短评内容': '环境很好，可是服务还配不上五星，速度有点慢', '短评打分': 5}
{'短评内容': '酒店设施设备完善，房间干净、宽敞，床很舒服，员工非常热情，有问必答.酒店设有去恐龙园的班车，很方便，孩子说下次还要来。', '短评打分': 5}
{'短评内容': '隔音不理想，马路噪音，室内冰箱噪音，隔壁深夜嗯嗯啊啊。马桶很难冲干净。对不起房价啊！整体格调差一点。最最恶劣的是自费吃晚餐自助餐，美国小青龙还有半盆子，厨师居然撒谎说没有了，我只能用震惊来形容，我老婆跑去反复要了才给了一只，我是没有付钱吗？你还敢去这样的酒店啊！', '短评打分': 3}
{'短评内容': '酒店很不错 环境很好 离温泉很近 很安静 房间的厕所很不错', '短评打分': 5}
{'短评内容': '离恐龙园和温泉都近，酒店环境很好！房间大又好！而且服务好又帮我们房间升级！不错！', '短评打分': 5}
{'短评内容': '酒店很好，已入住', '短评打分': 3}
{'短评内容': '第一次住了。感觉非常好！1F有日本料理店很好吃的。没想到旁边有恐龙谷温泉，第一天泡温泉，第二天在恐龙园玩儿，很好！', '短评打分': 5}
{'短评内容': '房间很大，环境很不错，旁边就是温泉酒店。下次去的话还是会选择入住的！', '短评打分': 5}
{'短评内容': '酒店环境很好，房间干净安静，距离恐龙园很近', '短评打分': 5}
{'短评内容': '靠近恐龙园。环境服务不错。不足之处是酒店附近没啥娱乐设施，可能是新区，打车不太方便。', '短评打分': 5}
{'短评内容': '酒店设施，服务都很好，就是地点比较偏，打车不方便了。', '短评打分': 5}
{'短评内容': '对一个没见过什么世面的人来说很豪华，空间挺大的，浴室少见的宽敞，早餐品种很多，口味很棒，据说自助餐也不错，下次有机会尝试啊。离温泉谷很近，步行几分钟的事，服务也很好啊。', '短评打分': 5}
{'短评内容': '酒店很新,床很舒服。', '短评打分': 3}
{'短评内容': '维景设施还不错，挺舒服。但现在通往温泉的通道关了。另外房间的隔音再好点就更棒了。', '短评打分': 3}
{'短评内容': '酒店晚上自助餐还不错，吃的东西挺多，海鲜也不少。', '短评打分': 1}
{'短评内容': '酒店是新开的，硬件条件还不错，但装修的气味还很重，让人感觉不舒服，睡觉都不踏实', '短评打分': 1}
{'短评内容': '酒店很大气 服务人员也都很客气热情 房间布置不错 唯一遗憾的事没有无线网 ', '短评打分': 5}
{'短评内容': '靠恐龙园景点近，就是隔音略微差了一点，附近没有吃的地方', '短评打分': 5}
{'短评内容': '酒店装修和设施不错，床也舒服，就是服务水准还不是很高，竟然给开了一间住了人的房，幸亏里面没人。', '短评打分': 3}
{'短评内容': '比富都商贸要好了，价格更优惠，房间更舒适，服务更好。', '短评打分': 5}
{'短评内容': '環境很好，希望洗髮水能提供好一點的', '短评打分': 3}
{'短评内容': '环境很不错，装修很人性化，与恐龙园的班车晚上可以延长一些时间', '短评打分': 5}
{'短评内容': '房间较小 ， 靠马路的房间隔音不好 ， 很吵 。', '短评打分': 5}
{'短评内容': '房间环境还可以，房间过小。早餐质量还可以，退房时间过长。多增加几个优惠的房间。\n\n', '短评打分': 5}
{'短评内容': '好酒店，，，以后还来   价格也公道  不错不错~~~', '短评打分': 5}
{'短评内容': '酒店新开的,性价比很高,前台服务不错,餐厅服务水平有待提高.房间舒适宽敞，设施新好，稍微有点味道。', '短评打分': 5}
{'短评内容': '酒店环境不错~~中餐厅一般~~相比之下日料店的水准高很多且服务佳~~给点建议~~酒店附近商业配套为零~~所以一天三餐除了在酒店就要开车开到市中心才有饭店~~\n另酒店边上温泉环境不错~~但温泉更衣室服务员总体素质不高，客人用过后几乎不打扫~~尤其是洗手间，在人不多的情况下，还没做到及时清洁~~', '短评打分': 5}
{'短评内容': '酒店旁边就是恐龙谷温泉，而且酒店内还设了通往温泉专用通道，穿着浴袍就直接过去了, 很方便，而且住店客人还能享受优惠价。酒店很漂亮，客房也很舒适，特别是卫生间很大。', '短评打分': 5}
{'短评内容': '环境不错 挺安静的', '短评打分': 3}
{'短评内容': '二楼比一楼房间好。二楼比一楼房间好。二楼比一楼房间好。二楼比一楼房间好。二楼比一楼房间好。', '短评打分': 5}
{'短评内容': '因为是新的酒店，感觉环境都很不错，不过有些设施跟不上，譬如卫生间的排气扇不知道是没有还是。。。总体满意的。', '短评打分': 5}
{'短评内容': '房价适中，房间超级好，超级大，早餐很丰盛，唯一遗憾的是交通不是很方便。打车不是特容易。', '短评打分': 5}
{'短评内容': '总体来说还是不错的毕竟只新酒店又是旅游酒店', '短评打分': 5}
{'短评内容': '房间很舒服，服务很好，与恐龙温泉相邻，前往恐龙园也有班车，很方便。', '短评打分': 5}
{'短评内容': '很好的飯店，離恐龍园和溫泉很近，非常方便', '短评打分': 5}
{'短评内容': '没有想象中的好，对不起这个价格，泳池也没有开放。特别是1米的小朋友早餐居然要收费，太不合理了。有客人吵了一架居然不收了，亏了我们这些不吵的客人，老老实实的付了钱。没天理啊。', '短评打分': 1}
{'短评内容': '非常不错的酒店，下次还会入住。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店服务优质，设施也不错，有包价的门票，就是优惠得不多，优势不够。', '短评打分': 5}
{'短评内容': '新开的很不错，旁边就是温泉谷，自助餐也是很丰富！。。。。。 但是离市中心还是稍微有点远的，出租车比较难打到！', '短评打分': 5}
{'短评内容': '饭店是新开业的，装璜的味道还有点；酒店内人员服务很不错，但网络很不好，经常断线，酒店内无商店、泳池也未开放！', '短评打分': 5}
{'短评内容': '.朋友打算住两天，说百分之百满意。谢谢！', '短评打分': 3}
{'短评内容': '不错，房间很大，住的很舒服！', '短评打分': 3}
{'短评内容': '酒店精致 环境优美 离开恐龙园也不远 标准房就是稍微小了点  女儿还是很喜欢的  值得推荐 旁边还有温泉 这次比较匆忙 下次过来泡澡 ', '短评打分': 5}
{'短评内容': '环境一流，服务也可以。特别是日本料理做的还算是不错。', '短评打分': 5}
{'短评内容': ' 酒店房间很棒,门童很热心。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店硬件设施不错，挺满意，地址位置也不错，离恐龙园什么的都很近，交通方便。觉得不足的是来往景点的班车不太准时，遗憾的是酒店的游泳池等设施都还未启用。', '短评打分': 5}
{'短评内容': '很好很干净很好很干净很好很干净很好很干净', '短评打分': 5}
{'短评内容': '上午10点到的，正好有房间就让入住了。环境很不错，周围也安静，离恐龙园也就1公里多点。', '短评打分': 5}
{'短评内容': '酒店很新，性价比高。早餐很丰富，就是中午吃海鲜自助的时候，服务员不知道我们是刚进来的，以至于吃小青龙没有票子可以拿。酒店的停车位也很多，离恐龙园开车很方便，酒店也有每半小时的免费班车！吃晚餐的时候如果在酒店吃就有点小贵，但味道一流。（仅限江南口味）', '短评打分': 5}
{'短评内容': '去了才发现，泳池没有盖好。。。本来还想游个泳。卫生间全透明的，如果有朋友到房间来，上厕所会有点尴尬。枕头和床还不错，离恐龙园不远，适合有车的人', '短评打分': 5}
{'短评内容': '房间不错。现在自助餐优惠158一位，里面的日本菜不错。喜欢吃那的三文鱼、濑尿虾，很新鲜。还有面包蟹、梭子蟹、小青龙等。那的哈根达斯是限量的每人两个球，不过基本上也够吃了，多吃浪费。门口的服务生真的很热情，会主动问好、开门，但餐厅的服务员培训可能还不怎么到位，有些服务员会聚在一起讲话，希望改进。如果酒店能像别的酒店一样给每个房间都送上一份水果、牛奶、报纸，那就更棒了。', '短评打分': 5}
{'短评内容': '很好的酒店，客房很舒服。服务也好，配套设施齐全。唯一不足的是出行打出租车不是很方便。', '短评打分': 5}
{'短评内容': '酒店设施较新，吃住价格小贵，总体服务不错。\n住的617房间卫生间淋浴房密封不好，一洗澡就渗水出来。还有浴缸旁没装扶手，老人或小孩如果泡澡的话，有点危险。细节上还要改善哦！\n\n总体不错，有机会还会入住。', '短评打分': 5}
{'短评内容': '房间很好，床很舒服，很满意。下次还会再来。', '短评打分': 5}
{'短评内容': '房间很大，很新，很好。就是浴室的花洒我个人不太喜欢。', '短评打分': 5}
{'短评内容': '挺不错的，卫生，舒适,只是卫生间的声控灯稍微有点烦人。', '短评打分': 5}
{'短评内容': '酒店设施很好，服务也很好，自助餐很满意，就一点1米2以上的儿童收成人价个人觉得不合理。', '短评打分': 5}
