{'短评内容': '不错不错 停车很方便 每次去重庆都住这家', '短评打分': 5}
{'短评内容': '停车很方便，性价比很高，棒棒哒', '短评打分': 5}
{'短评内容': '本来选择旁边的汉庭，不过停车位有限，下午四点就没了，在附近停车场停车要自付三元一个小时，立刻退订致电如家，有停车位，住下，周边很方便，又续住了一晚，性价比很高', '短评打分': 5}
{'短评内容': '服务太度好，房间整洁，被褥更换及时干凈。点赞！', '短评打分': 5}
{'短评内容': '还不错，基本每次都住这边，前台比较有心！这边公交地铁都方便！去哪儿都很快！旅游的话可以选择，既不会像是市中心那么堵那么吵！又能，很快去到你想去的目的地！', '短评打分': 5}
{'短评内容': '外面很吵，楼上还在装修，和其他如家不太一样，简陋版的。', '短评打分': 5}
{'短评内容': '价格超级实惠，酒店也很干净！', '短评打分': 5}
{'短评内容': '不错 有免费停车位 地理位置很方便', '短评打分': 5}
{'短评内容': '春节期间订的房间 服务人员很热情 办理入住也很快 地理位置不错 有免费停车场 不过车位很紧缺', '短评打分': 5}
{'短评内容': '这环境，不适合一个人住！', '短评打分': 3}
{'短评内容': '性价比高，到个交通枢纽也很方便', '短评打分': 5}
{'短评内容': '性价比高，到个交通枢纽也很方便', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '帮同事预定，还可以！携程的服务是不错的，订房方便！发票也可以很方便的开，要是邮寄发票不要配送费就更好了！', '短评打分': 4}
{'短评内容': '妹妹去面试离公司近 讲究', '短评打分': 3}
{'短评内容': '不错了，地理位置不错，比较干净，值得去', '短评打分': 5}
{'短评内容': '一般吧，价格，服务各方面都还行，没有特别好', '短评打分': 3}
{'短评内容': '还可以，去的时候在装修前台', '短评打分': 3}
{'短评内容': '可以', '短评打分': 4}
