{'短评内容': '挺好的 住了一晚上了。', '短评打分': 5}
{'短评内容': '安静，房间比较大。', '短评打分': 5}
{'短评内容': '房子很不错  物超所值   京东值得信赖', '短评打分': 5}
{'短评内容': '这个是我在库尔勒住过的最差的酒店，没有之一，居然没有空调，提供电扇吹风，没有饮用水，有窗户，小的可怜…太差了', '短评打分': 2}
{'短评内容': '环境很好，设施有些旧', '短评打分': 5}
{'短评内容': '服务态度不错，房间设施很一般，老款的电视机不清晰。卫生间有点狭窄的，洗澡不方便。所谓的早餐没有什么好吃的，我在手机上预定房间的，入住酒店后，感觉房价很贵的感觉。每个人的感觉不一样，一句话：房价不值实际情况。', '短评打分': 2}
{'短评内容': '這個價錢差不多，但附近汇嘉shopping  center 唔錯，地下超市好多東西賣', '短评打分': 3}
{'短评内容': '好评', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '房间装修太老', '短评打分': 4}
{'短评内容': '紧邻石化大道，出门购物、饮食非常便捷，整体不错，适合出差住宿。', '短评打分': 4}
{'短评内容': '干净、设施齐全、进出方便。', '短评打分': 5}
{'短评内容': '电视也太差了', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '略显旧了，住在第一间，有点吵', '短评打分': 4}
{'短评内容': '整体挺好的的 就是房间有点小', '短评打分': 5}
{'短评内容': '床单下面垫子超级脏！', '短评打分': 4}
{'短评内容': '是库尔勒经济实惠的酒店，交通便利，旅游者可选。', '短评打分': 5}
{'短评内容': '房间很不错，就是预订的是大床房，来了直接就给我个标间，我再去问才说大床房没了，有点不爽', '短评打分': 3}
{'短评内容': '酒店环境不错，服务还错可以，交通便利，价格也便宜。就是没注意是几星级的。', '短评打分': 5}
