{'短评内容': '房间环境也太差了，严重怀疑床单被罩有没有洗的，现在一身都长满了红疹，又痒又难受', '短评打分': 2}
{'短评内容': '要求高的还是不要订了', '短评打分': 5}
{'短评内容': '房间隔音太差，没睡好', '短评打分': 5}
{'短评内容': '房间有点闷  服务态度不好  其他都挺好的', '短评打分': 3}
{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '一般搬服务态度太差了。入住一定要注意', '短评打分': 2}
{'短评内容': '房间卫生不是一般的差劲，头一回住这么烂的宾馆，比一般的小旅店还不如，前台服务感觉冷冰冰的，差点觉得我欠他钱了，晚上被一阵特殊的声音给吵醒，好吧，10 分钟。楼道里面一直都女人在嬉戏，走路说话声音又大又响。我刚进房间情形是这样的，如图：', '短评打分': 2}
{'短评内容': '环境有点嘈杂 不好找', '短评打分': 5}
{'短评内容': '很棒的。没想到上海也有这么便宜服务这么好的旅店，很棒。离杨浦公园也很近。', '短评打分': 5}
{'短评内容': '有带自动麻将机的房间，朋友聚会打牌还是不错的', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '忘记什么时候的事情……', '短评打分': 3}
{'短评内容': '边上有个菜场太吵太脏了  住的地方二楼是网吧  但是环境还不算很糟  房间还行  比较干净  热水也不错', '短评打分': 4}
{'短评内容': '还好…蛮大的，下次还来', '短评打分': 3}
{'短评内容': '性价比非常高，房间大床非常大，赞一个。', '短评打分': 4}
