{'短评内容': '早餐很简单', '短评打分': 5}
{'短评内容': '还好还好。', '短评打分': 4}
{'短评内容': '屋子里特别暖和，也很干净！屋子装修比较新', '短评打分': 5}
{'短评内容': '酒店环境还是不错的，干湿分离的卫生间，遗憾的是水箱坏了……木有热水……', '短评打分': 5}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '星月可是性价比超值的一个酒店。总在南湖那边住，这边是第一次来，觉得像汉庭。很好！服务态度也还可以，再好一点就更好了', '短评打分': 5}
{'短评内容': '额 出差过于频繁 已经不记得是什么时候预定入住的了… ', '短评打分': 5}
{'短评内容': '都不错。', '短评打分': 5}
{'短评内容': '环境服务都挺好', '短评打分': 5}
{'短评内容': '还行快捷酒店', '短评打分': 3}
{'短评内容': '在体育中心东边，旁边有超市，吃饭购物买车票都方便，挨着马路有点乱，关上窗户就好了。不过洗漱用品要收点钱。', '短评打分': 4}
{'短评内容': '经济型酒店', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错的环境', '短评打分': 5}
{'短评内容': '床太松', '短评打分': 4}
{'短评内容': '环境挺好的，干净，就是厕所没有门，感觉有一点儿别扭！', '短评打分': 5}
{'短评内容': '总体环境不错，出行方便，附件超市吃饭都很方便，酒店洗漱用品需要付费，建议自己带好洗漱用品', '短评打分': 5}
{'短评内容': '长春星月时尚酒店，环境好，设备新，出入方便，物超所值。性价比高。', '短评打分': 3}
