{'短评内容': '酒店就在西单商场附近', '短评打分': 5}
{'短评内容': '交通便利，距离长安街和天安门近', '短评打分': 5}
{'短评内容': '外面太吵了，机器声音大的要命，不知怎么睡觉', '短评打分': 3}
{'短评内容': '就是个小宾馆，毫无优势，卫生也一般，毛巾又旧又破，没有电梯，太可怕了', '短评打分': 3}
{'短评内容': '位置很好，很方便', '短评打分': 5}
{'短评内容': '千万别来 住马路上一样 整个晚上 都没睡觉', '短评打分': 1}
{'短评内容': '很好，性价比高，挺满意的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '在西单商场后面的小巷里，交通便利，设置完善，很好找，很好。', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '环境优美，设施齐备，服务周到，价格适中，看好你们，继续加油！', '短评打分': 5}
{'短评内容': '打扫卫生的服务员服务真好，笑脸相迎，收拾的认真，大堂经理态度很好，住的很舒心。', '短评打分': 5}
{'短评内容': '地理位置非常好，离西单商场非常近，周边还有很多小吃，很方便。房间很大很干净。', '短评打分': 5}
{'短评内容': '地理位置便利，出现非常方便，比较实惠。', '短评打分': 4}
{'短评内容': '满意，有点出乎意料。本来预定时还有些犹豫，是不是环境会很差，所以分两次预定四个晚上，结果却出乎意料地好，性价比很高。对于有人吐槽的卫生间挨着床我根本没觉得有什么影响，其他更没什么了。暖气很热，房间很安静。地理位置很好，去哪儿都方便，出门不远就可以吃到不错的小吃，地铁很方便。出门左转不远有一家烤鸭店，也是性价比很高，烤鸭感觉比全聚德好吃，关键是价格低了太多。', '短评打分': 5}
{'短评内容': '出差入住，西单旁边、方便，房间不错就是小点，屋里暖气很给力，热，下次还住!', '短评打分': 5}
{'短评内容': '十一黄金周去的，人也多，宾馆也紧俏，价格也高。昨天退了房回到家，今天一看，所住的房间由420元回落到了288元，不过这也是没办法的事，谁让赶着黄金周去北京呢。不过，这个位置是非常的好了，地方好找而且去哪儿都方便，周围吃的、喝的、玩的还有购物的都有。总之是很推荐这儿了，下次到北京还会选择住这儿~哦，对了，房间卫生还不错，只是没有一次性拖鞋，有点小郁闷~', '短评打分': 4}
{'短评内容': '酒店很好！不错！', '短评打分': 3}
{'短评内容': '在北京一直住在京海了，很不错，很干净。离西单商业区非常近，从大悦城走着不到10分钟就到京海了', '短评打分': 3}
{'短评内容': '酒店环境没有想象的好,建议装修下。', '短评打分': 3}
{'短评内容': '总体感觉不错！交通方便，附近环境可以，有商业。。。。。。。下次有机会还住！', '短评打分': 5}
{'短评内容': '到北京总部出差，附近的酒店中性价比最高的！推荐哦！', '短评打分': 5}
{'短评内容': '虽然设施不是很新，有点陈旧，但是地理位置和环境配好很好，价格具有竞争力！', '短评打分': 5}
