{'短评内容': '房间环境不好，安全系数不高，房间设施陈旧', '短评打分': 1}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '经常住的酒店，非常好', '短评打分': 5}
{'短评内容': '隔音巨差！和火车站旅馆的隔音一个水平！凌晨一点还是睡不了觉，隔壁各种嘻嘻哈哈、电视声音，真后悔住这里！另外，这里管家老大叔太差劲了，买了一盒泡面，上来就怼人说：“你腿走不动路？不会自己下楼去买？！”我艹，这家店服务太牛X了，大神级服务！总结：这辈子住过最差劲的酒店，后悔！后悔！后悔！', '短评打分': 1}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '一般吧，位置不太好', '短评打分': 3}
{'短评内容': '出行方便！', '短评打分': 5}
{'短评内容': '出行方便！', '短评打分': 5}
{'短评内容': '這次住的感覺跟上次一樣，連續住3天。有機會會在來住。', '短评打分': 5}
{'短评内容': '房間還不錯，服務生態度也滿好的。有機會會在去住。', '短评打分': 5}
{'短评内容': '房间有点旧', '短评打分': 4}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '蛮好的 推荐入住', '短评打分': 5}
{'短评内容': '性价比不高', '短评打分': 3}
{'短评内容': '位置有点偏，经济型酒店，价格还行吧', '短评打分': 4}
{'短评内容': '房间是比较大的，看着比较舒服。但宾馆三楼是KTV，住在四楼的话，晚上会吵，住宿五楼以上还可以。但是两次过来五楼以上的大床房都没有！', '短评打分': 4}
{'短评内容': '很方便，离虎丘很近', '短评打分': 5}
