{'短评内容': '这个价格对的起', '短评打分': 2}
{'短评内容': '一般吧，对的起这个价格', '短评打分': 2}
{'短评内容': '酒店位置偏，环境一般，隔音效果差', '短评打分': 2}
{'短评内容': '房间小，卫生间臭味弄的整个房间都是，厉害的是前台说帮我开窗透气了，无语了，牛，', '短评打分': 2}
{'短评内容': '挺好，住了一周，还不错房间挺大的，交通方便楼下就是公交站，以后有机会还来住', '短评打分': 5}
{'短评内容': '挺好的，', '短评打分': 5}
{'短评内容': '也很不错的', '短评打分': 5}
{'短评内容': '周边烧烤多，适合吃货一族。', '短评打分': 3}
{'短评内容': '还行吧，就是单间空间太小，不过总体上讲还不错！不知标间怎么样？', '短评打分': 3}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '还不错，价格优惠，就是上面是KTV这点不好！', '短评打分': 3}
{'短评内容': '唯一值得肯定的是前台一个38D的妹子穿的低胸。还喜欢俯身。别的真不推荐去。太差了！开票还要15个点，怎么不去抢啊！', '短评打分': 2}
{'短评内容': '整体还好，蚊子比较多。', '短评打分': 3}
{'短评内容': '挺满意的，在这里住过很多次了。', '短评打分': 5}
{'短评内容': '一直对宾馆比较满意，各方面都不错了', '短评打分': 5}
