{'descr': '酒店还是蛮不错的，值得居住。', 'star': 5}
{'descr': '宾馆写着无烟房，房间却烟味熏人', 'star': 2}
{'descr': '卫生不达标', 'star': 3}
{'descr': '早餐不错，附近有停车场，位置不错，住住感觉不错', 'star': 5}
{'descr': '镇区驻地位置还算可以性价比合适', 'star': 3}
{'descr': '镇区驻地位置还算可以性价比合适', 'star': 3}
{'descr': '还行', 'star': 4}
{'descr': '一般般', 'star': 3}
{'descr': '还行', 'star': 4}
{'descr': '还不错', 'star': 4}
{'descr': '东西越来越旧了，可以更新了', 'star': 3}
{'descr': '一般呵', 'star': 3}
{'descr': '一般呵', 'star': 3}
{'descr': '还不错', 'star': 4}
{'descr': '枫泾周围也没什么好的住宿，这里离古镇不远，也算干净吧...这个价位，房间也就这样了，还可以把', 'star': 5}
{'descr': '枫泾周围也没什么好的住宿，这里离古镇不远，也算干净吧...这个价位，房间也就这样了，还可以把', 'star': 5}
{'descr': '客房还是比较大的，出了每个厕所的门都不是很好，关不太起来...套房是没有电视机的，这点不好。', 'star': 5}
{'descr': '客房还是比较大的，出了每个厕所的门都不是很好，关不太起来...套房是没有电视机的，这点不好。', 'star': 5}
{'descr': '垃圾的酒店，再也不会去了。卫生环境太差劲了', 'star': 1}
{'descr': '垃圾的酒店，再也不会去了。卫生环境太差劲了', 'star': 1}
{'descr': '房间很闷很吵，性价比超低，装修的味道也熏坏人', 'star': 3}
{'descr': '房间很闷很吵，性价比超低，装修的味道也熏坏人', 'star': 3}
{'descr': '没想到房间居然没有窗户。找前台要求调房，说其它有窗户的都已经有人住了。郁闷。', 'star': 3}
{'descr': '带着女儿住的是韩式大床房，房间不大，但是一应俱全。尤其是酒店配有电脑和免费上网，网速也不错，这点非常满意。早上还有免费双早，虽然去的时候比较晚，东西少了不少，但是应该说还是比较丰富的。唯一的遗憾就是走的时候太匆忙，把女儿的一条豹纹裤子落在酒店了。', 'star': 5}
{'descr': '带着女儿住的是韩式大床房，房间不大，但是一应俱全。尤其是酒店配有电脑和免费上网，网速也不错，这点非常满意。早上还有免费双早，虽然去的时候比较晚，东西少了不少，但是应该说还是比较丰富的。唯一的遗憾就是走的时候太匆忙，把女儿的一条豹纹裤子落在酒店了。', 'star': 5}
{'descr': '台湾人不让住。。。真搞笑！！！！！！！！！！！！！', 'star': 1}
{'descr': '台湾人不让住。。。真搞笑！！！！！！！！！！！！！', 'star': 1}
