{'短评内容': '不错的酒店，每次到北京都住这里，方便，干净，热情。唯一是没电梯', '短评打分': 5}
{'短评内容': '很好！很好，交通，吃饭，出门办事都很方便，不足就是没电梯。', '短评打分': 5}
{'短评内容': '不错的酒店，现在一到北京就住这家酒店', '短评打分': 5}
{'短评内容': '卫生干净，服务周到，交通便利，会常来', '短评打分': 5}
{'短评内容': '很不错的酒店，不好就是没电梯，其他地方都不错', '短评打分': 5}
{'短评内容': '好好休息吧', '短评打分': 5}
{'短评内容': '客服服务很好 房间很干净 环境很优美 周边是小区和公园白天看着窗外 人倍感舒服 光线特别好 生活用品干净 ', '短评打分': 5}
{'短评内容': '性价比还可以。', '短评打分': 5}
{'短评内容': '房间设施老旧', '短评打分': 2}
{'短评内容': '连续住了几天了，除了手机信号不好，周围吃饭的地方少点，其他都很好！', '短评打分': 5}
{'短评内容': '篡唐，很好的一个连锁酒店，服务员态度也很好，干净，。值得常住', '短评打分': 5}
{'短评内容': '位置很好……正常快捷酒店', '短评打分': 4}
{'短评内容': '不错，比如家好！服务态度及客房都比如家好，酒店位子也好找。停车也方便。', '短评打分': 5}
{'短评内容': '标准间，床挺宽，挺舒服。卫生到位，服务到位。比较满意的住宿体验。', '短评打分': 5}
{'短评内容': '一般！', '短评打分': 5}
{'短评内容': '位置不错，室内干净，下次还会入住。', '短评打分': 4}
{'短评内容': '帮家人定的，房间虽小，干净整洁，价格实惠。', '短评打分': 4}
{'短评内容': '还是不错的。', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '位置非常不错，酒店也不错。', '短评打分': 5}
{'短评内容': '不错啊', '短评打分': 3}
{'短评内容': '很好很好', '短评打分': 5}
{'短评内容': '房间挺好的，环境也好，就是没有电梯', '短评打分': 3}
{'短评内容': '还行吧，就是艺龙这个提现比较麻烦，如果直接减就好了', '短评打分': 3}
{'短评内容': '都好', '短评打分': 5}
