{'短评内容': '一般般。。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '五楼装修住四楼有味道，房间有蚊子，没有提供蚊香，早餐只有咸菜煮鸡蛋，许多餐具都是空的，另外服务人员不清理客人吃完后餐桌。没地方坐下来吃，个别客人站着吃，还有人拿食物就走了。很脏乱。', '短评打分': 4}
{'短评内容': '服務品質差入住手續麻煩', '短评打分': 3}
{'短评内容': '价位偏高，环境一般，装修很老，地板和墙都开了还有霉味，更可怕电梯坏了，我一个女孩拖着行李从五楼搬一楼。', '短评打分': 3}
{'短评内容': '很不错的酒店，不像快捷酒店住着那么局促。设施也比较新，感觉还是蛮用心的在经营的。而且虽然不好吃，但是居然免费提供早饭，值得鼓励。', '短评打分': 5}
{'短评内容': '酒店卫生干净', '短评打分': 5}
{'短评内容': '老酒店，设施比较老久，订了两间，不是电话没用就是热水不行', '短评打分': 4}
{'短评内容': '和旁边的几家比实在是没有性价比', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很干净，交通很方便', '短评打分': 5}
{'短评内容': '卫生和设施太一般了，总之下回不会住了。', '短评打分': 4}
{'短评内容': '不错！还是很实惠的！不止一次住了', '短评打分': 4}
{'短评内容': '酒店离火车站很近，不行5分钟内能到，我订的两个标间，其中的一个卫生间气味很重，开窗通风都没用，另一间满意', '短评打分': 5}
{'短评内容': '这样的酒店携程也说是三星，携程呀携程我拿什么爱你？', '短评打分': 2}
{'短评内容': '可能是靠近火车站缘故，有些吵，其他的还好。', '短评打分': 5}
{'短评内容': '酒店位置可以，设施一般般，价格还行，早餐太差拉，还不如取消掉。', '短评打分': 5}
{'短评内容': '房间比较干净、整洁。服务也不错，交通方便，值得推荐。', '短评打分': 5}
