{'descr': '还可以，比较能住', 'star': 5}
{'descr': '还可以！值88元的住宿！', 'star': 5}
{'descr': '还可以不错', 'star': 5}
{'descr': '很不错，卫生条件挺好', 'star': 5}
{'descr': '一般般', 'star': 5}
{'descr': '一般般啦', 'star': 5}
{'descr': '性价比挺好的酒店，就是有点找不到大门，房间还是满好的', 'star': 5}
{'descr': '落脚没问题～服务员还可以', 'star': 4}
{'descr': '酒店还行，厕所堵了', 'star': 3}
{'descr': '还不错呢！', 'star': 5}
{'descr': '位置偏，设施一般，将就', 'star': 4}
{'descr': '睡眠较安静，但设施较陈旧……', 'star': 3}
{'descr': '设施一般，环境较安静，交通也便利', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '国庆期间也就这样了！下次不会再来就是了', 'star': 4}
{'descr': '房间小的可怜，服务员态度差，隔音效果垃圾。还109，最多值70、80', 'star': 1}
{'descr': '挺好的· 离轻轨很近，一出站就看见了，环境也很好', 'star': 5}
{'descr': '挺好的· 离轻轨很近，一出站就看见了，环境也很好', 'star': 5}
{'descr': '不错,性价比高', 'star': 3}
{'descr': '不错,性价比高', 'star': 3}
{'descr': '还不错，比较安静，周边不吵闹，附近有重百超市，就是位置不好找，不能刷卡，可以推荐', 'star': 5}
{'descr': '还不错，比较安静，周边不吵闹，附近有重百超市，就是位置不好找，不能刷卡，可以推荐', 'star': 5}
{'descr': '虽然说房间有点小，但是环境还是可以的，网络不错。', 'star': 5}
{'descr': '虽然说房间有点小，但是环境还是可以的，网络不错。', 'star': 5}
